,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,Tset,Tref,Twall,Tout,T_ref,T_set,P_use,P_loss
2024-01-01 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.0,14.997809785537159,14.97812176741041,12.0,60,60.0,0.0,0.0
2024-01-01 01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.0,14.992755598115071,14.934873817194578,12.0,57,60.0,0.21666666666666667,0.0
2024-01-01 02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.0,14.985006671082834,14.88612488590268,11.0,57,60.0,0.06666666666666667,0.0
2024-01-01 03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,15.0,14.974375976902358,14.831893111589837,11.0,57,60.0,0.03333333333333333,0.0
2024-01-01 04:00:00,1.0,0.0,0.0,0.0,0.0,0.0,20.0,14.962494692057252,14.779788146211867,11.0,56,60.0,0.13333333333333333,0.0
2024-01-01 05:00:00,1.0,0.0,0.0,0.0,0.0,0.0,20.0,14.947879777229106,14.722374576355566,10.0,56,60.0,0.0,0.0
2024-01-01 06:00:00,1.0,1.0,0.0,0.0,0.8091666666666674,0.745,20.0,14.930352620296103,14.659660710027264,10.0,56,60.0,0.03333333333333333,0.0
2024-01-01 07:00:00,1.0,1.0,0.0,0.0,0.9925000000000027,0.0,20.0,14.91158180943213,14.599247337828213,10.0,56,60.0,0.0,0.0
2024-01-01 08:00:00,1.0,1.0,0.0,0.0,1.175833333333338,0.0,20.0,14.894031009593778,14.541016829110786,10.0,56,60.0,0.0,0.0
2024-01-01 09:00:00,1.0,1.0,0.0,0.0,1.3591666666666733,0.0,20.0,14.881121312776317,14.48496695870745,10.0,54,60.0,0.21666666666666667,0.0
2024-01-01 10:00:00,1.0,1.0,0.0,0.0,1.5425000000000086,0.0,20.0,14.87904563412309,14.438500132269162,11.0,53,60.0,0.13333333333333333,0.0
2024-01-01 11:00:00,1.0,1.0,0.0,0.0,1.725833333333344,0.0,20.0,14.891409142564276,14.409021841280868,12.0,52,60.0,0.15,0.0
2024-01-01 12:00:00,1.0,0.0,0.0,0.0,0.0,0.0,20.0,14.907478941685133,14.388791049000464,12.0,50,60.0,0.3333333333333333,0.0
2024-01-01 13:00:00,1.0,1.0,0.0,0.0,0.9344444444444461,0.7877777777777778,20.0,14.919453864320253,14.369910677924738,12.0,50,60.0,0.08333333333333333,0.0
2024-01-01 14:00:00,3.0,1.0,0.0,0.0,1.1177777777777813,0.0,19.5,14.922034806240283,14.352153606535142,12.0,47,60.0,0.3333333333333333,0.0
2024-01-01 15:00:00,1.0,1.0,0.0,0.0,0.8672222222222231,0.793888888888889,20.0,14.90900179297173,14.335043965280112,12.0,43,60.0,0.43333333333333335,0.0
2024-01-01 16:00:00,1.0,0.0,0.0,0.0,0.0,0.0,20.0,14.886618915071386,14.310854294172175,11.0,43,60.0,0.06666666666666667,0.0
2024-01-01 17:00:00,1.0,1.0,0.0,0.0,0.8550000000000008,0.7908333333333334,20.0,14.86225124683401,14.279620486490558,11.0,43,60.0,0.05,0.0
2024-01-01 18:00:00,1.0,1.0,0.0,0.0,1.038333333333336,0.0,20.0,14.83776119136521,14.249056351357531,11.0,43,60.0,0.1,0.0
2024-01-01 19:00:00,1.0,1.0,0.0,0.0,1.2216666666666713,0.0,20.0,14.813172503441496,14.21912790701516,11.0,43,60.0,0.0,0.0
2024-01-01 20:00:00,1.0,1.0,0.0,0.0,1.4050000000000067,0.0,20.0,14.788507157525087,14.189803429970645,11.0,41,60.0,0.26666666666666666,0.0
2024-01-01 21:00:00,1.0,1.0,0.0,0.0,1.588333333333342,0.0,20.0,14.762198747353727,14.15375203671647,10.0,41,60.0,0.08333333333333333,0.0
2024-01-01 22:00:00,1.0,1.0,0.0,0.0,1.7716666666666774,0.0,20.0,14.733991107595129,14.111079305290067,10.0,35,60.0,0.8,0.0
2024-01-01 23:00:00,1.0,1.0,0.0,0.0,1.9550000000000127,0.0,20.0,14.705449651441063,14.069476227473858,10.0,31,60.0,0.55,0.0
