,WasherDryer,TumbleDryer,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.05104666666666667,0.0
2024-01-01 00:15:00,0.001,0.001,0.166,0.0
2024-01-01 00:30:00,0.001,0.001,0.166,0.0
2024-01-01 00:45:00,0.001,0.001,0.14333333333333334,0.0
2024-01-01 01:00:00,0.001,0.001,0.232,0.0
2024-01-01 01:15:00,0.001,0.001,0.08000000000000002,0.0
2024-01-01 01:30:00,0.001,0.001,0.042,0.0
2024-01-01 01:45:00,0.001,0.001,0.10400000000000001,0.0
2024-01-01 02:00:00,0.001,0.001,0.197,0.0
2024-01-01 02:15:00,0.001,0.001,0.21233333333333335,0.0
2024-01-01 02:30:00,0.001,0.001,0.232,0.0
2024-01-01 02:45:00,0.001,0.001,0.042,0.0
2024-01-01 03:00:00,0.001,0.001,0.042,0.0
2024-01-01 03:15:00,0.001,0.001,0.042,0.0
2024-01-01 03:30:00,0.001,0.001,0.197,0.0
2024-01-01 03:45:00,0.001,0.001,0.31233333333333335,0.0
2024-01-01 04:00:00,0.001,0.001,0.194,0.0
2024-01-01 04:15:00,0.001,0.001,0.042,0.0
2024-01-01 04:30:00,0.001,0.001,0.042,0.0
2024-01-01 04:45:00,0.001,0.001,0.17526666666666665,0.0
2024-01-01 05:00:00,0.001,0.001,0.5601333333333333,0.0
2024-01-01 05:15:00,0.001,0.001,0.38699999999999996,0.0
2024-01-01 05:30:00,0.001,0.001,0.15600000000000003,0.0
2024-01-01 05:45:00,0.001,0.001,0.042,0.0
2024-01-01 06:00:00,0.001,0.001,0.042,0.0
2024-01-01 06:15:00,0.001,0.001,0.042,0.0
2024-01-01 06:30:00,0.001,0.001,0.13633333333333333,0.0
2024-01-01 06:45:00,0.001,0.001,0.38699999999999996,0.0
2024-01-01 07:00:00,0.001,0.001,0.18000000000000002,0.0
2024-01-01 07:15:00,0.001,0.001,0.042,0.0
2024-01-01 07:30:00,0.001,0.001,0.042,0.0
2024-01-01 07:45:00,0.001,0.001,0.042,0.0
2024-01-01 08:00:00,0.001,0.001,0.14333333333333334,0.0
2024-01-01 08:15:00,0.001,0.001,0.356,0.0
2024-01-01 08:30:00,0.001,0.001,0.20400000000000001,2.8
2024-01-01 08:45:00,0.001,0.001,0.042,3.2666666666666666
