,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.001,0.2723785710391924,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.2946333333333333,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.30269999999999997,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.33749677076996243,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.47274927305892106,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.24490927305892113,0.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.0893759397255878,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.0893759397255878,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.10371956790326015,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.23600000000000002,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.21113999999999997,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.19469999999999998,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.19469999999999998,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.24536666666666665,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.37516666666666665,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.20703333333333335,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.24503333333333333,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.3717,0.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.19436666666666666,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 05:45:00,0.001,0.001,0.001,0.2577,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.3717,0.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.1817,0.0
2024-01-01 07:00:00,0.001,0.001,0.001,0.27036666666666664,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.4742066666666666,0.0
