,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-01 15:15:00,1.0,57.8381538461539,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 15:30:00,1.0,58.146087720974755,60.0,3.0808960000000005,0.0,0.0,0,1,0,0.0
2024-01-01 15:45:00,3.0,60.292007262303024,60.0,0.5134826666666666,0.0,0.0,0,0,0,0.0
2024-01-01 16:00:00,3.0,59.61495269947454,60.0,2.053930666666667,0.0,0.0,0,0,0,0.0
2024-01-01 16:15:00,1.0,60.587137314859184,60.0,0.2567413333333333,0.0,0.0,0,0,0,0.0
2024-01-01 16:30:00,1.0,60.931544003822395,60.0,0.2567413333333333,0.0,0.7999999999999997,1,0,1,0.7766666666666667
2024-01-01 16:45:00,1.0,60.60034400382239,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 17:00:00,1.0,60.60034400382239,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 17:15:00,1.0,60.379544003822396,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 17:30:00,1.0,57.416382226469324,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 17:45:00,1.0,61.2577582417584,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 18:00:00,1.0,61.286425226947124,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 18:15:00,3.0,61.286425226947124,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 18:30:00,1.0,60.29282522694712,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 18:45:00,1.0,60.182425226947124,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 19:00:00,1.0,57.277239560439725,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 19:15:00,1.0,55.79010645007185,60.0,4.6213440000000015,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 19:30:00,1.0,54.29137811753483,60.0,1.5404480000000003,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 19:45:00,1.0,60.09064500716697,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 20:00:00,1.0,61.38065934065957,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 20:15:00,1.0,60.460659340659575,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 20:30:00,1.0,60.019059340659574,60.0,0.2567413333333333,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 20:45:00,1.0,57.725864118490435,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 21:00:00,2.0,56.26192145246083,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 21:15:00,2.0,53.87999311992382,60.0,3.0808960000000005,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 21:30:00,2.0,56.65006478738681,60.0,2.5674133333333335,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 21:45:00,2.0,59.18693549928364,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 22:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 22:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 22:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 22:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 23:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 23:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 23:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-01 23:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 00:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 00:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 00:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 00:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 01:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 01:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 01:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 01:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 02:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 02:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 02:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 02:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 03:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 03:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 03:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 03:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 04:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 04:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 04:30:00,1.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 04:45:00,1.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 05:00:00,1.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 05:15:00,1.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 05:30:00,1.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 05:45:00,1.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 06:00:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 06:15:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 06:30:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 06:45:00,2.0,61.422960344004146,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 07:00:00,1.0,61.23896034400414,60.0,0.2567413333333333,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 07:15:00,1.0,59.906430195891396,60.0,1.0269653333333333,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 07:30:00,1.0,59.47272393693297,60.0,3.337637333333334,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 07:45:00,3.0,58.539441567128875,60.0,0.2567413333333333,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 08:00:00,3.0,60.48227501194494,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 08:15:00,3.0,59.02267596751112,60.0,3.5943786666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 08:30:00,3.0,56.72312279025361,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 08:45:00,3.0,60.9003696129961,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 09:00:00,3.0,58.96398203535636,60.0,1.5404480000000003,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 09:15:00,1.0,61.251222169135644,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 09:30:00,1.0,61.07962312470181,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 09:45:00,1.0,56.66523459149589,60.0,3.594378666666667,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 10:00:00,1.0,58.759699569995675,60.0,0.5134826666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 10:15:00,1.0,61.29133301481175,60.0,1.5404480000000003,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 10:30:00,1.0,60.08096168179695,60.0,0.2567413333333333,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 10:45:00,3.0,61.29737601528955,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 11:00:00,1.0,59.64926975633113,60.0,2.0539306666666666,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 11:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 11:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 11:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 12:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 12:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 12:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 12:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 13:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 13:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 13:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 13:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 14:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 14:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 14:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 14:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 15:00:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 15:15:00,1.0,61.18142379359822,60.0,0.0,0.0,0.7999999999999997,0,0,1,0.0
2024-01-02 15:30:00,1.0,61.18142379359822,60.0,0.0,0.0,0.0,0,1,0,0.0
2024-01-02 15:45:00,1.0,61.18142379359822,60.0,0.0,0.0,0.0,0,0,0,0.0
