,TumbleDryer,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.33366666666666667,0.0
2024-01-01 00:15:00,0.001,0.275,0.0
2024-01-01 00:30:00,0.001,0.154,0.0
2024-01-01 00:45:00,0.001,0.06526666666666667,0.0
2024-01-01 01:00:00,0.001,0.033,0.0
2024-01-01 01:15:00,0.001,0.033,0.0
2024-01-01 01:30:00,0.001,0.13566666666666666,0.0
2024-01-01 01:45:00,0.001,0.06966666666666667,0.0
2024-01-01 02:00:00,0.001,0.033,0.0
2024-01-01 02:15:00,0.001,0.033,0.0
2024-01-01 02:30:00,0.001,0.033,0.0
2024-01-01 02:45:00,0.001,0.06966666666666667,0.0
2024-01-01 03:00:00,0.001,0.13566666666666666,0.0
2024-01-01 03:15:00,0.001,0.033,0.0
2024-01-01 03:30:00,0.001,0.033,0.0
2024-01-01 03:45:00,0.001,0.033,0.0
2024-01-01 04:00:00,0.001,0.033,0.0
2024-01-01 04:15:00,0.001,0.11366666666666665,0.0
2024-01-01 04:30:00,0.001,0.09166666666666666,0.0
2024-01-01 04:45:00,0.001,0.033,0.0
2024-01-01 05:00:00,0.001,0.033,0.0
2024-01-01 05:15:00,0.001,0.033,0.0
2024-01-01 05:30:00,0.001,0.04766666666666666,0.0
2024-01-01 05:45:00,0.001,0.143,0.0
2024-01-01 06:00:00,0.001,0.04766666666666666,0.0
2024-01-01 06:15:00,0.001,0.033,0.0
2024-01-01 06:30:00,0.001,0.033,0.0
2024-01-01 06:45:00,0.001,0.033,0.0
2024-01-01 07:00:00,0.001,0.09166666666666666,0.0
2024-01-01 07:15:00,0.001,0.11366666666666665,0.0
2024-01-01 07:30:00,0.001,0.033,0.0
2024-01-01 07:45:00,0.001,0.033,0.0
2024-01-01 08:00:00,0.001,0.033,0.0
2024-01-01 08:15:00,0.001,0.033,0.0
2024-01-01 08:30:00,0.001,0.13566666666666666,0.0
2024-01-01 08:45:00,0.001,0.06966666666666667,0.0
2024-01-01 09:00:00,0.001,0.04513333333333334,0.0
2024-01-01 09:15:00,0.001,0.046,0.0
2024-01-01 09:30:00,0.001,0.046,0.0
2024-01-01 09:45:00,0.001,0.08266666666666667,0.0
2024-01-01 10:00:00,0.001,0.14086666666666667,0.0
2024-01-01 10:15:00,0.001,0.033,0.0
2024-01-01 10:30:00,0.001,0.033,5.6
2024-01-01 10:45:00,0.001,0.033,7.0
2024-01-01 11:00:00,0.001,0.07333333333333333,3.2666666666666666
2024-01-01 11:15:00,0.001,0.23466666666666666,0.0
2024-01-01 11:30:00,0.001,0.21873333333333334,0.0
2024-01-01 11:45:00,0.001,0.167,0.0
2024-01-01 12:00:00,0.001,0.15893333333333334,0.0
2024-01-01 12:15:00,0.001,0.06213333333333334,0.0
2024-01-01 12:30:00,0.001,0.17300000000000001,0.0
2024-01-01 12:45:00,0.001,0.277,0.0
2024-01-01 13:00:00,0.001,0.18166666666666667,0.0
2024-01-01 13:15:00,0.001,0.167,0.0
2024-01-01 13:30:00,0.001,0.10966666666666666,0.0
2024-01-01 13:45:00,0.001,0.033,0.0
2024-01-01 14:00:00,0.001,0.09166666666666666,0.0
2024-01-01 14:15:00,0.001,0.11366666666666665,0.0
2024-01-01 14:30:00,0.001,0.033,0.0
2024-01-01 14:45:00,0.001,0.4328,0.0
2024-01-01 15:00:00,0.001,0.1758,0.0
2024-01-01 15:15:00,0.001,0.4458,0.0
2024-01-01 15:30:00,0.001,0.14866666666666667,0.0
2024-01-01 15:45:00,0.001,0.08093333333333333,0.0
2024-01-01 16:00:00,0.001,0.033,0.0
2024-01-01 16:15:00,0.001,0.049133333333333334,0.0
2024-01-01 16:30:00,0.001,0.154,2.8
2024-01-01 16:45:00,0.001,0.19066666666666665,1.4
2024-01-01 17:00:00,0.001,0.25666666666666665,0.0
2024-01-01 17:15:00,0.001,0.154,0.0
2024-01-01 17:30:00,0.001,0.13786666666666667,0.0
2024-01-01 17:45:00,0.001,0.033,0.0
2024-01-01 18:00:00,0.001,0.033,0.0
2024-01-01 18:15:00,0.001,0.11366666666666665,0.0
2024-01-01 18:30:00,0.001,0.12111538419605335,0.0
2024-01-01 18:45:00,0.001,0.1613521973529143,0.0
2024-01-01 19:00:00,0.001,0.20661886401958096,0.0
2024-01-01 19:15:00,0.001,0.3195521973529143,0.0
2024-01-01 19:30:00,0.001,0.3068736263137219,0.0
2024-01-01 19:45:00,0.001,0.3785521973529143,0.0
2024-01-01 20:00:00,0.001,0.20021886401958097,0.0
2024-01-01 20:15:00,0.001,0.1855521973529143,0.0
2024-01-01 20:30:00,0.001,0.15328553068624765,0.0
2024-01-01 20:45:00,0.001,0.3384055306862476,0.0
2024-01-01 21:00:00,0.001,0.3773521973529143,0.0
2024-01-01 21:15:00,0.001,0.40021886401958096,0.0
2024-01-01 21:30:00,0.001,0.3195521973529143,0.0
2024-01-01 21:45:00,0.001,0.29431043947058283,0.0
2024-01-01 22:00:00,0.001,0.21458205086272,0.0
2024-01-01 22:15:00,0.001,0.21781886401958098,0.0
2024-01-01 22:30:00,0.001,0.40921886401958096,0.0
2024-01-01 22:45:00,0.001,0.3432188640195809,0.0
2024-01-01 23:00:00,0.001,0.3065521973529143,0.0
2024-01-01 23:15:00,0.001,0.3065521973529143,0.0
2024-01-01 23:30:00,0.001,0.5052721973529143,0.0
2024-01-01 23:45:00,0.001,0.22021886401958096,0.0
2024-01-02 00:00:00,0.001,0.1718049447254705,0.0
2024-01-02 00:15:00,0.001,0.046,0.0
2024-01-02 00:30:00,0.001,0.046,0.0
2024-01-02 00:45:00,0.001,0.041666666666666664,0.0
2024-01-02 01:00:00,0.001,0.033,0.0
2024-01-02 01:15:00,0.001,0.11366666666666665,0.0
