,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.19333333333333333,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.07933333333333333,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.13,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.054,2.2
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.054,3.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.092,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.054,1.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.054,3.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.054,3.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.2313333333333333,0.2
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.2313333333333333,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.092,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.13,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.07933333333333333,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,0.19333333333333333,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.4538,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.4538,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.168,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.6
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.054,2.4
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.11733333333333333,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.15533333333333335,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.06872435876469334,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.0855521973529143,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.09821886401958096,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.2755521973529143,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.23755219735291427,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 18:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.2624666666666667,0.0
2024-01-01 19:30:00,0.001,0.001,0.0,0.001,0.4053333333333333,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.001,0.4032971061372495,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.001,0.4158721973529143,0.0
2024-01-01 20:15:00,0.001,0.001,0.0008,0.001,0.3275521973529143,0.0
2024-01-01 20:30:00,0.001,0.001,1.2004666666666668,0.001,0.3039562750928749,0.0
2024-01-01 20:45:00,0.001,0.001,0.001,0.001,0.34952520727461633,0.0
2024-01-01 21:00:00,0.001,0.001,0.001,0.001,0.3768237423726735,0.0
2024-01-01 21:15:00,0.001,0.001,0.001,0.001,0.25015707570600687,0.0
2024-01-01 21:30:00,0.001,0.001,0.001,0.001,0.1931341818432564,0.0
2024-01-01 21:45:00,0.001,0.001,0.001,0.001,0.6095051953189606,0.0
2024-01-01 22:00:00,0.001,0.001,0.001,0.001,0.372558864019581,0.0
2024-01-01 22:15:00,0.001,0.001,0.30086666666666667,0.001,0.392918864019581,0.0
2024-01-01 22:30:00,0.001,0.001,2.1000666666666667,0.001,0.5322521973529143,0.0
2024-01-01 22:45:00,0.001,0.001,0.001,0.001,0.45625219735291433,0.0
2024-01-01 23:00:00,0.001,0.001,0.0003333333333333333,0.001,0.3191139192941105,0.0
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.2139,0.0
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.18969999999999995,0.0
2024-01-02 00:00:00,0.001,0.001,0.0,0.001,0.5129666666666667,0.0
2024-01-02 00:15:00,0.001,0.001,0.0,0.001,0.6503487175293866,0.0
2024-01-02 00:30:00,0.001,0.001,0.0,0.001,0.2212521973529143,0.0
2024-01-02 00:45:00,0.001,0.001,0.0,0.001,0.2212521973529143,0.0
2024-01-02 01:00:00,0.001,0.001,0.0,0.001,0.2212521973529143,0.0
