,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.15290927305892113,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.0883759397255878,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.07365158096089446,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.08215707570600683,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.24682374237267352,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.11463932926542587,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.045,0.0,0.3333333333333333
2024-01-01 02:15:00,0.001,0.0,0.001,0.09566666666666666,0.0,1.3333333333333333
2024-01-01 02:30:00,0.001,0.0,0.001,0.235,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.08299999999999999,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.121,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.235,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.057666666666666665,0.0,5.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.045,0.0,4.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.07214000000000001,0.0,1.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.28203333333333336,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.3580333333333333,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.1807,0.0,2.3333333333333335
2024-01-01 06:45:00,0.001,0.0,0.001,0.3073666666666667,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.3327,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.3327,2.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.3073666666666667,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.1807,0.0,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.31279999999999997,1.0,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.14633333333333332,0.0,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.045,0.0,2.3333333333333335
2024-01-01 10:30:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.045,0.0,0.0
2024-01-01 11:00:00,0.001,0.0,0.001,0.057666666666666665,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.235,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.121,0.0,0.0
