,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.20885819328500682,0.0,1.2
2024-01-01 00:15:00,0.2025521973529143,0.0,0.3
2024-01-01 00:30:00,0.08868553068624764,0.0,0.0
2024-01-01 00:45:00,0.09957509121566477,0.0,1.0
2024-01-01 01:00:00,0.239,0.0,1.5
2024-01-01 01:15:00,0.11233333333333334,0.0,1.4
2024-01-01 01:30:00,0.049,0.0,0.0
2024-01-01 01:45:00,0.049,0.0,0.9
2024-01-01 02:00:00,0.049,0.0,0.4
2024-01-01 02:15:00,0.17566666666666667,0.0,0.0
2024-01-01 02:30:00,0.20099999999999998,0.0,0.7
2024-01-01 02:45:00,0.049,0.0,1.5
2024-01-01 03:00:00,0.049,0.0,0.6
2024-01-01 03:15:00,0.049,0.0,0.0
2024-01-01 03:30:00,0.087,0.0,1.4
2024-01-01 03:45:00,0.239,0.0,1.4
2024-01-01 04:00:00,0.09966666666666665,0.0,0.0
2024-01-01 04:15:00,0.049,0.0,0.0
2024-01-01 04:30:00,0.049,5.0,0.0
2024-01-01 04:45:00,0.049,5.0,0.0
2024-01-01 05:00:00,0.18833333333333332,1.0,0.3
2024-01-01 05:15:00,0.18833333333333332,0.0,1.5
2024-01-01 05:30:00,0.5820666666666666,0.0,1.5
2024-01-01 05:45:00,0.049,0.0,1.5
2024-01-01 06:00:00,0.049,3.0,1.5
2024-01-01 06:15:00,0.09966666666666667,0.0,1.5
2024-01-01 06:30:00,0.239,0.0,1.0
2024-01-01 06:45:00,0.0896,0.0,0.0
2024-01-01 07:00:00,0.4618,0.0,0.7
2024-01-01 07:15:00,0.06199999999999999,0.0,1.5
2024-01-01 07:30:00,0.06199999999999999,0.0,1.5
2024-01-01 07:45:00,0.214,0.0,1.5
2024-01-01 08:00:00,0.17566666666666667,0.0,1.4
2024-01-01 08:15:00,0.049,0.0,0.0
2024-01-01 08:30:00,0.049,2.3333333333333335,0.0
2024-01-01 08:45:00,0.049,0.0,0.0
2024-01-01 09:00:00,0.11233333333333334,0.0,0.0
2024-01-01 09:15:00,0.239,0.0,0.0
2024-01-01 09:30:00,0.07433333333333333,0.0,0.0
2024-01-01 09:45:00,0.049,0.0,0.0
2024-01-01 10:00:00,0.049,0.0,0.0
2024-01-01 10:15:00,0.049,0.0,0.0
2024-01-01 10:30:00,0.21366666666666667,0.0,0.0
