,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP
2024-01-01 00:00:00,2.0,15.0,0.765185111158904,14.992124458800795,13.504345930580904,12.0
2024-01-01 00:15:00,2.0,15.0,0.765185111158904,14.975417015826286,13.513472474966415,12.0
2024-01-01 00:30:00,2.0,15.0,0.765185111158904,14.958967403122683,13.522314838579591,12.0
2024-01-01 00:45:00,2.0,15.0,0.765185111158904,14.942770296166056,13.53087931428763,12.0
2024-01-01 01:00:00,2.0,15.0,0.765185111158904,14.926820484372806,13.53917205935767,12.0
2024-01-01 01:15:00,2.0,15.0,0.765185111158904,14.911112868652653,13.547199098371012,12.0
2024-01-01 01:30:00,2.0,15.0,0.765185111158904,14.895642459014157,13.554966326074702,12.0
2024-01-01 01:45:00,2.0,15.0,0.765185111158904,14.880404372221703,13.562479510171864,12.0
2024-01-01 02:00:00,2.0,15.0,0.765185111158904,14.864968480381034,13.568076785257231,11.0
2024-01-01 02:15:00,2.0,15.0,0.765185111158904,14.849253741392367,13.571550421589272,11.0
2024-01-01 02:30:00,2.0,15.0,0.765185111158904,14.833733534492541,13.574824767931526,11.0
2024-01-01 02:45:00,2.0,15.0,0.765185111158904,14.818403984325064,13.57790437098833,11.0
2024-01-01 03:00:00,2.0,15.0,0.765185111158904,14.803261298148845,13.580793679215017,11.0
2024-01-01 03:15:00,2.0,15.0,0.765185111158904,14.788301764064597,13.583497044930017,11.0
2024-01-01 03:30:00,2.0,15.0,0.765185111158904,14.773521749279316,13.586018726381546,11.0
2024-01-01 03:45:00,2.0,15.0,0.765185111158904,14.758917698408043,13.58836288976989,11.0
2024-01-01 04:00:00,2.0,15.0,0.765185111158904,14.744486131812142,13.590533611226244,11.0
2024-01-01 04:15:00,1.0,17.666666666666668,0.765185111158904,14.817862434662837,13.59264989944409,11.0
2024-01-01 04:30:00,1.0,20.0,0.765185111158904,15.41764187091769,13.59787153972037,11.0
2024-01-01 04:45:00,2.0,17.0,0.765185111158904,15.98567340643458,13.60937865694098,11.0
2024-01-01 05:00:00,2.0,15.0,0.765185111158904,16.023635208179915,13.622079454213475,10.0
