,WasherDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.001,0.05999999999999999
2024-01-01 00:15:00,0.001,0.0,0.001,0.05999999999999999
2024-01-01 00:30:00,0.001,0.0,0.001,0.17733333333333334
2024-01-01 00:45:00,0.001,0.0,0.001,0.37593333333333334
2024-01-01 01:00:00,0.001,0.0,0.001,0.047
2024-01-01 01:15:00,0.001,0.0,0.001,0.047
2024-01-01 01:30:00,0.001,0.0,0.001,0.047
2024-01-01 01:45:00,0.001,0.0,0.001,0.07233333333333333
2024-01-01 02:00:00,0.001,0.0,0.001,0.31966666666666665
2024-01-01 02:15:00,0.001,0.0,0.001,0.5881333333333333
2024-01-01 02:30:00,0.001,0.0,0.001,0.047
2024-01-01 02:45:00,0.001,0.0,0.001,0.047
2024-01-01 03:00:00,0.001,0.0,0.001,0.047
2024-01-01 03:15:00,0.001,0.0,0.001,0.21166666666666664
2024-01-01 03:30:00,0.001,0.0,0.001,0.25966666666666666
2024-01-01 03:45:00,0.001,0.0,0.001,0.109
2024-01-01 04:00:00,0.001,0.0,0.001,0.047
2024-01-01 04:15:00,0.001,0.0,0.001,0.047
2024-01-01 04:30:00,0.001,0.0,0.001,0.6940666666666666
2024-01-01 04:45:00,0.001,0.0,0.001,0.19666666666666666
2024-01-01 05:00:00,0.001,0.0,0.001,0.202
2024-01-01 05:15:00,0.001,0.0,0.001,0.06766666666666668
2024-01-01 05:30:00,0.001,0.0,0.001,0.047
2024-01-01 05:45:00,0.001,0.0,0.001,0.11033333333333334
2024-01-01 06:00:00,0.001,0.0,0.001,0.237
2024-01-01 06:15:00,0.001,0.0,0.001,0.09866666666666667
2024-01-01 06:30:00,0.001,0.0,0.001,0.18133333333333335
2024-01-01 06:45:00,0.001,0.0,0.001,0.047
2024-01-01 07:00:00,0.001,0.0,0.001,0.059666666666666666
2024-01-01 07:15:00,0.001,0.0,0.001,0.237
2024-01-01 07:30:00,0.001,0.0,0.001,0.10286666666666666
2024-01-01 07:45:00,0.001,0.0,0.001,0.153
2024-01-01 08:00:00,0.001,0.0,0.001,0.153
2024-01-01 08:15:00,0.001,0.0,0.001,0.4580666666666666
2024-01-01 08:30:00,0.001,0.0,0.001,0.21200000000000002
2024-01-01 08:45:00,0.001,0.0,0.001,0.16133333333333333
2024-01-01 09:00:00,0.001,0.0,0.001,0.05999999999999999
2024-01-01 09:15:00,0.001,0.0,0.001,0.19433333333333333
2024-01-01 09:30:00,0.001,0.0,0.001,0.103
2024-01-01 09:45:00,0.001,0.0,0.001,0.14833333333333334
2024-01-01 10:00:00,0.001,0.0,0.001,0.19899999999999998
2024-01-01 10:15:00,0.001,0.0,0.001,0.047
2024-01-01 10:30:00,0.001,0.0,0.001,0.06766666666666668
2024-01-01 10:45:00,0.001,0.0,0.001,0.202
2024-01-01 11:00:00,0.001,0.0,0.001,0.108
2024-01-01 11:15:00,0.001,0.0,0.001,0.237
2024-01-01 11:30:00,0.001,0.0,0.001,0.059666666666666666
2024-01-01 11:45:00,0.001,0.0,0.001,0.047
2024-01-01 12:00:00,0.001,0.0,0.001,0.109
2024-01-01 12:15:00,0.001,0.0,0.001,0.17099999999999999
2024-01-01 12:30:00,0.001,0.0,0.001,0.237
2024-01-01 12:45:00,0.001,0.0,0.001,0.11033333333333334
2024-01-01 13:00:00,0.001,0.0,0.001,0.047
2024-01-01 13:15:00,0.001,0.0,0.001,0.047
2024-01-01 13:30:00,0.001,0.0,0.001,0.15033333333333332
2024-01-01 13:45:00,0.001,0.0,0.001,0.269
2024-01-01 14:00:00,0.001,0.0,0.001,0.161
2024-01-01 14:15:00,0.001,0.0,0.001,0.10693333333333334
2024-01-01 14:30:00,0.001,0.0,0.001,0.19362087894116572
2024-01-01 14:45:00,0.001,0.0,0.001,0.47908553068624765
2024-01-01 15:00:00,0.001,0.0,0.001,2.0457521973529142
2024-01-01 15:15:00,0.001,0.0,0.001,1.885218864019581
2024-01-01 15:30:00,0.001,0.0,0.001,0.10075219735291431
2024-01-01 15:45:00,0.001,0.0,0.001,0.07013827805880382
