,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.3885521973529143,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.08150347982352762,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.14279999999999998,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.2936666666666667,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.3063333333333333,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.167,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.10246666666666668,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.058666666666666666,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.23600000000000002,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.10933333333333332,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.13466666666666666,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.2233333333333333,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.046,2.933333333333333
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.21066666666666664,1.4666666666666666
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.14733333333333334,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.5790666666666666,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.6297333333333334,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.23600000000000002,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.07133333333333333,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.046,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.06420000000000001,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.26366666666666666,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.2763333333333334,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.5367999999999999,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.07113333333333333,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.059000000000000004,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.07166666666666667,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.023245747194113448,0.249,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.10312271613385555,0.12233333333333334,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.2010950398913879,0.059000000000000004,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,1.1929415846478972,0.15851333333333334,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.10714553533121343,0.19469999999999998,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.22679193220298569,0.2755666666666666,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.46523556676035854,0.8955666666666666,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.3648347632789099,0.19469999999999998,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.11089546792914368,0.19469999999999998,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.3183593209385203,0.19469999999999998,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,1.4241800061890686,0.18776666666666667,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.34636666666666666,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.2934333333333333,0.0
2024-01-01 13:00:00,0.001,0.001,6.666666666666667e-05,0.001,0.241506853679809,0.0
2024-01-01 13:15:00,0.001,0.001,0.001,0.001,0.7588759397255879,0.0
2024-01-01 13:30:00,0.001,0.001,1.2004666666666668,0.001,0.3590759397255878,0.0
2024-01-01 13:45:00,0.001,0.001,0.001,0.001,0.4643426063922545,0.0
2024-01-01 14:00:00,0.001,0.001,0.001,0.001,0.6279426063922543,0.0
2024-01-01 14:15:00,0.001,0.001,0.0003333333333333333,0.001,0.45016751517658965,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.8209147678040335,1.4666666666666666
2024-01-01 14:45:00,0.001,0.001,0.00046666666666666666,0.001,0.2380759397255878,0.0
2024-01-01 15:00:00,0.001,0.001,0.9006000000000001,0.001,0.6378759397255878,0.0
2024-01-01 15:15:00,0.001,0.001,0.30086666666666667,0.001,0.3604092730589211,0.0
2024-01-01 15:30:00,0.001,0.001,0.001,0.001,0.4289426063922545,0.0
2024-01-01 15:45:00,0.001,0.001,0.001,0.001,0.8791426063922546,0.0
2024-01-01 16:00:00,0.001,0.001,0.001,0.001,0.8791426063922546,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.001,0.3460759397255878,0.7333333333333333
2024-01-01 16:30:00,0.001,0.001,0.001,0.001,0.35874260639225447,2.2
2024-01-01 16:45:00,0.001,0.001,0.001,0.001,0.564300848509923,0.0
2024-01-01 17:00:00,0.001,0.001,1.8002,0.001,1.2027237423726733,0.0
