,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.0,0.049,0.0
2024-01-01 00:15:00,0.001,0.0,0.049,0.0
2024-01-01 00:30:00,0.001,0.0,0.049,1.2
2024-01-01 00:45:00,0.001,0.0,0.22633333333333333,2.4
2024-01-01 01:00:00,0.001,0.0,0.125,0.0
2024-01-01 01:15:00,0.001,0.0,0.049,0.0
2024-01-01 01:30:00,0.001,0.0,0.049,0.0
2024-01-01 01:45:00,0.001,0.0,0.049,0.0
2024-01-01 02:00:00,0.001,0.0,0.049,0.0
2024-01-01 02:15:00,0.001,0.0,0.18833333333333332,0.0
2024-01-01 02:30:00,0.001,0.0,0.16299999999999998,0.0
2024-01-01 02:45:00,0.001,0.0,0.049,0.0
2024-01-01 03:00:00,0.001,0.0,0.049,0.0
2024-01-01 03:15:00,0.001,0.0,0.049,0.0
2024-01-01 03:30:00,0.001,0.0,0.049,0.0
2024-01-01 03:45:00,0.001,0.0,0.15033333333333332,0.0
2024-01-01 04:00:00,0.001,0.0,0.20099999999999998,0.0
2024-01-01 04:15:00,0.001,0.0,0.049,2.4
2024-01-01 04:30:00,0.001,0.0,0.049,0.6
2024-01-01 04:45:00,0.001,0.0,0.049,0.0
2024-01-01 05:00:00,0.001,0.0,0.049,0.0
2024-01-01 05:15:00,0.001,0.0,0.11233333333333334,0.0
2024-01-01 05:30:00,0.001,0.0,0.239,1.8
2024-01-01 05:45:00,0.001,0.0,0.049,0.0
2024-01-01 06:00:00,0.001,0.0,0.049,0.0
2024-01-01 06:15:00,0.001,0.0,0.049,0.0
2024-01-01 06:30:00,0.001,0.0,0.049,0.0
2024-01-01 06:45:00,0.001,0.0,0.07433333333333333,0.6
2024-01-01 07:00:00,0.001,0.0,0.239,1.2
2024-01-01 07:15:00,0.001,0.0,0.087,0.0
2024-01-01 07:30:00,0.001,0.0,0.049,0.8
2024-01-01 07:45:00,0.001,0.0,0.049,2.8
2024-01-01 08:00:00,0.001,0.0,0.05853333333333333,0.0
2024-01-01 08:15:00,0.001,0.0,0.4618,0.0
2024-01-01 08:30:00,0.001,0.0,0.26653333333333334,0.0
2024-01-01 08:45:00,0.001,0.0,0.17200000000000001,0.0
2024-01-01 09:00:00,0.001,0.0,0.0598,0.0
2024-01-01 09:15:00,0.001,0.0,0.049,0.0
2024-01-01 09:30:00,0.001,0.0,0.05073333333333333,0.0
2024-01-01 09:45:00,0.001,0.0008,0.06199999999999999,0.4
2024-01-01 10:00:00,0.001,1.2004666666666668,0.20133333333333334,2.8
2024-01-01 10:15:00,0.001,0.001,0.17600000000000002,0.0
2024-01-01 10:30:00,0.001,0.001,0.46652949694906937,0.0
2024-01-01 10:45:00,0.001,0.001,0.10609040903934017,0.0
2024-01-01 11:00:00,0.001,0.001,1.996957075706007,0.0
2024-01-01 11:15:00,0.001,0.001,1.781157075706007,0.0
2024-01-01 11:30:00,0.001,0.001,0.2807923272314721,0.0
2024-01-01 11:45:00,0.001,0.30086666666666667,2.7209999999999996,0.0
2024-01-01 12:00:00,0.001,2.1000666666666667,0.16193333333333335,0.0
2024-01-01 12:15:00,0.001,0.001,0.0742431656496898,0.0
2024-01-01 12:30:00,0.001,0.001,1.135957075706007,1.2
2024-01-01 12:45:00,0.001,0.0002,1.52829040903934,2.0
2024-01-01 13:00:00,0.001,0.0,0.8793570757060069,0.0
2024-01-01 13:15:00,0.001,0.0,0.5874904090393401,0.0
2024-01-01 13:30:00,0.001,0.0,0.4378237423726735,0.0
2024-01-01 13:45:00,0.001,0.0,1.3275882494915117,0.0
2024-01-01 14:00:00,0.001,0.0,2.2970666666666664,0.0
2024-01-01 14:15:00,0.001,0.0,0.2673333333333333,0.0
2024-01-01 14:30:00,0.001,0.0,0.378,0.0
2024-01-01 14:45:00,0.001,0.0,0.8818,0.0
2024-01-01 15:00:00,0.001,0.0,0.32999999999999996,0.0
2024-01-01 15:15:00,0.001,0.0,0.292,0.0
2024-01-01 15:30:00,0.001,0.0,0.31953333333333334,2.2
2024-01-01 15:45:00,0.001,0.0,0.5052666666666668,1.0
