,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,1.0502,0.001,0.34004044684442586,0.0
2024-01-01 00:15:00,0.0,0.001,0.4870092730589211,0.0
2024-01-01 00:30:00,0.0,0.001,0.5652759397255878,0.0
2024-01-01 00:45:00,0.0,0.001,0.3409240353530621,0.0
2024-01-01 01:00:00,0.0,0.001,0.4630426063922544,0.0
2024-01-01 01:15:00,0.0,0.001,0.398132774075898,0.0
2024-01-01 01:30:00,0.0,0.001,0.26808553068624763,0.0
2024-01-01 01:45:00,0.0,0.001,0.33021886401958095,0.0
2024-01-01 02:00:00,0.0,0.001,0.27948553068624765,0.0
2024-01-01 02:15:00,0.0,0.001,0.055206959647055236,0.0
2024-01-01 02:30:00,0.0,0.001,0.13966666666666666,0.0
2024-01-01 02:45:00,0.0,0.001,0.15233333333333332,0.0
2024-01-01 03:00:00,0.0,0.001,0.051,0.0
2024-01-01 03:15:00,0.0,0.001,0.241,0.0
2024-01-01 03:30:00,0.0,0.001,0.23299999999999998,0.0
2024-01-01 03:45:00,0.0,0.001,0.5718,0.0
2024-01-01 04:00:00,0.0,0.001,0.22266666666666665,5.0
2024-01-01 04:15:00,0.0,0.001,0.31133333333333335,15.0
2024-01-01 04:30:00,0.0,0.001,0.7684,1.0
2024-01-01 04:45:00,0.0,0.001,0.2652,0.0
2024-01-01 05:00:00,0.0,0.001,0.089,0.0
2024-01-01 05:15:00,0.0,0.001,0.051,0.0
2024-01-01 05:30:00,0.0,0.001,0.07319999999999999,0.0
2024-01-01 05:45:00,0.0,0.001,0.24133333333333334,0.0
2024-01-01 06:00:00,0.0,0.001,0.19066666666666665,0.0
2024-01-01 06:15:00,0.0,0.001,0.22866666666666668,0.0
2024-01-01 06:30:00,0.0,0.001,0.05533333333333333,0.0
2024-01-01 06:45:00,0.0,0.001,0.054152997966046265,0.0
2024-01-01 07:00:00,0.0,0.001,0.0628237423726735,2.0
2024-01-01 07:15:00,0.0,0.001,0.22749040903934017,15.0
2024-01-01 07:30:00,0.0,0.001,0.27815707570600684,2.0
2024-01-01 07:45:00,0.0,0.001,0.17542374237267352,0.0
2024-01-01 08:00:00,0.0,0.001,0.07030599593209254,0.0
2024-01-01 08:15:00,0.0,0.001,0.064,0.0
2024-01-01 08:30:00,0.0,0.001,0.064,0.0
2024-01-01 08:45:00,0.0,0.001,0.24966666666666668,0.0
2024-01-01 09:00:00,0.0,0.001,0.3043333333333333,0.0
2024-01-01 09:15:00,0.0,0.001,0.089,0.0
2024-01-01 09:30:00,0.0,0.001,0.051,0.0
2024-01-01 09:45:00,0.0,0.001,0.5840666666666666,0.0
2024-01-01 10:00:00,0.0,0.001,0.051,0.0
2024-01-01 10:15:00,0.0,0.001,0.26633333333333337,0.0
2024-01-01 10:30:00,0.0,0.001,0.317,0.0
2024-01-01 10:45:00,0.0,0.001,0.051,0.0
2024-01-01 11:00:00,0.0,0.001,0.051,0.0
2024-01-01 11:15:00,0.0,0.001,0.051,0.0
2024-01-01 11:30:00,0.0,0.001,0.051,0.0
2024-01-01 11:45:00,0.0,0.001,0.2916666666666667,2.0
2024-01-01 12:00:00,0.0,0.001,0.2916666666666667,13.0
2024-01-01 12:15:00,0.0,0.001,0.051,0.0
2024-01-01 12:30:00,0.0,0.001,0.051,0.0
2024-01-01 12:45:00,0.0,0.001,0.18426666666666666,0.0
2024-01-01 13:00:00,0.0,0.001,0.38086666666666663,0.0
2024-01-01 13:15:00,0.0,0.001,0.25366666666666665,0.0
2024-01-01 13:30:00,0.0,0.001,0.26633333333333337,0.0
2024-01-01 13:45:00,0.0,0.001,0.051,0.0
2024-01-01 14:00:00,0.0,0.001,0.051,0.0
2024-01-01 14:15:00,0.0,0.001,0.051,0.0
2024-01-01 14:30:00,0.0,0.001,0.31093333333333334,0.0
2024-01-01 14:45:00,0.0,0.001,0.4822,0.0
2024-01-01 15:00:00,0.0,0.001,0.21566666666666665,0.0
2024-01-01 15:15:00,0.0,0.001,0.07633333333333334,0.0
2024-01-01 15:30:00,0.0,0.001,0.051,0.0
2024-01-01 15:45:00,0.0,0.001,0.051,0.0
2024-01-01 16:00:00,0.0,0.001,0.241,0.0
2024-01-01 16:15:00,0.0,0.001,0.15233333333333332,0.0
2024-01-01 16:30:00,0.0,0.001,0.17766666666666667,5.0
2024-01-01 16:45:00,0.0,0.001,0.11433333333333333,0.0
2024-01-01 17:00:00,0.0,0.001,0.051,0.0
2024-01-01 17:15:00,0.0,0.001,0.11433333333333333,0.0
2024-01-01 17:30:00,0.0,0.001,0.241,0.0
2024-01-01 17:45:00,0.0,0.001,0.089,0.0
2024-01-01 18:00:00,0.0,0.001,0.13966666666666666,0.0
2024-01-01 18:15:00,0.0,0.001,0.15233333333333332,0.0
2024-01-01 18:30:00,0.0,0.001,0.051,0.0
2024-01-01 18:45:00,0.0,0.001,0.17766666666666667,0.0
2024-01-01 19:00:00,0.0,0.001,0.21566666666666665,0.0
2024-01-01 19:15:00,0.0,0.001,0.051,0.0
2024-01-01 19:30:00,0.0,0.001,0.10166666666666666,0.0
2024-01-01 19:45:00,0.0,0.001,0.21453333333333333,0.0
2024-01-01 20:00:00,0.0,0.001,0.172,0.0
2024-01-01 20:15:00,0.0,0.001,0.47240000000000004,0.0
2024-01-01 20:30:00,0.0,0.001,0.29813741107329395,0.0
2024-01-01 20:45:00,0.0,0.001,0.3048237423726735,0.0
2024-01-01 21:00:00,0.0,0.001,0.2561023134118659,0.0
2024-01-01 21:15:00,0.0,0.001,0.3927092730589211,0.0
2024-01-01 21:30:00,0.0,0.001,0.3590559397255878,0.0
2024-01-01 21:45:00,0.0,0.001,0.5911826063922544,0.0
2024-01-01 22:00:00,0.0,0.06337075933274473,0.5081426063922545,0.0
2024-01-01 22:15:00,0.0,0.3414159952733573,0.357765500255005,0.0
2024-01-01 22:30:00,0.0,0.7703547907991353,0.4523959397255878,0.0
2024-01-01 22:45:00,0.0,0.14195283548275117,0.5932759397255878,0.0
2024-01-01 23:00:00,0.0,0.1586556859711958,0.6258092730589211,0.0
2024-01-01 23:15:00,0.0,1.0589097406909311,0.5399426063922544,0.0
2024-01-01 23:30:00,0.0,0.7245716183784601,0.34476550025500496,0.0
2024-01-01 23:45:00,0.0,0.12587528452921137,0.3195237423726735,0.0
2024-01-02 00:00:00,0.0,0.2671050864688897,0.3195237423726735,0.0
2024-01-02 00:15:00,0.0,0.8015628867911536,0.3413237423726735,0.0
2024-01-02 00:30:00,0.0,0.16532933341856276,0.442398081807868,0.0
2024-01-02 00:45:00,0.0,0.001,0.2880333333333333,0.0
2024-01-02 01:00:00,0.0,0.001,0.18669999999999998,0.0
2024-01-02 01:15:00,0.0,0.001,0.5864999999999999,0.0
2024-01-02 01:30:00,0.0,0.001,0.18669999999999998,0.0
2024-01-02 01:45:00,0.0,0.001,0.33870000000000006,0.0
2024-01-02 02:00:00,0.0,0.001,0.47803333333333337,0.0
2024-01-02 02:15:00,0.0,0.001,0.6244999999999999,0.0
2024-01-02 02:30:00,0.0,0.001,0.5864999999999999,0.0
2024-01-02 02:45:00,0.0,0.001,0.18669999999999998,0.0
2024-01-02 03:00:00,0.0,0.001,0.18669999999999998,0.0
2024-01-02 03:15:00,0.0,0.001,0.34593999999999997,0.0
2024-01-02 03:30:00,0.0,0.001,0.35500000000000004,0.0
2024-01-02 03:45:00,0.0,0.001,0.051,0.0
2024-01-02 04:00:00,0.0,0.001,0.4508,0.0
2024-01-02 04:15:00,0.0,0.001,0.051,0.0
2024-01-02 04:30:00,0.0,0.001,0.051,0.0
2024-01-02 04:45:00,0.0,0.001,1.0532666666666668,0.0
2024-01-02 05:00:00,0.0,0.001,0.32966666666666666,0.0
2024-01-02 05:15:00,0.0,0.001,0.051,0.0
2024-01-02 05:30:00,0.0,0.001,0.051,0.0
2024-01-02 05:45:00,0.0,0.001,0.051,0.0
2024-01-02 06:00:00,0.0,0.001,0.5167333333333334,0.0
2024-01-02 06:15:00,0.0,0.001,0.3872666666666667,0.0
2024-01-02 06:30:00,0.0,0.001,0.26666666666666666,0.0
2024-01-02 06:45:00,0.0,0.001,0.08933333333333333,0.0
2024-01-02 07:00:00,0.0,0.001,0.064,0.0
2024-01-02 07:15:00,0.0,0.001,0.46380000000000005,0.0
2024-01-02 07:30:00,0.0,0.001,0.22011538419605334,0.0
2024-01-02 07:45:00,0.0,0.001,0.26021886401958094,0.0
2024-01-02 08:00:00,0.0,0.001,0.22221886401958094,0.0
2024-01-02 08:15:00,0.0,0.001,0.5560855306862477,0.0
2024-01-02 08:30:00,0.0,0.001,0.6223084245489982,9.0
2024-01-02 08:45:00,0.0,0.001,0.064,15.0
2024-01-02 09:00:00,0.0,0.001,0.254,15.0
2024-01-02 09:15:00,0.0,0.001,0.16533333333333333,15.0
2024-01-02 09:30:00,0.0,0.001,0.15266666666666667,2.0
2024-01-02 09:45:00,0.0,0.001,0.16533333333333333,0.0
2024-01-02 10:00:00,0.0,0.001,0.064,0.0
2024-01-02 10:15:00,0.0,0.001,0.1152,0.0
2024-01-02 10:30:00,0.0,0.001,0.241,0.0
2024-01-02 10:45:00,0.0,0.001,0.09766666666666667,0.0
2024-01-02 11:00:00,0.0,0.001,0.11466666666666667,0.0
2024-01-02 11:15:00,0.0,0.001,0.2041215828248449,0.0
2024-01-02 11:30:00,0.0,0.001,0.0758237423726735,0.0
2024-01-02 11:45:00,0.0,0.001,0.33615707570600684,0.0
2024-01-02 12:00:00,0.0,0.001,2.7492904090393404,9.0
2024-01-02 12:15:00,0.0,0.001,1.7604237423726736,15.0
2024-01-02 12:30:00,0.0,0.001,0.20875707570600682,6.0
2024-01-02 12:45:00,0.0,0.001,0.6297098323163565,0.0
2024-01-02 13:00:00,0.0,0.001,0.051,0.0
2024-01-02 13:15:00,0.0006666666666666666,0.001,0.8933059959320925,0.0
2024-01-02 13:30:00,1.2004666666666668,0.001,0.28515707570600685,0.0
2024-01-02 13:45:00,0.001,0.001,0.18382374237267352,0.0
2024-01-02 14:00:00,0.001,0.001,0.18382374237267352,0.0
2024-01-02 14:15:00,0.001,0.001,0.22670215954782863,0.0
2024-01-02 14:30:00,0.001,0.001,0.13966666666666666,0.0
