,WasherDryer,DishWasher,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.049364748474534696,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.08499999999999999,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.3286666666666667,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.6714,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.157,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.05433333333333333,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.11033333333333334,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.14833333333333334,0.0,0.0
2024-01-01 02:00:00,0.001,0.0,0.14,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.17833333333333334,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.157,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.165,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.123,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.6110666666666666,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.202,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.28733333333333333,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.149,0.0,1.3333333333333333
2024-01-01 04:30:00,0.001,0.0,0.047,0.0,0.6666666666666666
2024-01-01 04:45:00,0.001,0.0,0.4467999999999999,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.047,0.0,0.13333333333333333
2024-01-01 05:15:00,0.001,0.0,0.31033333333333335,0.0,2.0
2024-01-01 05:30:00,0.001,0.0,0.23866666666666667,0.0,2.0
2024-01-01 05:45:00,0.001,0.0,0.12033333333333333,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.047,0.0,0.13333333333333333
2024-01-01 06:15:00,0.001,0.0,0.047,0.0,2.0
2024-01-01 06:30:00,0.001,0.0,0.21166666666666664,0.0,2.0
2024-01-01 06:45:00,0.001,0.0,0.37553333333333333,0.0,2.0
2024-01-01 07:00:00,0.001,0.0,0.3866,0.0,1.4666666666666666
2024-01-01 07:15:00,0.001,0.0,0.1423333333333333,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.21166666666666664,0.0,0.0
2024-01-01 08:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 08:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 08:30:00,0.001,0.0,0.29806666666666665,0.0,0.0
2024-01-01 08:45:00,0.001,0.0,0.33533333333333337,0.0,0.0
2024-01-01 09:00:00,0.001,0.0,0.2846666666666667,0.0,0.0
2024-01-01 09:15:00,0.001,0.0,0.12153333333333334,0.0,0.0
2024-01-01 09:30:00,0.001,0.0,0.05999999999999999,0.0,0.13333333333333333
2024-01-01 09:45:00,0.001,0.0,0.05999999999999999,0.0,2.0
2024-01-01 10:00:00,0.001,0.0,0.211,4.666666666666667,0.5333333333333333
2024-01-01 10:15:00,0.001,0.0,0.40800000000000003,7.0,0.0
2024-01-01 10:30:00,0.001,0.0,0.477,7.0,0.0
2024-01-01 10:45:00,0.001,0.0,0.047,3.7333333333333334,0.0
2024-01-01 11:00:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 11:15:00,0.001,0.0,0.123,0.0,0.0
2024-01-01 11:30:00,0.001,0.0,0.16666666666666666,0.0,0.0
2024-01-01 11:45:00,0.001,0.0,0.8303999999999999,0.0,0.0
2024-01-01 12:00:00,0.001,0.0,0.12933333333333333,0.0,0.0
2024-01-01 12:15:00,0.001,0.0,0.04786666666666666,0.0,0.0
2024-01-01 12:30:00,0.001,0.0,0.16133333333333333,0.0,0.0
2024-01-01 12:45:00,0.001,0.0,0.12333333333333334,0.0,0.8
2024-01-01 13:00:00,0.001,0.0,0.05999999999999999,0.0,1.4666666666666666
2024-01-01 13:15:00,0.001,0.0,0.2521333333333333,0.0,0.0
2024-01-01 13:30:00,0.001,0.0,0.21333333333333335,0.0,0.0
2024-01-01 13:45:00,0.001,0.0,0.17366666666666666,0.0,0.0
2024-01-01 14:00:00,0.001,0.0,0.08499999999999999,0.0,0.0
2024-01-01 14:15:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 14:30:00,0.001,0.0,0.047,0.0,0.0
2024-01-01 14:45:00,0.001,0.0,0.16033333333333333,3.2666666666666666,0.0
2024-01-01 15:00:00,0.001,0.0,0.44933333333333336,7.0,0.0
2024-01-01 15:15:00,0.001,0.0,0.059666666666666666,0.4666666666666667,0.0
2024-01-01 15:30:00,0.21194260961537684,0.0,0.5800666666666666,0.0,0.0
2024-01-01 15:45:00,0.7920347860576631,0.0,0.047,0.0,0.0
2024-01-01 16:00:00,0.7920347860576631,0.0,0.0517294969490694,0.0,0.0
2024-01-01 16:15:00,0.7920347860576631,0.0,0.2528237423726735,0.0,1.8666666666666667
2024-01-01 16:30:00,0.7920347860576631,0.0,0.32382374237267353,0.0,0.4
2024-01-01 16:45:00,0.7920347860576631,0.0,0.12815707570600685,0.0,0.0
2024-01-01 17:00:00,0.7920347860576631,0.0,0.0588237423726735,0.0,0.0
2024-01-01 17:15:00,0.7920347860576631,0.0,0.0612431656496898,0.0,0.0
2024-01-01 17:30:00,0.7920347860576631,0.0,0.2013647484745347,0.0,0.0
2024-01-01 17:45:00,0.7920347860576631,0.0,0.18715707570600684,0.0,0.0
2024-01-01 18:00:00,0.7920347860576631,0.0,0.6214304090393401,0.0,0.0
2024-01-01 18:15:00,0.7920347860576631,0.0,0.5898570757060069,0.0,0.0
2024-01-01 18:30:00,0.7920347860576631,0.0,0.4745237423726735,0.0,0.0
2024-01-01 18:45:00,0.7920347860576631,0.0,0.5683904090393401,0.0,0.0
2024-01-01 19:00:00,0.7392991336538189,0.0,1.6501237423726736,0.0,0.0
2024-01-01 19:15:00,0.001,0.0,2.5183942454236043,0.0,0.0
2024-01-01 19:30:00,0.001,0.0,1.5661237423726735,0.0,0.0
2024-01-01 19:45:00,0.001,0.0,0.7191904090393402,0.0,1.0666666666666667
2024-01-01 20:00:00,0.001,0.0,0.5818570757060068,0.0,1.2
2024-01-01 20:15:00,0.001,0.0,0.4365237423726735,0.0,0.0
2024-01-01 20:30:00,0.001,0.0,0.2886855214484542,0.0,0.0
2024-01-01 20:45:00,0.001,0.0,0.33525219735291434,0.0,0.0
2024-01-01 21:00:00,0.001,0.0,0.49725219735291426,0.0,0.0
2024-01-01 21:15:00,0.001,0.0,0.6085855306862477,0.0,0.0
2024-01-01 21:30:00,0.001,0.0,0.39598553068624764,0.0,0.0
2024-01-01 21:45:00,0.001,0.0,0.1932173991176381,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.1827,0.0,0.0
2024-01-01 22:15:00,0.001,0.0,0.3805196646327129,0.0,0.0
2024-01-01 22:30:00,0.001,0.0,0.4175237423726735,0.0,0.0
