,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.08005697897655403,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.039,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.163,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.12166666666666666,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.16566666666666668,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.2036666666666667,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.039,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.04933333333333333,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.194,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.08033333333333334,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.2036666666666667,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.5654666666666668,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.5720666666666666,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.09066666666666667,0.0,2.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.194,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.051666666666666666,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.229,0.0,1.6
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.12766666666666668,0.0,2.4
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.039,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.132,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.15266666666666667,0.0,1.6
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.08966666666666666,0.0,0.8
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.229,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.08966666666666666,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.039,0.0,2.8
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.17333333333333334,0.0,2.2
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.11133333333333333,0.0,1.8
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.12766666666666668,0.0,1.8
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.229,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.0534,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.07266666666666666,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.207,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.08299999999999999,0.0,2.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.3084666666666667,0.0,0.2
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.47020000000000006,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.5720666666666666,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.101,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.18366666666666667,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.039,0.0,1.4
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.2036666666666667,0.0,3.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.16566666666666666,0.0,0.2
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.039,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.14233333333333334,0.0,2.2
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.7085333333333333,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.18566666666666665,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.001,0.36300000000000004,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.001,0.26166666666666666,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.001,0.17213333333333333,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,1.7475333333333334,0.0,0.2
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,1.4741333333333333,0.0,3.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.10266666666666667,0.0,0.8
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.242,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.10006666666666666,0.0,1.8
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.07,0.0,3.0
2024-01-01 13:30:00,0.001,0.001,0.0007333333333333333,0.001,0.3044,0.0,3.0
2024-01-01 13:45:00,0.001,0.001,1.2004666666666668,0.001,0.059666666666666666,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.001,0.001,0.12766666666666668,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.001,0.001,0.229,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.001,0.001,0.051666666666666666,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.001,0.001,0.11133333333333333,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.001,0.001,0.17333333333333334,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.001,0.001,0.039,3.6666666666666665,0.0
2024-01-01 15:30:00,0.001,0.001,0.1509333333333333,0.001,0.16566666666666668,11.0,0.0
2024-01-01 15:45:00,0.001,0.001,2.25,0.001,0.32466666666666666,1.4666666666666666,0.0
2024-01-01 16:00:00,0.001,0.001,0.001,0.001,0.16,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.001,0.27366666666666667,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.0002666666666666667,0.001,0.253,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.1358,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.29198666666666667,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.16566666666666666,0.0,1.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.5888945052548876,0.0,1.6
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.22555219735291432,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.19481886401958098,0.0,0.6
2024-01-01 18:15:00,0.001,0.001,0.0005333333333333334,0.001,0.21210135893469664,0.0,3.0
2024-01-01 18:30:00,0.001,0.001,1.0505333333333333,0.001,0.39337593972558776,0.0,2.0
2024-01-01 18:45:00,0.001,0.001,0.1509333333333333,0.001,0.27942172745108873,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.001,0.001,0.14862374237267348,0.0,1.4
2024-01-01 19:15:00,0.001,0.001,0.001,0.001,0.3026237423726735,0.0,3.0
2024-01-01 19:30:00,0.001,0.001,0.001,0.001,0.20319187394128307,0.0,1.0
