,DishWasher,BaseLoad,P_EV,P_HP
2024-01-02 00:30:00,0.0,0.07655219735291431,0.0,0.0
2024-01-02 00:45:00,0.0,0.07444871752938668,0.0,0.0
2024-01-02 01:00:00,0.0,0.045,0.0,0.0
2024-01-02 01:15:00,0.0,0.045,0.0,0.0
2024-01-02 01:30:00,0.0,0.235,0.0,0.0
2024-01-02 01:45:00,0.0,0.121,0.0,0.0
2024-01-02 02:00:00,0.0,0.045,0.0,0.0
2024-01-02 02:15:00,0.0,0.045,0.0,0.0
2024-01-02 02:30:00,0.0,0.045,0.0,0.0
2024-01-02 02:45:00,0.0,0.10833333333333334,0.0,0.0
2024-01-02 03:00:00,0.0,0.235,0.0,0.0
2024-01-02 03:15:00,0.0,0.057666666666666665,0.0,0.0
2024-01-02 03:30:00,0.0,0.045,0.0,0.0
2024-01-02 03:45:00,0.0,0.045,0.0,0.0
2024-01-02 04:00:00,0.0,0.045,0.0,0.0
2024-01-02 04:15:00,0.0,0.17166666666666666,0.0,2.6666666666666665
2024-01-02 04:30:00,0.0,0.18433333333333332,0.0,1.8666666666666667
2024-01-02 04:45:00,0.0,0.045,0.0,0.0
2024-01-02 05:00:00,0.0,0.4448,0.0,0.0
2024-01-02 05:15:00,0.0,0.045,0.0,0.0
2024-01-02 05:30:00,0.0,0.045,0.0,0.0
2024-01-02 05:45:00,0.0,0.7680666666666666,3.6666666666666665,0.0
2024-01-02 06:00:00,0.0,0.6540666666666667,0.7333333333333333,0.0
2024-01-02 06:15:00,0.0,0.045,0.0,0.0
2024-01-02 06:30:00,0.0,0.045,0.0,0.0
2024-01-02 06:45:00,0.0,0.045,0.0,0.0
2024-01-02 07:00:00,0.0,0.10833333333333334,0.0,0.0
2024-01-02 07:15:00,0.0,0.2376,0.0,0.0
2024-01-02 07:30:00,0.0,0.07066666666666667,0.0,0.0
2024-01-02 07:45:00,0.0,0.058,0.0,0.0
2024-01-02 08:00:00,0.0,0.0874487175293867,0.0,0.0
2024-01-02 08:15:00,0.0,0.08955219735291431,0.0,0.0
2024-01-02 08:30:00,0.0,0.21275219735291426,0.0,0.0
2024-01-02 08:45:00,0.0,0.21588553068624763,0.0,0.0
2024-01-02 09:00:00,0.0,0.7155402929803887,3.6666666666666665,0.0
2024-01-02 09:15:00,0.0,0.4448,0.0,0.0
2024-01-02 09:30:00,0.0,0.045,0.0,0.0
2024-01-02 09:45:00,0.0,0.045,0.0,0.0
2024-01-02 10:00:00,0.0,0.235,0.0,0.0
2024-01-02 10:15:00,0.0,0.121,0.0,0.0
2024-01-02 10:30:00,0.0,0.045,0.0,0.0
2024-01-02 10:45:00,0.0,0.045,0.0,0.0
2024-01-02 11:00:00,0.0,0.045,0.0,1.8666666666666667
2024-01-02 11:15:00,0.0,0.11699999999999999,0.0,1.0666666666666667
2024-01-02 11:30:00,0.0,0.24799999999999997,0.0,0.0
2024-01-02 11:45:00,0.0,0.07066666666666667,0.0,0.0
2024-01-02 12:00:00,0.0,0.058,0.0,0.0
2024-01-02 12:15:00,0.0,0.0502,0.0,0.0
2024-01-02 12:30:00,0.0,0.045,0.0,0.0
2024-01-02 12:45:00,0.0,0.17166666666666666,1.4666666666666666,0.0
2024-01-02 13:00:00,0.0,0.18433333333333332,3.6666666666666665,0.0
2024-01-02 13:15:00,0.0,0.045,0.0,0.0
2024-01-02 13:30:00,0.0,0.045,0.0,0.0
2024-01-02 13:45:00,0.0,0.045,0.0,0.0
2024-01-02 14:00:00,0.0,0.045,0.0,0.0
2024-01-02 14:15:00,0.0,0.23933333333333331,0.0,0.0
2024-01-02 14:30:00,0.0,0.6670666666666667,0.0,0.0
2024-01-02 14:45:00,0.0,0.6394666666666667,0.0,0.0
2024-01-02 15:00:00,0.0,0.179,0.0,0.0
2024-01-02 15:15:00,0.0,0.179,0.7333333333333333,0.0
2024-01-02 15:30:00,0.0,0.22933333333333333,0.0,0.0
2024-01-02 15:45:00,0.0,0.356,0.0,0.0
2024-01-02 16:00:00,0.0,0.13833333333333334,0.0,0.0
2024-01-02 16:15:00,0.0,0.9778666666666668,0.0,0.0
2024-01-02 16:30:00,0.0,0.045,0.0,0.0
2024-01-02 16:45:00,0.0,0.10146666666666666,0.0,0.0
2024-01-02 17:00:00,0.0,0.3652666666666667,1.4666666666666666,0.0
2024-01-02 17:15:00,0.0,0.4263333333333333,0.0,0.0
2024-01-02 17:30:00,0.0,0.287,0.0,0.0
2024-01-02 17:45:00,0.0,0.287,0.0,0.0
2024-01-02 18:00:00,0.0,0.2360510797739143,0.0,0.0
2024-01-02 18:15:00,0.0,0.1778237423726735,0.0,0.0
2024-01-02 18:30:00,0.0,0.3678237423726735,0.0,0.0
2024-01-02 18:45:00,0.0,0.2538237423726735,0.0,2.1333333333333333
2024-01-02 19:00:00,0.0,0.17703549288116197,0.0,0.8
2024-01-02 19:15:00,0.0,0.06113333333333334,0.0,0.0
2024-01-02 19:30:00,0.0,0.08180423160399787,0.0,0.0
2024-01-02 19:45:00,0.0,0.15170927305892112,0.0,0.0
2024-01-02 20:00:00,0.0,0.2783759397255878,0.0,0.0
2024-01-02 20:15:00,0.0,0.10104260639225447,0.0,0.0
2024-01-02 20:30:00,0.0,0.08206550025500495,0.0,0.0
2024-01-02 20:45:00,0.0,0.056035492881161934,0.0,0.0
2024-01-02 21:00:00,0.0,0.045,0.0,0.0
2024-01-02 21:15:00,0.0,0.17166666666666666,0.0,0.0
2024-01-02 21:30:00,0.0,0.18433333333333332,0.0,0.0
2024-01-02 21:45:00,0.0,0.045,0.0,0.0
2024-01-02 22:00:00,0.0,0.045,0.0,0.0
2024-01-02 22:15:00,0.0,0.045,0.0,0.0
2024-01-02 22:30:00,0.0,0.045,0.0,0.0
2024-01-02 22:45:00,0.0,0.235,0.0,0.0
2024-01-02 23:00:00,0.0,0.121,0.0,0.0
2024-01-02 23:15:00,0.0,0.045,0.0,0.0
2024-01-02 23:30:00,0.0,0.045,0.0,0.0
2024-01-02 23:45:00,0.0,0.045,0.0,0.0
2024-01-03 00:00:00,0.0,0.10833333333333334,0.0,0.0
2024-01-03 00:15:00,0.0,0.235,0.0,0.0
2024-01-03 00:30:00,0.0,0.057666666666666665,0.0,0.0
2024-01-03 00:45:00,0.0,0.045,0.0,0.0
2024-01-03 01:00:00,0.0,0.045,0.0,0.0
2024-01-03 01:15:00,0.0,0.045,0.0,0.0
2024-01-03 01:30:00,0.0,0.17166666666666666,0.0,0.0
2024-01-03 01:45:00,0.0,0.18433333333333332,0.0,0.0
2024-01-03 02:00:00,0.0,0.045,0.0,0.0
2024-01-03 02:15:00,0.0,0.045,0.0,0.0
2024-01-03 02:30:00,0.0,0.045,0.0,0.0
2024-01-03 02:45:00,0.0,0.045,0.0,0.0
2024-01-03 03:00:00,0.0,0.235,0.0,0.0
2024-01-03 03:15:00,0.0,0.121,0.0,0.0
2024-01-03 03:30:00,0.0,0.045,0.0,0.0
2024-01-03 03:45:00,0.0,0.045,0.0,0.0
2024-01-03 04:00:00,0.0,0.045,0.0,0.0
2024-01-03 04:15:00,0.0,0.10833333333333334,0.0,0.8
2024-01-03 04:30:00,0.0,0.235,0.0,0.0
2024-01-03 04:45:00,0.0,0.057666666666666665,0.0,1.3333333333333333
