,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.5242521973529143,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.4479875456078323,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.7065,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.3067,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.6984333333333334,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.3922999999999999,2.4
2024-01-01 01:30:00,0.001,0.001,0.0,0.6968333333333333,2.8
2024-01-01 01:45:00,0.001,0.001,0.0,0.3377,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.1857,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.1857,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.20036666666666664,0.4
2024-01-01 02:45:00,0.001,0.001,0.0,0.29569999999999996,3.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.20769999999999997,1.6
2024-01-01 03:15:00,0.001,0.001,0.0,0.3757,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.1857,1.4
2024-01-01 03:45:00,0.001,0.001,0.0,0.1857,1.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.2517,2.4
2024-01-01 04:15:00,0.001,0.001,0.0,0.26636666666666664,2.8
2024-01-01 04:30:00,0.001,0.001,0.0,0.1857,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.3286533333333333,2.2
2024-01-01 05:00:00,0.001,0.001,0.0,0.08800000000000001,0.8
2024-01-01 05:15:00,0.001,0.001,0.0,0.05733333333333334,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.16,1.2
2024-01-01 05:45:00,0.001,0.001,0.0,0.07933333333333333,3.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.05,3.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.164,0.2
2024-01-01 06:30:00,0.001,0.001,0.0,0.126,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.10866666666666668,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.126,0.6
