,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.001,0.45974260639225445,0.0,0.0,0.0
2024-01-01 00:15:00,0.0,0.001,0.3557071135110926,0.0,0.0,0.4
2024-01-01 00:30:00,0.0,0.001,0.7030521973529142,0.0,0.0,3.0
2024-01-01 00:45:00,0.0,0.001,0.2668521973529143,0.0,0.0,1.4
2024-01-01 01:00:00,0.0,0.001,0.2270681315686095,0.0,0.0,2.4
2024-01-01 01:15:00,0.0,0.001,0.4327,0.0,2.3333333333333335,1.2
2024-01-01 01:30:00,0.0,0.001,0.3783666666666667,0.0,0.3333333333333333,1.8
2024-01-01 01:45:00,0.0,0.001,0.1807,0.0,5.0,1.8
2024-01-01 02:00:00,0.0,0.001,0.1807,0.0,5.0,0.0
2024-01-01 02:15:00,0.0,0.001,0.1807,0.0,0.6666666666666666,0.0
2024-01-01 02:30:00,0.0,0.001,0.1807,0.0,0.0,1.8
2024-01-01 02:45:00,0.0,0.001,0.4543666666666667,0.0,0.0,1.6
2024-01-01 03:00:00,0.0,0.001,0.38203333333333334,0.0,0.0,0.4
2024-01-01 03:15:00,0.0,0.001,0.1807,0.0,3.0,1.6
2024-01-01 03:30:00,0.0,0.001,0.1807,0.0,0.0,0.0
2024-01-01 03:45:00,0.0,0.001,0.1807,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.001,0.23236666666666667,0.0,0.0,0.0
2024-01-01 04:15:00,0.0,0.001,0.3887,0.0,3.3333333333333335,2.0
2024-01-01 04:30:00,0.0,0.001,0.30737333333333333,3.6666666666666665,5.0,3.0
2024-01-01 04:45:00,0.0,0.001,0.07033333333333333,0.0,0.6666666666666666,0.4
2024-01-01 05:00:00,0.0,0.001,0.045,0.0,0.0,0.0
2024-01-01 05:15:00,0.0,0.001,0.045,0.0,0.0,0.0
2024-01-01 05:30:00,0.0,0.001,0.169,0.0,0.0,0.0
2024-01-01 05:45:00,0.0,0.001,0.11733333333333333,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,0.001,0.22233333333333333,0.0,0.0,0.0
2024-01-01 06:15:00,0.0,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-01 06:30:00,0.0,0.001,0.045,0.0,0.0,0.0
2024-01-01 06:45:00,0.0,0.001,0.08633333333333333,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,0.001,0.2,0.0,0.0,0.0
2024-01-01 07:15:00,0.0,0.001,0.045,0.0,0.0,0.0
2024-01-01 07:30:00,0.0,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-01 07:45:00,0.0,0.001,0.22233333333333333,0.0,0.6666666666666666,0.0
2024-01-01 08:00:00,0.0,0.001,0.045,0.0,3.3333333333333335,0.0
2024-01-01 08:15:00,0.0,0.001,0.15866666666666665,0.0,0.0,0.0
2024-01-01 08:30:00,0.0,0.001,0.12766666666666668,0.0,0.0,0.0
