,WasherDryer,TumbleDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.24431999999999998,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.156,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.21033333333333334,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.39899999999999997,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.09606666666666668,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.21233333333333335,0.0,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.035,0.0,0.0,2.6666666666666665
2024-01-01 01:45:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.21466666666666664,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.15266666666666667,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.04766666666666667,0.0,2.4,0.0
2024-01-01 02:45:00,0.001,0.001,0.21233333333333335,0.0,0.6,0.0
2024-01-01 03:00:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.097,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.22633333333333333,0.0,0.6,0.0
2024-01-01 03:45:00,0.001,0.001,0.079,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.04766666666666667,0.0,0.2,0.0
2024-01-01 04:15:00,0.001,0.001,0.21233333333333335,0.0,2.6,0.0
2024-01-01 04:30:00,0.001,0.001,0.04533333333333334,0.0,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.19,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.145,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.057,0.0,2.2,0.0
2024-01-01 05:30:00,0.001,0.001,0.04766666666666667,0.0,3.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.21233333333333335,0.0,3.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.14866666666666667,0.0,1.4,0.0
2024-01-01 06:15:00,0.001,0.001,0.10866666666666666,0.0,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.145,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.04766666666666667,0.0,0.0,0.3333333333333333
2024-01-01 07:15:00,0.001,0.001,0.2743333333333334,0.0,0.0,1.6666666666666667
2024-01-01 07:30:00,0.001,0.001,0.13833333333333334,0.0,1.4,0.0
2024-01-01 07:45:00,0.001,0.001,0.079,0.0,1.8,0.0
2024-01-01 08:00:00,0.001,0.001,0.123,0.0,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.05800000000000001,0.0,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.36733333333333335,0.0,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.10099999999999999,0.0,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.10099999999999999,0.0,1.2,0.0
2024-01-01 09:45:00,0.001,0.001,0.035,0.0,2.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.16133333333333333,0.0,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.264,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.123,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.079,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.097,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.151,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.21233333333333335,0.0,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.145,0.0,3.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.06733333333333333,0.0,0.0,0.0
2024-01-01 12:45:00,0.001,0.001,0.19,0.0,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.04766666666666667,0.0,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.21233333333333335,0.0,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.057,0.0,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.145,0.0,0.0,2.0
2024-01-01 14:00:00,0.001,0.001,0.14866666666666667,0.0,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.08666666666666667,0.0,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.04766666666666667,0.0,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.21233333333333335,0.0,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.079,0.0,0.4,0.0
2024-01-01 15:15:00,0.001,0.001,0.185,0.0,2.6,0.0
2024-01-01 15:30:00,0.001,0.001,0.13833333333333334,0.0,0.0,2.3333333333333335
2024-01-01 15:45:00,0.001,0.001,0.08928,0.0,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.18336666666666665,0.0,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.7478333333333332,0.0,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.24703333333333333,0.0,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.3917,0.0,0.0,2.6666666666666665
2024-01-01 17:00:00,0.001,0.001,0.2917,0.0,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.4127,0.0,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.43056666666666665,0.0,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.6030333333333334,0.0,0.0,2.3333333333333335
2024-01-01 18:00:00,0.001,0.001,0.6273666666666667,0.0,1.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.4891,0.0,2.0,0.6666666666666666
2024-01-01 18:30:00,0.001,0.001,0.3764333333333333,0.0,0.0,1.6666666666666667
2024-01-01 18:45:00,0.001,0.001,0.4153,0.0,0.0,0.0
2024-01-01 19:00:00,0.001,0.001,0.4383666666666667,0.0,0.0,1.6666666666666667
2024-01-01 19:15:00,0.001,0.001,0.6650333333333334,1.4666666666666666,0.0,1.6666666666666667
2024-01-01 19:30:00,0.001,0.001,0.5987000000000001,11.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.2829,0.0,0.0,1.6666666666666667
2024-01-01 20:00:00,0.001,0.001,0.24736666666666665,0.0,0.0,1.6666666666666667
2024-01-01 20:15:00,0.001,0.001,0.3046999999999999,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.5289533333333333,0.0,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.7765666666666667,0.0,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.5136533333333334,0.0,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.25344494472547047,0.0,1.4,0.0
2024-01-01 21:30:00,0.001,0.001,0.19137886401958096,0.0,1.8,0.0
2024-01-01 21:45:00,0.001,0.001,0.17141886401958098,0.0,0.0,2.3333333333333335
2024-01-01 22:00:00,0.001,0.001,0.31388553068624764,0.0,0.0,1.3333333333333333
2024-01-01 22:15:00,0.001,0.001,0.46055219735291425,0.0,0.0,0.6666666666666666
2024-01-01 22:30:00,0.001,0.001,0.39655219735291425,0.0,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.2391173991176381,0.0,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.156,0.0,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.218,0.0,0.0,0.0
2024-01-01 23:30:00,0.001,0.001,0.272,0.0,0.0,0.0
2024-01-01 23:45:00,0.001,0.001,0.3267333333333333,0.0,0.0,0.6666666666666666
2024-01-02 00:00:00,0.001,0.001,0.10099999999999999,0.0,0.0,2.3333333333333335
2024-01-02 00:15:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-02 00:30:00,0.001,0.001,0.04533333333333334,0.0,0.0,0.0
2024-01-02 00:45:00,0.001,0.001,0.19,0.0,0.0,0.0
2024-01-02 01:00:00,0.001,0.001,0.04766666666666667,0.0,0.0,0.0
2024-01-02 01:15:00,0.001,0.001,0.43360000000000004,0.0,0.0,0.0
2024-01-02 01:30:00,0.001,0.001,0.4788,0.0,0.0,2.6666666666666665
2024-01-02 01:45:00,0.001,0.001,0.035,0.0,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.14866666666666667,0.0,0.0,0.0
2024-01-02 02:15:00,0.001,0.001,0.08666666666666667,0.0,0.0,0.0
2024-01-02 02:30:00,0.001,0.001,0.04766666666666667,0.0,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.3223333333333333,0.0,0.0,0.0
2024-01-02 03:00:00,0.001,0.001,0.057,0.0,0.0,0.0
2024-01-02 03:15:00,0.001,0.001,0.097,0.0,0.0,0.0
2024-01-02 03:30:00,0.001,0.001,0.6714,0.0,0.0,0.0
2024-01-02 03:45:00,0.001,0.001,0.035,0.0,0.6,0.0
