,WasherDryer,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.20666666666666667,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.15600000000000003,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.042,0.0,2.4
2024-01-01 01:15:00,0.001,0.001,0.5750666666666666,0.0,0.8
2024-01-01 01:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.13066666666666668,0.0,1.2
2024-01-01 02:00:00,0.001,0.001,0.232,0.0,1.4
2024-01-01 02:15:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.05466666666666667,0.0,1.8
2024-01-01 03:15:00,0.001,0.001,0.232,0.0,1.2
2024-01-01 03:30:00,0.001,0.001,0.11800000000000001,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.44179999999999997,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.1686666666666667,7.333333333333333,0.2
2024-01-01 04:45:00,0.001,0.001,0.194,0.0,3.0
2024-01-01 05:00:00,0.001,0.001,0.042,0.0,0.2
2024-01-01 05:15:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.09266666666666667,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.232,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.08000000000000002,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.042,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.20666666666666667,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.15600000000000003,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.042,0.0,0.0
