,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.091,0.0,0.8
2024-01-01 00:15:00,0.0,0.12766666666666668,0.0,1.5
2024-01-01 00:30:00,0.0,0.4467999999999999,0.0,1.5
2024-01-01 00:45:00,0.0,0.047,0.0,1.1
2024-01-01 01:00:00,0.0,0.047,0.0,0.3
2024-01-01 01:15:00,0.0,0.047,0.0,0.7
2024-01-01 01:30:00,0.0,0.1423333333333333,0.0,0.0
2024-01-01 01:45:00,0.0,0.07633333333333334,0.0,0.0
2024-01-01 02:00:00,0.0,0.047,0.0,0.0
2024-01-01 02:15:00,0.0,0.047,0.0,0.0
2024-01-01 02:30:00,0.0,0.047,0.0,0.0
2024-01-01 02:45:00,0.0,0.08366666666666665,0.0,0.0
2024-01-01 03:00:00,0.0,0.13499999999999998,0.0,0.0
2024-01-01 03:15:00,0.0,0.047,0.0,0.0
2024-01-01 03:30:00,0.0,0.047,0.0,0.0
2024-01-01 03:45:00,0.0,0.047,0.0,0.0
2024-01-01 04:00:00,0.0,0.047,2.6,0.0
2024-01-01 04:15:00,0.0,0.13499999999999998,3.0,0.0
2024-01-01 04:30:00,0.0,0.08366666666666665,3.0,0.0
2024-01-01 04:45:00,0.0,0.047,3.0,0.0
2024-01-01 05:00:00,0.0,0.047,3.0,0.0
2024-01-01 05:15:00,0.0,0.047,1.6,0.0
2024-01-01 05:30:00,0.0,0.07633333333333334,0.0,0.0
2024-01-01 05:45:00,0.0,0.1423333333333333,0.0,0.0
2024-01-01 06:00:00,0.0,0.047,0.0,0.0
2024-01-01 06:15:00,0.0,0.047,0.0,0.0
2024-01-01 06:30:00,0.0,0.047,0.0,0.0
2024-01-01 06:45:00,0.0,0.047,0.0,0.0
2024-01-01 07:00:00,0.0,0.12766666666666668,1.4,0.0
2024-01-01 07:15:00,0.0,0.091,1.8,0.0
2024-01-01 07:30:00,0.0,0.047,0.0,0.3
2024-01-01 07:45:00,0.0,0.051333333333333335,0.0,1.5
2024-01-01 08:00:00,0.0,0.05999999999999999,0.0,1.5
2024-01-01 08:15:00,0.0,0.082,0.0,1.5
2024-01-01 08:30:00,0.0,0.16266666666666668,0.0,1.2
2024-01-01 08:45:00,0.0,0.054799999999999995,0.0,0.4
2024-01-01 09:00:00,0.0,0.047,0.0,0.0
2024-01-01 09:15:00,0.0,0.047,0.0,0.0
2024-01-01 09:30:00,0.0,1.1787333333333334,0.0,1.1
2024-01-01 09:45:00,0.0,2.7754,0.0,0.0
2024-01-01 10:00:00,0.0,0.09833333333333334,0.0,0.0
2024-01-01 10:15:00,0.0,0.047,0.0,0.1
2024-01-01 10:30:00,0.0,0.047,0.0,1.5
2024-01-01 10:45:00,0.0,1.1485333333333334,1.8,1.5
2024-01-01 11:00:00,0.0,2.1966666666666663,1.4,0.2
2024-01-01 11:15:00,0.0,1.1602666666666666,0.0,0.0
2024-01-01 11:30:00,0.0,0.05999999999999999,0.0,0.0
2024-01-01 11:45:00,0.0,0.0574,0.0,0.0
2024-01-01 12:00:00,0.0,0.5677333333333333,0.0,0.0
2024-01-01 12:15:00,0.0,2.181,0.0,0.7
2024-01-01 12:30:00,0.0,0.647,0.0,0.8
2024-01-01 12:45:00,0.0,0.23966666666666664,0.0,0.0
2024-01-01 13:00:00,0.0,0.24173333333333333,0.0,0.8
2024-01-01 13:15:00,0.0,0.303,0.0,0.5
2024-01-01 13:30:00,0.0,0.33980423160399786,0.0,0.0
2024-01-01 13:45:00,0.0,0.8303092730589212,0.0,0.0
