,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.21213131841174857,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.25721886401958094,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.28655219735291426,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.1985521973529143,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.33882783858822096,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.1806,0.0,0.0,0.4
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.08693131841174859,0.0,0.0,2.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.1875521973529143,0.0,0.0,2.2
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.11288553068624765,0.0,0.0,3.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.2325521973529143,0.0,0.0,3.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.11888553068624765,0.0,0.0,1.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.06493131841174858,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.14133333333333334,0.0,1.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.13866666666666666,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.201,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,0.0,1.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.046,0.0,1.0,3.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,5.0,2.6
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.196,0.0,5.0,1.4
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.201,0.0,5.0,0.0
