,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.3046999999999999,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.408398081807868,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.46619040903934017,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.2335237423726735,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.1955237423726735,0.0,2.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.1955237423726735,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.18921774644058098,0.0,0.6666666666666666
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.21446666666666667,0.0,3.6666666666666665
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.11133333333333333,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.048,0.0,2.3333333333333335
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.09866666666666667,0.0,1.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.13666666666666666,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.048,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.048,0.0,3.3333333333333335
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.048,0.0,0.6666666666666666
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.07333333333333333,0.0,3.3333333333333335
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.24926666666666666,0.0,3.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.175,0.0,1.3333333333333333
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.05146666666666667,0.0,1.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.048,0.0,3.6666666666666665
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.238,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.18733333333333332,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.054066666666666666,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,1.6666666666666667
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.6666666666666666
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.061000000000000006,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.21439999999999998,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.22306666666666666,0.0,2.3333333333333335
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.14166666666666666,0.0,3.6666666666666665
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.2608666666666667,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.27040000000000003,0.0,4.666666666666667
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.2626,0.0,1.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.08198752458236763,1.2119333333333335,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.22577821760524625,0.8042666666666667,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,1.1005373010781025,0.061000000000000006,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.00013333333333333334,0.1826653497677094,0.5923333333333333,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,1.8002,0.137110304242186,0.0598237423726735,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,1.2004666666666668,0.2502079141020956,0.0598237423726735,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,1.6502666666666668,0.6559089073405496,0.2464237423726735,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.0008666666666666667,0.12951676761525008,2.449957075706007,0.0,3.6666666666666665
2024-01-01 11:30:00,0.001,0.001,0.0,0.2676745865142295,0.8029570757060068,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.17451129193977946,0.46035707570600687,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.001,0.1938237423726735,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.001,0.17674124745755784,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.001,0.2518666666666667,0.0,1.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.001,0.45,0.0,4.333333333333333
2024-01-01 13:00:00,0.001,0.001,0.0,0.001,0.3106666666666667,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.001,0.24968249491511565,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.001,0.21309040903934015,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.001,0.2614904090393402,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.001,0.24415707570600684,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.001,0.3708237423726735,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.2513059959320925,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.23353333333333334,0.0,2.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.2868347982352762,0.0,2.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.3215521973529143,0.0,1.3333333333333333
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.35955219735291427,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.5115521973529142,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.4065255306862476,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.22893479823527618,0.0,0.0
