,DishWasher,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.06609333333333334,0.0,0.0
2024-01-01 00:15:00,0.0,0.13666666666666666,0.0,0.4
2024-01-01 00:30:00,0.0,0.22533333333333333,0.0,3.0
2024-01-01 00:45:00,0.0,0.048,0.0,2.4
2024-01-01 01:00:00,0.0,0.048,0.0,0.0
2024-01-01 01:15:00,0.0,0.048,0.0,0.0
2024-01-01 01:30:00,0.0,0.44780000000000003,0.0,0.0
2024-01-01 01:45:00,0.0,0.33326666666666666,0.0,0.0
2024-01-01 02:00:00,0.0,0.16199999999999998,0.0,1.6
2024-01-01 02:15:00,0.0,0.048,0.0,1.6
2024-01-01 02:30:00,0.0,0.048,0.0,2.4
2024-01-01 02:45:00,0.0,0.048,0.0,0.6
2024-01-01 03:00:00,0.0,0.07333333333333333,0.0,0.0
2024-01-01 03:15:00,0.0,0.238,0.0,1.8
2024-01-01 03:30:00,0.0,0.09866666666666667,0.0,3.0
2024-01-01 03:45:00,0.0,0.048,0.0,3.0
2024-01-01 04:00:00,0.0,0.048,0.0,1.4
2024-01-01 04:15:00,0.0,0.048,1.0666666666666667,0.0
2024-01-01 04:30:00,0.0,0.13666666666666666,2.0,0.0
2024-01-01 04:45:00,0.0,0.22533333333333333,1.3333333333333333,0.6
2024-01-01 05:00:00,0.0,0.048,0.0,2.6
2024-01-01 05:15:00,0.0,0.048,0.4,1.0
2024-01-01 05:30:00,0.0,0.048,1.2,3.0
2024-01-01 05:45:00,0.0,0.048,0.0,0.8
2024-01-01 06:00:00,0.0,0.2,1.6,0.0
2024-01-01 06:15:00,0.0,0.16199999999999998,0.0,0.0
2024-01-01 06:30:00,0.0,0.05753333333333333,0.0,0.0
2024-01-01 06:45:00,0.0,0.061000000000000006,0.5333333333333333,0.0
2024-01-01 07:00:00,0.0,0.061000000000000006,2.0,0.0
2024-01-01 07:15:00,0.0,0.08633333333333333,0.5333333333333333,3.0
2024-01-01 07:30:00,0.0,0.24406666666666668,0.0,3.0
2024-01-01 07:45:00,0.0,0.11166666666666666,0.0,1.2
2024-01-01 08:00:00,0.0,0.061000000000000006,0.0,0.0
2024-01-01 08:15:00,0.0,0.5414666666666667,1.2,0.0
2024-01-01 08:30:00,0.0,0.3152666666666667,0.0,0.0
2024-01-01 08:45:00,0.0,0.27066666666666667,0.0,0.0
2024-01-01 09:00:00,0.0,0.40407999999999994,0.0,2.4
2024-01-01 09:15:00,0.0,0.34109999999999996,0.0,2.2
2024-01-01 09:30:00,0.0,0.34168406578430477,0.0,2.6
2024-01-01 09:45:00,0.0,0.3062521973529143,1.2,0.6
2024-01-01 10:00:00,0.0,0.3166521973529143,0.0,0.0
2024-01-01 10:15:00,0.0,0.422718864019581,0.0,0.0
2024-01-01 10:30:00,0.0,0.3317347982352762,1.3333333333333333,0.0
2024-01-01 10:45:00,0.0,0.32996666666666663,2.0,0.0
2024-01-01 11:00:00,0.0,0.5904333333333334,1.4666666666666666,2.2
2024-01-01 11:15:00,0.0,0.7167666666666666,0.0,1.4
2024-01-01 11:30:00,0.0,0.20903333333333332,0.0,0.0
2024-01-01 11:45:00,0.0,0.3737,0.0,0.0
2024-01-01 12:00:00,0.0,0.5016882494915115,0.0,0.0
2024-01-01 12:15:00,0.0,0.32879040903934015,0.0,2.4
2024-01-01 12:30:00,0.0,0.1955237423726735,0.0,1.6
2024-01-01 12:45:00,0.0,0.26005707570600683,0.0,2.8
2024-01-01 13:00:00,0.0,0.5384570757060068,0.0,0.0
2024-01-01 13:15:00,0.0,0.8936570757060067,0.0,0.0
2024-01-01 13:30:00,0.0,0.3125824949151157,0.0,0.0
2024-01-01 13:45:00,0.0,0.3046999999999999,0.0,0.0
2024-01-01 14:00:00,0.0,0.7167666666666666,1.0666666666666667,0.0
2024-01-01 14:15:00,0.0,0.5835,0.0,0.0
2024-01-01 14:30:00,0.0,0.37849999999999995,0.0,0.0
2024-01-01 14:45:00,0.0,0.6950666666666667,0.0,0.0
2024-01-01 15:00:00,0.0,0.048,0.0,0.6
2024-01-01 15:15:00,0.0,0.048,0.0,2.0
2024-01-01 15:30:00,0.0,0.048,1.2,2.0
2024-01-01 15:45:00,0.0,0.7396666666666667,1.2,3.0
