,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.18669999999999998,0.0,0.0,0.0
2024-01-01 00:15:00,0.22469999999999998,0.0,0.0,0.0
2024-01-01 00:30:00,0.3767,0.0,0.0,1.4
2024-01-01 00:45:00,0.27536666666666665,0.0,0.0,1.8
2024-01-01 01:00:00,0.18594666666666665,0.0,0.0,0.0
2024-01-01 01:15:00,0.19934523770585907,0.0,0.0,0.0
2024-01-01 01:30:00,0.6033521973529142,0.0,0.0,1.6
2024-01-01 01:45:00,0.2035521973529143,0.0,0.0,1.4
2024-01-01 02:00:00,0.34288553068624766,0.0,0.0,0.8
2024-01-01 02:15:00,0.27918406578430477,0.0,0.0,0.0
2024-01-01 02:30:00,0.051,0.0,0.0,0.0
2024-01-01 02:45:00,0.051,0.0,0.0,1.2
2024-01-01 03:00:00,0.051,0.0,0.0,0.0
2024-01-01 03:15:00,0.051,0.0,0.0,0.0
2024-01-01 03:30:00,0.10166666666666666,0.0,0.0,0.0
2024-01-01 03:45:00,0.241,0.0,0.0,1.0
2024-01-01 04:00:00,0.127,0.0,2.6666666666666665,0.0
2024-01-01 04:15:00,0.4508,0.0,3.7333333333333334,0.0
2024-01-01 04:30:00,0.051,0.0,2.4,0.0
2024-01-01 04:45:00,0.4508,0.0,0.0,0.0
2024-01-01 05:00:00,0.051,0.0,1.6,0.6
2024-01-01 05:15:00,0.20299999999999999,0.0,2.4,0.8
2024-01-01 05:30:00,0.6154666666666667,0.0,1.0666666666666667,0.0
2024-01-01 05:45:00,0.051,0.0,4.0,0.4
2024-01-01 06:00:00,0.051,0.0,0.0,3.0
2024-01-01 06:15:00,0.051,0.0,0.0,0.0
2024-01-01 06:30:00,0.5840666666666666,0.0,0.0,0.4
2024-01-01 06:45:00,0.11433333333333333,0.0,0.0,1.8
2024-01-01 07:00:00,0.241,0.0,0.0,0.0
2024-01-01 07:15:00,0.11433333333333333,0.0,0.0,0.0
2024-01-01 07:30:00,0.051,0.0,0.0,0.0
2024-01-01 07:45:00,0.051,0.0,0.0,0.0
2024-01-01 08:00:00,0.051,0.0,0.0,1.4
2024-01-01 08:15:00,0.4508,0.0,0.0,1.4
2024-01-01 08:30:00,0.21566666666666665,0.0,0.0,2.8
2024-01-01 08:45:00,0.6028,0.0,0.0,0.0
2024-01-01 09:00:00,0.051,0.0,0.0,0.0
2024-01-01 09:15:00,0.051,0.0,0.0,0.0
2024-01-01 09:30:00,0.051,0.0,0.0,0.0
2024-01-01 09:45:00,0.051,0.0,0.26666666666666666,0.0
2024-01-01 10:00:00,0.12699999999999997,0.0,2.933333333333333,1.6
2024-01-01 10:15:00,0.6408,0.0,0.0,0.0
2024-01-01 10:30:00,0.10166666666666666,0.0,0.0,0.8
2024-01-01 10:45:00,0.09953333333333332,0.0,0.0,1.2
2024-01-01 11:00:00,0.142,0.0,0.0,0.0
2024-01-01 11:15:00,0.142,0.0,0.0,0.0
2024-01-01 11:30:00,0.23563479823527617,0.0,0.0,1.2
2024-01-01 11:45:00,0.792818864019581,0.0,0.0,0.2
2024-01-01 12:00:00,0.34288553068624766,0.0,0.0,0.0
2024-01-01 12:15:00,0.31211219735291434,0.0,0.0,0.4
2024-01-01 12:30:00,0.29085219735291434,0.0,0.0,2.8
2024-01-01 12:45:00,0.2182521973529143,0.0,0.0,0.0
2024-01-01 13:00:00,0.2596472526274438,0.0,0.0,2.6
2024-01-01 13:15:00,0.4074021595478286,0.0,0.0,1.0
2024-01-01 13:30:00,0.5095237423726735,0.0,0.0,0.0
2024-01-01 13:45:00,0.7783585406079497,0.0,0.0,0.0
2024-01-01 14:00:00,0.3510759397255878,0.0,0.0,0.0
2024-01-01 14:15:00,0.3510759397255878,3.7333333333333334,0.0,1.4
2024-01-01 14:30:00,0.3447699437934953,7.0,0.0,2.4
2024-01-01 14:45:00,0.3553855306862477,7.0,0.0,3.0
2024-01-01 15:00:00,0.9290521973529143,7.0,1.3333333333333333,3.0
2024-01-01 15:15:00,0.9800542122744991,7.0,1.8666666666666667,3.0
2024-01-01 15:30:00,0.8418013589346967,7.0,0.0,3.0
2024-01-01 15:45:00,0.5630759397255878,1.4,0.0,3.0
2024-01-01 16:00:00,0.4824092730589211,0.0,0.0,3.0
2024-01-01 16:15:00,0.44207593972558784,0.0,0.0,0.6
2024-01-01 16:30:00,0.609409273058921,0.0,0.0,0.0
