,WasherDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.5294994407425646,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.37991886401958097,0.0,2.0
2024-01-01 00:30:00,0.001,0.001,0.3410759397255878,1.6,0.0
2024-01-01 00:45:00,0.001,0.001,0.3410759397255878,2.933333333333333,0.0
2024-01-01 01:00:00,0.001,0.001,0.3102182476275611,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.37852374237267356,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.27719040903934017,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.18458249491511566,0.0,1.8
2024-01-01 02:00:00,0.001,0.001,0.1767,0.0,2.4
2024-01-01 02:15:00,0.001,0.001,0.1767,0.0,1.2
2024-01-01 02:30:00,0.001,0.001,0.32869999999999994,0.0,3.0
2024-01-01 02:45:00,0.001,0.001,0.7031666666666666,0.0,0.8
2024-01-01 03:00:00,0.001,0.001,0.1767,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.1767,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.14051333333333332,0.26666666666666666,0.0
2024-01-01 03:45:00,0.001,0.001,0.155,4.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.20566666666666666,0.26666666666666666,1.6
2024-01-01 04:15:00,0.001,0.001,0.041,0.0,3.0
2024-01-01 04:30:00,0.001,0.001,0.041,0.0,0.4
2024-01-01 04:45:00,0.001,0.001,0.041,2.1333333333333333,0.0
2024-01-01 05:00:00,0.001,0.001,1.1831333333333334,0.26666666666666666,0.4
2024-01-01 05:15:00,0.001,0.001,0.231,0.0,2.4
2024-01-01 05:30:00,0.001,0.001,0.05366666666666667,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.5740666666666667,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.041,2.933333333333333,2.0
2024-01-01 06:15:00,0.001,0.001,0.079,1.0666666666666667,2.2
2024-01-01 06:30:00,0.001,0.001,0.231,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.09166666666666666,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.231,0.0,2.2
2024-01-01 08:00:00,0.001,0.001,0.6627333333333334,3.7333333333333334,3.0
2024-01-01 08:15:00,0.001,0.001,0.041,0.5333333333333333,1.6
2024-01-01 08:30:00,0.001,0.001,0.8406,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.041,0.0,1.8
2024-01-01 09:00:00,0.001,0.001,0.193,0.0,3.0
2024-01-01 09:15:00,0.001,0.001,0.16766666666666669,0.0,3.0
2024-01-01 09:30:00,0.001,0.001,0.041,0.0,3.0
2024-01-01 09:45:00,0.001,0.001,0.041,0.0,3.0
2024-01-01 10:00:00,0.001,0.001,0.041,0.0,3.0
2024-01-01 10:15:00,0.001,0.001,0.155,2.6666666666666665,3.0
2024-01-01 10:30:00,0.001,0.001,0.20566666666666666,1.3333333333333333,3.0
2024-01-01 10:45:00,0.001,0.001,0.041,0.0,3.0
2024-01-01 11:00:00,0.001,0.001,0.4408,0.0,3.0
2024-01-01 11:15:00,0.001,0.001,0.4408,0.0,3.0
2024-01-01 11:30:00,0.001,0.001,0.117,0.0,3.0
2024-01-01 11:45:00,0.001,0.23432020964825145,0.231,0.0,3.0
2024-01-01 12:00:00,0.001,0.7039212343379038,0.05366666666666667,0.0,3.0
2024-01-01 12:15:00,0.001,0.34459935945807013,0.041,0.0,3.0
2024-01-01 12:30:00,0.001,0.17055433073639628,0.041,0.0,3.0
2024-01-01 12:45:00,0.001,0.6931757513099117,0.6120666666666668,0.0,3.0
2024-01-01 13:00:00,0.001,1.1064459872400179,0.231,0.0,3.0
2024-01-01 13:15:00,0.001,0.08670669606343534,0.09166666666666666,2.1333333333333333,0.6
2024-01-01 13:30:00,0.001,0.16148062471651628,0.041,1.8666666666666667,0.0
2024-01-01 13:45:00,0.001,0.4466169173542534,0.041,0.0,0.0
2024-01-01 14:00:00,0.001,0.6702829062716366,0.041,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.231,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.12966666666666668,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.10553333333333333,0.0,0.6
2024-01-01 15:30:00,0.001,0.001,0.314,0.0,3.0
2024-01-01 15:45:00,0.001,0.001,0.2886666666666667,0.0,0.6
2024-01-01 16:00:00,0.001,0.001,0.162,2.1333333333333333,0.0
2024-01-01 16:15:00,0.001,0.001,0.11359999999999999,1.8666666666666667,0.0
2024-01-01 16:30:00,0.001,0.001,0.041,0.0,1.8
2024-01-01 16:45:00,0.001,0.001,0.155,0.0,3.0
2024-01-01 17:00:00,0.001,0.001,0.20566666666666666,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.041,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.117,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.231,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.05366666666666667,2.4,2.8
2024-01-01 18:45:00,0.001,0.001,0.06991729315039187,1.8666666666666667,1.8
2024-01-01 19:00:00,0.001,0.001,0.0843759397255878,0.0,0.0
2024-01-01 19:15:00,0.001,0.001,0.1405759397255878,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.36537593972558774,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.2986426063922545,0.0,0.0
2024-01-01 20:00:00,0.001,0.06337075933274473,0.26903070201972873,0.0,2.0
2024-01-01 20:15:00,0.001,0.3414159952733573,0.7675570757060068,0.0,2.4
2024-01-01 20:30:00,0.001,0.7703547907991353,0.5988655002550051,0.0,0.0
2024-01-01 20:45:00,0.001,0.14195283548275117,0.4948892730589211,0.0,0.0
2024-01-01 21:00:00,0.001,0.1586556859711958,0.9628092730589211,1.3333333333333333,0.0
2024-01-01 21:15:00,0.001,1.0589097406909311,0.3410759397255878,2.933333333333333,0.8
2024-01-01 21:30:00,0.1064713048076884,0.7245716183784601,0.3410759397255878,0.0,3.0
2024-01-01 21:45:00,0.7920347860576631,0.12587528452921137,0.7408759397255877,0.0,0.0
2024-01-01 22:00:00,0.7920347860576631,0.2671050864688897,0.4930759397255878,0.0,0.0
2024-01-01 22:15:00,0.7920347860576631,0.8015628867911536,0.4669543569007429,0.0,0.0
2024-01-01 22:30:00,0.7920347860576631,0.16532933341856276,0.3103208789411657,0.0,0.0
2024-01-01 22:45:00,0.7920347860576631,0.001,0.3292521973529143,0.0,0.0
2024-01-01 23:00:00,0.7920347860576631,0.001,0.8461855306862476,0.0,0.0
2024-01-01 23:15:00,0.7920347860576631,0.001,0.3222521973529143,0.0,0.0
2024-01-01 23:30:00,0.7920347860576631,0.001,0.49391886401958096,0.0,0.0
2024-01-01 23:45:00,0.7920347860576631,0.001,0.3347699437934953,0.0,0.4
2024-01-02 00:00:00,0.7920347860576631,0.001,0.3200411414903116,0.0,3.0
2024-01-02 00:15:00,0.7920347860576631,0.001,0.3095237423726735,0.0,3.0
2024-01-02 00:30:00,0.7920347860576631,0.001,0.2887237423726735,0.0,3.0
2024-01-02 00:45:00,0.7392991336538189,0.001,0.37852374237267356,0.0,3.0
2024-01-02 01:00:00,0.001,0.001,0.4677237423726735,0.0,3.0
2024-01-02 01:15:00,0.001,0.001,0.31075491615817824,0.0,0.6
2024-01-02 01:30:00,0.001,0.001,0.1767,0.0,0.0
2024-01-02 01:45:00,0.001,0.001,0.2147,0.0,0.0
2024-01-02 02:00:00,0.001,0.001,0.36669999999999997,0.0,0.0
2024-01-02 02:15:00,0.001,0.001,0.22736666666666666,0.0,0.0
2024-01-02 02:30:00,0.001,0.001,0.1767,0.0,0.0
2024-01-02 02:45:00,0.001,0.001,0.1767,0.0,3.0
2024-01-02 03:00:00,0.001,0.001,0.1767,0.0,3.0
2024-01-02 03:15:00,0.001,0.001,0.36669999999999997,0.0,0.4
2024-01-02 03:30:00,0.001,0.001,0.13871333333333336,0.0,0.0
2024-01-02 03:45:00,0.001,0.001,0.041,0.0,0.0
2024-01-02 04:00:00,0.001,0.001,0.041,0.0,0.0
2024-01-02 04:15:00,0.001,0.001,0.5740666666666667,2.6666666666666665,2.0
2024-01-02 04:30:00,0.001,0.001,0.32626666666666665,1.3333333333333333,0.0
2024-01-02 04:45:00,0.001,0.001,0.5674666666666667,0.5333333333333333,0.0
2024-01-02 05:00:00,0.001,0.001,0.041,0.26666666666666666,0.0
2024-01-02 05:15:00,0.001,0.001,0.041,2.4,2.4
2024-01-02 05:30:00,0.001,0.001,0.041,4.0,1.8
2024-01-02 05:45:00,0.001,0.001,0.5548000000000001,0.26666666666666666,0.0
2024-01-02 06:00:00,0.001,0.001,0.20566666666666666,0.0,0.0
2024-01-02 06:15:00,0.001,0.001,0.041,0.0,0.0
2024-01-02 06:30:00,0.001,0.001,0.041,0.0,0.0
2024-01-02 06:45:00,0.001,0.001,0.4408,0.0,0.0
2024-01-02 07:00:00,0.001,0.001,0.117,0.0,0.4
2024-01-02 07:15:00,0.001,0.001,0.231,2.1333333333333333,3.0
2024-01-02 07:30:00,0.001,0.001,0.05366666666666667,2.1333333333333333,2.4
2024-01-02 07:45:00,0.001,0.001,0.041,0.0,3.0
2024-01-02 08:00:00,0.001,0.001,0.041,0.0,3.0
2024-01-02 08:15:00,0.001,0.001,0.079,0.0,0.0
2024-01-02 08:30:00,0.001,0.001,0.231,0.0,0.0
2024-01-02 08:45:00,0.001,0.001,0.09166666666666666,0.0,0.0
2024-01-02 09:00:00,0.001,0.001,0.041,0.0,0.0
2024-01-02 09:15:00,0.001,0.001,0.20739999999999997,0.5333333333333333,0.8
2024-01-02 09:30:00,0.001,0.001,1.289,3.7333333333333334,3.0
2024-01-02 09:45:00,0.001,0.001,1.3126,0.0,2.2
2024-01-02 10:00:00,0.001,0.001,0.5294666666666666,0.0,2.0
2024-01-02 10:15:00,0.001,0.001,0.0528237423726735,0.0,0.0
2024-01-02 10:30:00,0.001,0.001,1.118957075706007,0.0,1.4
2024-01-02 10:45:00,0.001,0.001,0.0528237423726735,0.0,2.2
2024-01-02 11:00:00,0.001,0.001,0.2048237423726735,0.0,2.6
2024-01-02 11:15:00,0.001,0.001,0.17949040903934016,0.0,1.0
2024-01-02 11:30:00,0.001,0.001,0.043364748474534705,0.0,0.0
2024-01-02 11:45:00,0.001,0.001,0.041,2.4,2.0
2024-01-02 12:00:00,0.001,0.001,0.06624175788233146,1.8666666666666667,0.8
2024-01-02 12:15:00,0.001,0.001,0.23178553068624766,0.0,0.0
2024-01-02 12:30:00,0.001,0.001,0.37291886401958096,0.0,0.0
2024-01-02 12:45:00,0.001,0.001,0.20825219735291428,0.0,1.6
2024-01-02 13:00:00,0.001,0.001,0.20825219735291428,0.0,3.0
2024-01-02 13:15:00,0.001,0.001,0.2050903123098874,0.0,0.8
2024-01-02 13:30:00,0.001,0.001,0.2645237423726735,0.0,0.0
2024-01-02 13:45:00,0.001,0.001,0.9115904090393402,0.0,0.6
2024-01-02 14:00:00,0.001,0.001,0.20119040903934016,0.0,1.6
2024-01-02 14:15:00,0.001,0.001,0.1885237423726735,1.8666666666666667,0.0
