,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.0,0.001,0.33502087894116567,0.0
2024-01-01 00:15:00,0.0,0.001,0.14179999999999998,0.0
2024-01-01 00:30:00,0.0,0.001,0.30533333333333335,0.0
2024-01-01 00:45:00,0.0,0.001,0.094,0.0
2024-01-01 01:00:00,0.0,0.001,0.056,0.0
2024-01-01 01:15:00,0.0,0.001,0.056,0.0
2024-01-01 01:30:00,0.0,0.001,0.056,0.0
2024-01-01 01:45:00,0.0,0.001,0.242,0.0
2024-01-01 02:00:00,0.0,0.001,0.18666666666666665,0.0
2024-01-01 02:15:00,0.0,0.001,0.056,0.0
2024-01-01 02:30:00,0.0,0.001,0.056,0.0
2024-01-01 02:45:00,0.0,0.001,0.056,0.0
2024-01-01 03:00:00,0.0,0.001,0.14933333333333335,0.0
2024-01-01 03:15:00,0.0,0.001,0.2793333333333333,0.0
2024-01-01 03:30:00,0.0,0.001,0.056,0.0
2024-01-01 03:45:00,0.0,0.001,0.056,0.0
2024-01-01 04:00:00,0.0,0.001,0.056,0.0
2024-01-01 04:15:00,0.0,0.001,0.10733333333333334,0.0
2024-01-01 04:30:00,0.0,0.001,0.2833333333333333,0.0
2024-01-01 04:45:00,0.0,0.001,0.094,0.0
2024-01-01 05:00:00,0.0,0.001,0.056,0.0
2024-01-01 05:15:00,0.0,0.001,0.056,0.0
2024-01-01 05:30:00,0.0,0.001,0.078,13.0
2024-01-01 05:45:00,0.0,0.001,0.242,0.0
2024-01-01 06:00:00,0.0,0.001,0.16466666666666666,0.0
2024-01-01 06:15:00,0.0,0.001,0.056,0.0
2024-01-01 06:30:00,0.0,0.001,0.056,0.0
2024-01-01 06:45:00,0.0,0.001,0.056,0.0
2024-01-01 07:00:00,0.0,0.001,0.17133333333333337,0.0
2024-01-01 07:15:00,0.0,0.001,0.2573333333333333,0.0
2024-01-01 07:30:00,0.0,0.001,0.056,0.0
2024-01-01 07:45:00,0.0,0.001,0.056,0.0
2024-01-01 08:00:00,0.0,0.001,0.056,0.0
2024-01-01 08:15:00,0.0,0.001,0.12933333333333336,0.0
2024-01-01 08:30:00,0.0,0.001,0.2613333333333333,0.0
2024-01-01 08:45:00,0.0,0.001,0.094,0.0
