,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 00:00:00,2.0,15.0,15.0,16.259165,17.51833,0.13107714215844404
2024-07-29 00:01:00,2.0,15.0,15.000740224065552,16.25886244943819,17.51833,0.13107714215844404
2024-07-29 00:02:00,2.0,15.0,15.001479880760973,16.258560540302835,17.51833,0.13107714215844404
2024-07-29 00:03:00,2.0,15.0,15.002218970734102,16.25825927176592,17.51833,0.13107714215844404
2024-07-29 00:04:00,2.0,15.0,15.002957494631987,16.25795864300046,17.51833,0.13107714215844404
2024-07-29 00:05:00,2.0,15.0,15.00369545310089,16.257658653180492,17.51833,0.13107714215844404
2024-07-29 00:06:00,2.0,15.0,15.004432846786287,16.25735930148107,17.51833,0.13107714215844404
2024-07-29 00:07:00,2.0,15.0,15.00516967633286,16.257060587078275,17.51833,0.13107714215844404
2024-07-29 00:08:00,2.0,15.0,15.005905942384516,16.256762509149205,17.51833,0.13107714215844404
2024-07-29 00:09:00,2.0,15.0,15.006641645584367,16.25646506687197,17.51833,0.13107714215844404
2024-07-29 00:10:00,2.0,15.0,15.007376786574747,16.256168259425706,17.51833,0.13107714215844404
2024-07-29 00:11:00,2.0,15.0,15.008111365997209,16.255872085990553,17.51833,0.13107714215844404
2024-07-29 00:12:00,2.0,15.0,15.00884538449252,16.255576545747676,17.51833,0.13107714215844404
2024-07-29 00:13:00,2.0,15.0,15.00957884270067,16.255281637879243,17.51833,0.13107714215844404
2024-07-29 00:14:00,2.0,15.0,15.010311741260864,16.25498736156844,17.51833,0.13107714215844404
2024-07-29 00:15:00,2.0,15.0,15.011044080811534,16.254693715999462,17.51833,0.13107714215844404
2024-07-29 00:16:00,2.0,15.0,15.011775861990328,16.25440070035751,17.51833,0.13107714215844404
2024-07-29 00:17:00,2.0,15.0,15.012507085434125,16.254108313828798,17.51833,0.13107714215844404
2024-07-29 00:18:00,2.0,15.0,15.013237751779021,16.25381655560054,17.51833,0.13107714215844404
2024-07-29 00:19:00,2.0,15.0,15.01396786166034,16.253525424860964,17.51833,0.13107714215844404
2024-07-29 00:20:00,2.0,15.0,15.014697415712632,16.25323492079929,17.51833,0.13107714215844404
2024-07-29 00:21:00,2.0,15.0,15.015426414569673,16.252945042605752,17.51833,0.13107714215844404
2024-07-29 00:22:00,2.0,15.0,15.016154858864466,16.25265578947158,17.51833,0.13107714215844404
2024-07-29 00:23:00,2.0,15.0,15.016882749229246,16.252367160589003,17.51833,0.13107714215844404
2024-07-29 00:24:00,2.0,15.0,15.017610086295477,16.252079155151254,17.51833,0.13107714215844404
2024-07-29 00:25:00,2.0,15.0,15.01833687069385,16.25179177235256,17.51833,0.13107714215844404
2024-07-29 00:26:00,2.0,15.0,15.01906310305429,16.251505011388147,17.51833,0.13107714215844404
2024-07-29 00:27:00,2.0,15.0,15.019788784005954,16.25121887145423,17.51833,0.13107714215844404
2024-07-29 00:28:00,2.0,15.0,15.020513914177235,16.25093335174803,17.51833,0.13107714215844404
2024-07-29 00:29:00,2.0,15.0,15.021238494195757,16.25064845146775,17.51833,0.13107714215844404
2024-07-29 00:30:00,2.0,15.0,15.021962524688382,16.250364169812592,17.51833,0.13107714215844404
