,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
2024-07-29 00:00:00,2.0,0,0,0,0.0,0.0,15.0,15.0,16.259165,17.51833,0.1677572094182129,0.0,0.076,60.0,60.0,0.0
2024-07-29 00:01:00,2.0,0,0,0,0.0,0.0,15.0,15.000853698323876,16.25873769521923,17.51833,0.1677572094182129,0.0,0.0759891065456283,60.0,59.994553272814144,0.0
2024-07-29 00:02:00,2.0,0,0,0,0.0,0.0,15.0,15.001706631141317,16.258311233385797,17.51833,0.1677572094182129,0.0,0.07597821465266906,60.0,59.989107326334526,0.0
2024-07-29 00:03:00,2.0,0,0,0,0.0,0.0,15.0,15.002558799395034,16.25788561336805,17.51833,0.1677572094182129,0.0,0.07596732432089849,60.0,59.98366216044924,0.0
2024-07-29 00:04:00,2.0,0,0,0,0.0,0.0,15.0,15.003410204026526,16.25746083403581,17.51833,0.1677572094182129,0.0,0.07595643555009282,60.0,59.97821777504641,0.0
2024-07-29 00:05:00,2.0,0,0,0,0.0,0.0,15.0,15.004260845976079,16.257036894260377,17.51833,0.1677572094182129,0.0,0.07594554834002831,60.0,59.972774170014155,0.0
2024-07-29 00:06:00,2.0,0,0,0,0.0,0.0,15.0,15.005110726182767,16.256613792914507,17.51833,0.1677572094182129,0.0,0.07593466269048124,60.0,59.96733134524062,0.0
2024-07-29 00:07:00,2.0,0,0,0,0.0,0.0,15.0,15.005959845584462,16.256191528872424,17.51833,0.1677572094182129,0.0,0.07592377860122795,60.0,59.961889300613976,0.0
2024-07-29 00:08:00,2.0,0,0,0,0.0,0.0,15.0,15.006808205117823,16.255770101009812,17.51833,0.1677572094182129,0.0,0.0759128960720448,60.0,59.956448036022394,0.0
2024-07-29 00:09:00,2.0,0,0,0,0.0,0.0,15.0,15.007655805718306,16.25534950820382,17.51833,0.1677572094182129,0.0,0.07590201510270814,60.0,59.95100755135407,0.0
2024-07-29 00:10:00,2.0,0,0,0,0.0,0.0,15.0,15.008502648320166,16.254929749333055,17.51833,0.1677572094182129,0.0,0.07589113569299441,60.0,59.945567846497205,0.0
2024-07-29 00:11:00,2.0,0,0,0,0.0,0.0,15.0,15.00934873385645,16.254510823277574,17.51833,0.1677572094182129,0.0,0.07588025784268009,60.0,59.94012892134004,0.0
2024-07-29 00:12:00,2.0,0,0,0,0.0,0.0,15.0,15.01019406325901,16.2540927289189,17.51833,0.1677572094182129,0.0,0.07586938155154162,60.0,59.93469077577081,0.0
2024-07-29 00:13:00,2.0,0,0,0,0.0,0.0,15.0,15.011038637458496,16.253675465139995,17.51833,0.1677572094182129,1.92556,0.07585850681935555,60.0,59.92925340967777,1.0
