,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 00:00:00,2.0,0,0,0,0.0,0.0,15.0,15.0,16.259165,17.51833,0.36655901510803535
2024-07-29 00:01:00,2.0,0,0,0,0.0,0.0,15.0,15.004067339688941,16.256393963457942,17.51833,0.36655901510803535
2024-07-29 00:02:00,2.0,0,0,0,0.0,0.0,15.0,15.008113029995691,16.253647840932686,17.51833,0.36655901510803535
2024-07-29 00:03:00,2.0,0,0,0,0.0,0.0,15.0,15.012137218056996,16.25092645657506,17.51833,0.36655901510803535
2024-07-29 00:04:00,2.0,0,0,0,0.0,0.0,15.0,15.016140049989126,16.24822963575878,17.51833,0.36655901510803535
2024-07-29 00:05:00,2.0,0,0,0,0.0,0.0,15.0,15.020121670894973,16.245557205071957,17.51833,0.36655901510803535
2024-07-29 00:06:00,2.0,0,0,0,0.0,0.0,15.0,15.02408222487108,16.242908992308656,17.51833,0.36655901510803535
2024-07-29 00:07:00,2.0,0,0,0,0.0,0.0,15.0,15.028021855014636,16.240284826460524,17.51833,0.36655901510803535
2024-07-29 00:08:00,2.0,0,0,0,0.0,0.0,15.0,15.031940703430415,16.23768453770846,17.51833,0.36655901510803535
2024-07-29 00:09:00,2.0,0,0,0,0.0,0.0,15.0,15.035838911237668,16.23510795741437,17.51833,0.36655901510803535
2024-07-29 00:10:00,2.0,0,0,0,0.0,0.0,15.0,15.039716618576973,16.232554918112946,17.51833,0.36655901510803535
2024-07-29 00:11:00,2.0,0,0,0,0.0,0.0,15.0,15.043573964617025,16.230025253503527,17.51833,0.36655901510803535
2024-07-29 00:12:00,2.0,0,0,0,0.0,0.0,15.0,15.047411087561391,16.227518798442006,17.51833,0.36655901510803535
2024-07-29 00:13:00,2.0,0,0,0,0.0,0.0,15.0,15.051228124655216,16.2250353889328,17.51833,0.36655901510803535
2024-07-29 00:14:00,2.0,0,0,0,0.0,0.0,15.0,15.055025212191872,16.222574862120865,17.51833,0.36655901510803535
2024-07-29 00:15:00,2.0,0,0,0,0.0,0.0,15.0,15.058802485519575,16.220137056283775,17.51833,0.36655901510803535
2024-07-29 00:16:00,2.0,0,0,0,0.0,0.0,15.0,15.062560079047948,16.217721810823853,17.51833,0.36655901510803535
2024-07-29 00:17:00,2.0,0,0,0,0.0,0.0,15.0,15.066298126254539,16.215328966260362,17.51833,0.36655901510803535
2024-07-29 00:18:00,2.0,0,0,0,0.0,0.0,15.0,15.070016759691296,16.212958364221738,17.51833,0.36655901510803535
2024-07-29 00:19:00,2.0,0,0,0,0.0,0.0,15.0,15.073716110990993,16.21060984743789,17.51833,0.36655901510803535
2024-07-29 00:20:00,2.0,0,0,0,0.0,0.0,15.0,15.077396310873622,16.20828325973255,17.51833,0.36655901510803535
2024-07-29 00:21:00,2.0,0,0,0,0.0,0.0,15.0,15.081057489152721,16.205978446015667,17.51833,0.36655901510803535
2024-07-29 00:22:00,2.0,0,0,0,0.0,0.0,15.0,15.084699774741681,16.203695252275864,17.51833,0.36655901510803535
2024-07-29 00:23:00,2.0,0,0,0,0.0,0.0,15.0,15.08832329565999,16.201433525572945,17.51833,0.36655901510803535
2024-07-29 00:24:00,2.0,0,0,0,0.0,0.0,15.0,15.091928179039444,16.199193114030457,17.51833,0.36655901510803535
2024-07-29 00:25:00,2.0,0,0,0,0.0,0.0,15.0,15.095514551130314,16.196973866828298,17.51833,0.36655901510803535
