,Occupancy,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP
2024-07-29 00:00:00,2.0,15.0,15.0,16.259165,17.51833,0.3258480176488709
2024-07-29 00:01:00,2.0,15.0,15.001499312735834,16.25817086671852,17.51833,0.3258480176488709
2024-07-29 00:02:00,2.0,15.0,15.002995788615703,16.25717992745472,17.51833,0.3258480176488709
2024-07-29 00:03:00,2.0,15.0,15.00448943447117,16.256192174205864,17.51833,0.3258480176488709
2024-07-29 00:04:00,2.0,15.0,15.005980257116997,16.255207598988935,17.51833,0.3258480176488709
2024-07-29 00:05:00,2.0,15.0,15.007468263351194,16.254226193840616,17.51833,0.3258480176488709
2024-07-29 00:06:00,2.0,15.0,15.008953459955052,16.253247950817222,17.51833,0.3258480176488709
2024-07-29 00:07:00,2.0,15.0,15.010435853693187,16.252272861994665,17.51833,0.3258480176488709
2024-07-29 00:08:00,2.0,15.0,15.011915451313582,16.25130091946839,17.51833,0.3258480176488709
2024-07-29 00:09:00,2.0,15.0,15.01339225954763,16.25033211535335,17.51833,0.3258480176488709
2024-07-29 00:10:00,2.0,15.0,15.014866285110168,16.249366441783923,17.51833,0.3258480176488709
2024-07-29 00:11:00,2.0,15.0,15.01633753469953,16.24840389091391,17.51833,0.3258480176488709
2024-07-29 00:12:00,2.0,15.0,15.01780601499757,16.24744445491644,17.51833,0.3258480176488709
2024-07-29 00:13:00,2.0,15.0,15.019271732669718,16.246488125983962,17.51833,0.3258480176488709
2024-07-29 00:14:00,2.0,15.0,15.020734694365018,16.24553489632817,17.51833,0.3258480176488709
2024-07-29 00:15:00,2.0,15.0,15.022194906716157,16.244584758179972,17.51833,0.3258480176488709
2024-07-29 00:16:00,2.0,15.0,15.02365237633952,16.243637703789428,17.51833,0.3258480176488709
2024-07-29 00:17:00,2.0,15.0,15.025107109835222,16.24269372542572,17.51833,0.3258480176488709
2024-07-29 00:18:00,2.0,15.0,15.02655911378715,16.24175281537709,17.51833,0.3258480176488709
2024-07-29 00:19:00,2.0,15.0,15.028008394762999,16.240814965950804,17.51833,0.3258480176488709
2024-07-29 00:20:00,2.0,15.0,15.029454959314322,16.2398801694731,17.51833,0.3258480176488709
2024-07-29 00:21:00,2.0,15.0,15.03089881397656,16.238948418289137,17.51833,0.3258480176488709
2024-07-29 00:22:00,2.0,15.0,15.032339965269083,16.238019704762955,17.51833,0.3258480176488709
2024-07-29 00:23:00,2.0,15.0,15.033778419695235,16.23709402127743,17.51833,0.3258480176488709
2024-07-29 00:24:00,2.0,15.0,15.03521418374237,16.236171360234216,17.51833,0.3258480176488709
2024-07-29 00:25:00,2.0,15.0,15.036647263881889,16.235251714053717,17.51833,0.3258480176488709
2024-07-29 00:26:00,2.0,15.0,15.038077666569285,16.234335075175025,17.51833,0.3258480176488709
2024-07-29 00:27:00,2.0,15.0,15.039505398244174,16.23342143605588,17.51833,0.3258480176488709
2024-07-29 00:28:00,2.0,15.0,15.040930465330344,16.232510789172625,17.51833,0.3258480176488709
2024-07-29 00:29:00,2.0,15.0,15.042352874235787,16.231603127020158,17.51833,0.3258480176488709
2024-07-29 00:30:00,2.0,15.0,15.04377263135274,16.230698442111887,17.51833,0.3258480176488709
2024-07-29 00:31:00,2.0,15.0,15.04518974305772,16.229796726979682,17.51833,0.3258480176488709
