,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,T_set,Tref,Twall,Tout,T_ref,P_use,P_loss
2024-01-01 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.997781025705086,14.978151367542843,12.0,58,385.11199999999997,0.0
2024-01-01 01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.992556350570286,14.935078174938143,12.0,54,1733.0040000000001,0.0
2024-01-01 02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.984478090819854,14.886664931894675,11.0,52,385.11199999999997,0.0
2024-01-01 03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.973349755017948,14.832937590710559,11.0,49,577.6679999999999,0.0
2024-01-01 04:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.960820698262859,14.781485140553519,11.0,42,4043.676,0.0
2024-01-01 05:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.945424503991575,14.724853407962048,10.0,33,2888.3399999999997,0.0
2024-01-01 06:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.926972071026366,14.66305995819974,10.0,31,385.11199999999997,0.0
2024-01-01 07:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.907203063161434,14.603687001626655,10.0,23,3080.896,0.0
2024-01-01 08:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.891849201162996,14.54663487836971,10.0,11,5969.236000000001,0.0
2024-01-01 09:00:00,2.0,1.0,0.0,0.0,0.8061111111111121,0.7205555555555556,60.0,14.887904150410792,14.492092522943384,10.0,7,770.2239999999999,0.0
2024-01-01 10:00:00,1.0,1.0,0.0,0.0,0.8213888888888893,0.7908333333333334,60.0,14.906409095650538,14.447757150523687,11.0,0,5391.568,0.0
2024-01-01 11:00:00,1.0,1.0,0.0,0.0,1.0047222222222245,0.0,60.0,14.953759966392113,14.42149908744441,12.0,0,1540.448,0.0
2024-01-01 12:00:00,1.0,1.0,0.0,1.0,1.1880555555555599,0.0,60.0,15.00676771756911,14.405848178510707,12.0,0,1540.448,0.0
2024-01-01 13:00:00,1.0,1.0,0.0,0.0,0.8397222222222228,0.7908333333333334,60.0,15.05050473472599,14.392670095820222,12.0,0,5776.679999999999,0.0
2024-01-01 14:00:00,1.0,1.0,0.0,0.0,1.023055555555558,0.0,60.0,15.074125219102164,14.381447033278898,12.0,0,770.2239999999999,0.0
2024-01-01 15:00:00,1.0,1.0,0.0,1.0,1.2063888888888934,0.0,60.0,15.063175114199577,14.371005327789824,12.0,0,962.78,0.0
2024-01-01 16:00:00,1.0,1.0,0.0,0.0,0.8488888888888896,0.7908333333333334,60.0,15.033966226246715,14.35301731679212,11.0,0,1540.4479999999999,0.0
2024-01-01 17:00:00,1.0,1.0,0.0,0.0,1.0322222222222248,0.0,60.0,15.002995300906884,14.327459095079007,11.0,0,1347.8919999999998,0.0
2024-01-01 18:00:00,1.0,1.0,0.0,0.0,1.2155555555555602,0.0,60.0,14.97230957202875,14.30208867444502,11.0,0,2503.228,0.0
2024-01-01 19:00:00,1.0,1.0,0.0,0.0,1.3988888888888955,0.0,60.0,14.941904808651513,14.276906682020032,11.0,0,3080.896,0.0
2024-01-01 20:00:00,1.0,1.0,0.0,0.0,1.5822222222222309,0.0,60.0,14.911776957765206,14.251913566485852,11.0,0,3080.896,0.0
2024-01-01 21:00:00,1.0,1.0,0.0,0.0,1.7655555555555662,0.0,60.0,14.88032703892888,14.219816962905101,10.0,0,1155.3359999999998,0.0
2024-01-01 22:00:00,2.0,1.0,0.0,0.0,1.9488888888889015,0.0,60.0,14.847243759989093,14.180783609121274,10.0,0,192.55599999999998,0.0
2024-01-01 23:00:00,2.0,1.0,0.0,0.0,2.1322222222222367,0.0,60.0,14.814069217845264,14.142532252398196,10.0,0,192.55599999999998,0.0
