,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,T_set,Tref,Twall,Tout,T_ref,P_use,P_loss
2024-01-01 00:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.498570429906483,14.48180607272206,12.0,52,3851.1200000000003,0.0
2024-01-01 01:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.49504651410998,14.44599154622739,12.0,51,1347.892,0.0
2024-01-01 02:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.488802739103612,14.404585962763779,11.0,45,770.2239999999999,0.0
2024-01-01 03:00:00,2.0,0.0,0.0,0.0,0.0,0.0,60.0,14.479622232879203,14.357639506780307,11.0,37,1733.004,0.0
2024-01-01 04:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.469144566014556,14.312754221600423,11.0,33,1347.892,0.0
2024-01-01 05:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.455894238732744,14.262488123221717,10.0,24,3466.0080000000003,0.0
2024-01-01 06:00:00,2.0,1.0,0.0,0.0,0.8397222222222231,0.7602777777777778,60.0,14.439665261992614,14.206878811955402,10.0,12,5969.236000000001,0.0
2024-01-01 07:00:00,1.0,1.0,0.0,0.0,0.8305555555555559,0.7969444444444445,60.0,14.422185736480447,14.15351769891722,10.0,8,770.2239999999999,0.0
2024-01-01 08:00:00,1.0,1.0,0.0,0.0,1.0138888888888913,0.0,60.0,14.40908700900716,14.102312503697116,10.0,2,2695.784,0.0
2024-01-01 09:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.406494418671047,14.053457213996198,10.0,0,8665.019999999999,0.0
2024-01-01 10:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.42730400898431,14.014652642983679,11.0,0,1155.3359999999998,0.0
2024-01-01 11:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.481593688836703,13.993909472287452,12.0,0,2888.3399999999997,0.0
2024-01-01 12:00:00,1.0,1.0,0.0,0.0,0.9191666666666682,0.7755555555555556,60.0,14.543098314618737,13.983911685886158,12.0,0,2118.116,0.0
2024-01-01 13:00:00,1.0,1.0,0.0,0.0,1.1025000000000036,0.0,60.0,14.595721605486801,13.976492674853755,12.0,0,962.78,0.0
2024-01-01 14:00:00,1.0,0.0,0.0,0.0,0.0,0.0,60.0,14.6279317928829,13.971152419444811,12.0,0,3466.0080000000003,0.0
2024-01-01 15:00:00,3.0,0.0,0.0,0.0,0.0,0.0,60.0,14.621197050848531,13.966554773484964,12.0,0,2695.784,0.0
2024-01-01 16:00:00,1.0,1.0,0.0,0.0,0.8580555555555565,0.7786111111111111,60.0,14.593850139742107,13.954192808731579,11.0,0,2695.7839999999997,0.0
2024-01-01 17:00:00,1.0,1.0,0.0,0.0,1.0413888888888918,0.0,60.0,14.56479487144542,13.934028092054303,11.0,0,962.78,0.0
2024-01-01 18:00:00,1.0,1.0,0.0,0.0,1.2247222222222272,0.0,60.0,14.536148584892402,13.913837527054445,11.0,0,3466.0080000000003,0.0
2024-01-01 19:00:00,1.0,1.0,0.0,0.0,1.4080555555555625,0.0,60.0,14.507894636460545,13.893637271667696,11.0,0,4043.676,0.0
2024-01-01 20:00:00,1.0,1.0,0.0,0.0,1.5913888888888978,0.0,60.0,14.480017590884932,13.87344205586711,11.0,0,7124.572,0.0
2024-01-01 21:00:00,1.0,1.0,0.0,0.0,1.7747222222222332,0.0,60.0,14.450905259655832,13.845975501241899,10.0,0,3080.896,0.0
2024-01-01 22:00:00,2.0,1.0,0.0,0.0,1.9580555555555685,0.0,60.0,14.420226045625471,13.811427408099929,10.0,0,5006.456,0.0
2024-01-01 23:00:00,2.0,1.0,0.0,0.0,2.141388888888904,0.0,60.0,14.389512655629966,13.777528098242804,10.0,0,6739.460000000001,0.0
