,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.18530347982352763,0.0,2.9,2.2
2024-01-01 01:00:00,0.001,0.001,0.2628666666666667,0.0,3.0,3.0
2024-01-01 02:00:00,0.001,0.001,0.20636666666666667,0.0,3.0,3.0
2024-01-01 03:00:00,0.001,0.001,0.26885,0.0,3.0,3.0
2024-01-01 04:00:00,0.001,0.001,0.19499999999999998,0.0,3.0,3.0
2024-01-01 05:00:00,0.001,0.001,0.059666666666666666,0.0,3.0,3.0
2024-01-01 06:00:00,0.001,0.001,0.28228333333333333,0.0,3.0,3.0
2024-01-01 07:00:00,0.001,0.001,0.10843333333333334,0.0,3.0,3.0
2024-01-01 08:00:00,0.001,0.001,0.27291268311274286,0.0,3.0,3.0
2024-01-01 09:00:00,0.001,0.001,0.2922757587088153,4.766666666666667,3.0,3.0
2024-01-01 10:00:00,0.001,0.001,1.084092148951104,0.55,3.0,3.0
2024-01-01 11:00:00,0.001,0.001,0.41671570757060067,0.0,3.0,3.0
2024-01-01 12:00:00,0.001,0.001,0.35755,0.0,3.0,3.0
2024-01-01 13:00:00,0.001,0.001,0.18325000000000002,0.55,3.0,3.0
2024-01-01 14:00:00,0.001,0.001,0.28633333333333333,0.0,3.0,3.0
2024-01-01 15:00:00,0.001,0.001,0.12483333333333334,0.0,3.0,3.0
2024-01-01 16:00:00,0.001,0.001,0.18760000000000002,0.55,3.0,3.0
2024-01-01 17:00:00,0.001,0.001,0.29440000000000005,0.0,3.0,3.0
2024-01-01 18:00:00,0.001,0.001,0.38641666666666663,0.0,3.0,3.0
2024-01-01 19:00:00,0.001,0.001,1.5896666666666666,0.0,3.0,3.0
2024-01-01 20:00:00,0.001,0.001,0.40621231203439273,0.0,3.0,3.0
2024-01-01 21:00:00,0.001,0.001,0.7099023783696868,0.0,3.0,3.0
2024-01-01 22:00:00,0.001,0.001,0.5486876902340762,0.0,3.0,3.0
2024-01-01 23:00:00,0.001,0.001,0.3169777975787956,0.0,3.0,3.0
