,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0,0.001,0.05,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.20199999999999999,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.21466666666666664,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.05,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.05,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.05,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.05,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.164,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.23999999999999996,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.06266666666666668,0.2
2024-01-01 02:30:00,0.001,0.0,0.001,0.05,0.4
2024-01-01 02:45:00,0.001,0.0,0.001,0.05,1.8
2024-01-01 03:00:00,0.001,0.0,0.001,0.05,1.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.126,0.4
2024-01-01 03:30:00,0.001,0.0,0.001,0.23999999999999996,0.2
2024-01-01 03:45:00,0.001,0.0,0.001,0.10066666666666667,0.2
2024-01-01 04:00:00,0.001,0.0,0.001,0.05,0.4
2024-01-01 04:15:00,0.001,0.0,0.001,0.05,0.2
2024-01-01 04:30:00,0.001,0.0,0.001,0.05,1.4
2024-01-01 04:45:00,0.001,0.0,0.001,0.08800000000000001,0.4
2024-01-01 05:00:00,0.001,0.0,0.001,0.23999999999999996,0.2
2024-01-01 05:15:00,0.001,0.0,0.001,0.13866666666666666,1.6
2024-01-01 05:30:00,0.001,0.0,0.001,0.05,1.8
2024-01-01 05:45:00,0.001,0.0,0.001,0.05433333333333334,0.2
2024-01-01 06:00:00,0.001,0.0,0.001,0.063,0.4
2024-01-01 06:15:00,0.001,0.0,0.001,0.46279999999999993,1.8
2024-01-01 06:30:00,0.001,0.0,0.001,0.253,2.2
2024-01-01 06:45:00,0.001,0.0,0.001,0.1888,0.4
2024-01-01 07:00:00,0.001,0.0,0.001,0.05,0.8
2024-01-01 07:15:00,0.001,0.0,0.001,0.05,0.2
2024-01-01 07:30:00,0.001,0.0,0.001,0.05,1.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.05,0.8
2024-01-01 08:00:00,0.001,0.0,0.001,0.29032,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.22506666666666666,0.2
2024-01-01 08:30:00,0.001,0.0,0.001,0.063,2.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.063,0.8
2024-01-01 09:00:00,0.001,0.0,0.023245747194113448,0.063,1.8
2024-01-01 09:15:00,0.001,0.0,0.10312271613385555,0.05173333333333333,0.8
2024-01-01 09:30:00,0.001,0.0,0.2010950398913879,0.20018666666666665,0.2
2024-01-01 09:45:00,0.001,0.0,1.1929415846478972,0.3757,0.2
