,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.25333333333333335,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.10166666666666666,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.396,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.143,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.21200000000000002,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.36500000000000005,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.06366666666666666,0.0,0.1
2024-01-01 03:15:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 03:30:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 04:00:00,0.001,0.001,0.3223333333333333,0.8,0.1
2024-01-01 04:15:00,0.001,0.001,0.2673333333333333,3.0,0.1
2024-01-01 04:30:00,0.001,0.001,0.051,3.0,1.2
2024-01-01 04:45:00,0.001,0.001,0.051,3.0,0.4
2024-01-01 05:00:00,0.001,0.001,0.051,3.0,0.1
2024-01-01 05:15:00,0.001,0.001,0.11299999999999999,0.4,0.1
2024-01-01 05:30:00,0.001,0.001,0.35,0.0,0.1
2024-01-01 05:45:00,0.001,0.001,0.17766666666666667,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 06:15:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 06:30:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 06:45:00,0.001,0.001,0.19799999999999998,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.303,0.0,0.1
2024-01-01 07:15:00,0.001,0.001,0.13966666666666666,0.0,0.1
2024-01-01 07:30:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 07:45:00,0.001,0.001,0.051,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.10266666666666667,0.0,0.1
2024-01-01 08:15:00,0.001,0.001,0.24633333333333332,0.0,0.1
2024-01-01 08:30:00,0.001,0.001,0.241,0.0,0.1
2024-01-01 08:45:00,0.001,0.001,0.10166666666666666,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 09:15:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 09:30:00,0.001,0.001,0.175,2.4,0.1
2024-01-01 09:45:00,0.001,0.001,0.212,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.241,0.0,0.2
2024-01-01 10:15:00,0.001,0.001,0.06366666666666666,0.0,0.2
2024-01-01 10:30:00,0.001,0.001,0.051,0.0,0.2
2024-01-01 10:45:00,0.001,0.001,0.09233333333333334,0.0,0.1
2024-01-01 11:00:00,0.001,0.001,0.206,0.0,1.2
2024-01-01 11:15:00,0.001,0.001,0.17766666666666667,0.0,0.3
2024-01-01 11:30:00,0.001,0.001,0.3066666666666667,0.0,1.5
2024-01-01 11:45:00,0.001,0.001,0.142,0.0,1.5
2024-01-01 12:00:00,0.001,0.001,0.142,0.0,1.4
2024-01-01 12:15:00,0.001,0.001,0.22533333333333333,0.0,0.8
2024-01-01 12:30:00,0.001,0.001,0.13366666666666666,0.0,1.1
2024-01-01 12:45:00,0.001,0.001,0.21566666666666665,0.0,0.4
2024-01-01 13:00:00,0.001,0.001,0.17766666666666667,0.0,0.3
2024-01-01 13:15:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 13:30:00,0.001,0.001,0.082,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.206,0.0,0.9
2024-01-01 14:00:00,0.001,0.001,0.074,0.0,0.1
2024-01-01 14:15:00,0.001,0.001,0.241,0.0,0.2
2024-01-01 14:30:00,0.001,0.001,0.13966666666666666,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 15:00:00,0.001,0.001,0.15433333333333332,0.0,0.9
2024-01-01 15:15:00,0.001,0.001,0.144,1.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.10166666666666666,1.6,0.2
2024-01-01 15:45:00,0.001,0.001,0.241,0.0,1.5
2024-01-01 16:00:00,0.001,0.001,0.10166666666666666,0.0,0.1
2024-01-01 16:15:00,0.001,0.001,0.07166666666666667,0.0,0.7
2024-01-01 16:30:00,0.001,0.001,0.206,0.0,1.5
2024-01-01 16:45:00,0.001,0.001,0.07166666666666667,0.0,0.6
2024-01-01 17:00:00,0.001,0.001,0.13966666666666666,0.0,1.2
2024-01-01 17:15:00,0.001,0.001,0.241,0.0,0.3
2024-01-01 17:30:00,0.001,0.001,0.06366666666666666,0.0,0.4
2024-01-01 17:45:00,0.001,0.001,0.144,0.0,0.2
2024-01-01 18:00:00,0.001,0.001,0.15433333333333332,0.0,0.7
2024-01-01 18:15:00,0.001,0.001,0.051,0.0,0.1
2024-01-01 18:30:00,0.001,0.001,0.18573333333333333,0.0,0.2
2024-01-01 18:45:00,0.001,0.001,0.33666666666666667,0.0,0.3
2024-01-01 19:00:00,0.001,0.001,0.18233333333333332,0.0,1.4
2024-01-01 19:15:00,0.001,0.001,0.327,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.20299999999999999,0.0,0.1
