,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.1996666666666667,0.0
2024-01-01 00:15:00,0.001,0.001,0.187,0.0
2024-01-01 00:30:00,0.001,0.001,0.05566666666666667,0.0
2024-01-01 00:45:00,0.001,0.001,0.19,0.0
2024-01-01 01:00:00,0.001,0.001,0.08666666666666667,0.0
2024-01-01 01:15:00,0.001,0.001,0.035,0.0
2024-01-01 01:30:00,0.001,0.001,0.13633333333333333,0.0
2024-01-01 01:45:00,0.001,0.001,0.225,0.1
2024-01-01 02:00:00,0.001,0.001,0.12233333333333334,0.1
2024-01-01 02:15:00,0.001,0.001,0.19,0.0
2024-01-01 02:30:00,0.001,0.001,0.04533333333333334,0.1
2024-01-01 02:45:00,0.001,0.001,0.035,0.1
2024-01-01 03:00:00,0.001,0.001,0.073,0.1
2024-01-01 03:15:00,0.001,0.001,0.225,0.0
2024-01-01 03:30:00,0.001,0.001,0.227,0.1
2024-01-01 03:45:00,0.001,0.001,0.159,0.1
2024-01-01 04:00:00,0.001,0.001,0.035,0.6
2024-01-01 04:15:00,0.001,0.001,0.035,1.1
2024-01-01 04:30:00,0.001,0.001,0.035,0.9
2024-01-01 04:45:00,0.001,0.001,0.1996666666666667,1.3
2024-01-01 05:00:00,0.001,0.001,0.33166666666666667,1.4
2024-01-01 05:15:00,0.001,0.001,0.11766666666666667,1.5
2024-01-01 05:30:00,0.001,0.001,0.035,1.5
2024-01-01 05:45:00,0.001,0.001,0.035,0.5
2024-01-01 06:00:00,0.001,0.001,0.43479999999999996,0.2
2024-01-01 06:15:00,0.001,0.001,0.16733333333333336,0.1
2024-01-01 06:30:00,0.001,0.001,0.38,0.8
2024-01-01 06:45:00,0.001,0.001,0.10166666666666667,0.1
2024-01-01 07:00:00,0.001,0.001,0.035,0.7
2024-01-01 07:15:00,0.001,0.001,0.035,1.5
2024-01-01 07:30:00,0.001,0.001,0.035,0.3
2024-01-01 07:45:00,0.001,0.001,0.14533333333333334,0.1
2024-01-01 08:00:00,0.001,0.001,0.7798,0.1
2024-01-01 08:15:00,0.001,0.001,0.12366666666666666,0.3
2024-01-01 08:30:00,0.001,0.001,0.16826666666666668,0.3
2024-01-01 08:45:00,0.001,0.001,0.43479999999999996,0.2
2024-01-01 09:00:00,0.001,0.001,0.43479999999999996,0.3
2024-01-01 09:15:00,0.001,0.001,0.14866666666666667,1.4
2024-01-01 09:30:00,0.001,0.001,0.31333333333333335,0.1
2024-01-01 09:45:00,0.001,0.001,0.187,0.1
2024-01-01 10:00:00,0.001,0.001,0.035,0.3
2024-01-01 10:15:00,0.001,0.001,0.035,0.7
2024-01-01 10:30:00,0.001,0.001,0.0665521973529143,0.1
2024-01-01 10:45:00,0.001,0.001,0.22155219735291432,0.2
2024-01-01 11:00:00,0.001,0.001,0.24021886401958095,0.4
2024-01-01 11:15:00,0.001,0.001,0.2565521973529143,0.9
2024-01-01 11:30:00,0.001,0.001,0.08767857103919238,0.3
2024-01-01 11:45:00,0.001,0.001,0.035,0.5
2024-01-01 12:00:00,0.001,0.001,0.07633333333333334,0.3
2024-01-01 12:15:00,0.001,0.001,0.19,0.2
2024-01-01 12:30:00,0.001,0.001,0.10400000000000001,0.1
2024-01-01 12:45:00,0.001,0.001,0.225,0.1
2024-01-01 13:00:00,0.001,0.001,0.12366666666666666,0.3
2024-01-01 13:15:00,0.001,0.001,0.035,0.1
2024-01-01 13:30:00,0.001,0.001,0.11766666666666667,0.3
2024-01-01 13:45:00,0.001,0.001,0.17966666666666667,0.3
2024-01-01 14:00:00,0.001,0.001,0.43479999999999996,1.4
2024-01-01 14:15:00,0.001,0.001,0.1996666666666667,0.8
2024-01-01 14:30:00,0.001,0.001,0.187,0.4
2024-01-01 14:45:00,0.001,0.001,0.035,0.0
2024-01-01 15:00:00,0.001,0.001,0.159,0.4
2024-01-01 15:15:00,0.001,0.001,0.13833333333333334,0.2
2024-01-01 15:30:00,0.001,0.001,0.035,0.3
2024-01-01 15:45:00,0.001,0.001,0.13633333333333333,0.7
2024-01-01 16:00:00,0.001,0.001,0.225,0.3
2024-01-01 16:15:00,0.001,0.001,0.07066666666666667,0.7
2024-01-01 16:30:00,0.001,0.001,0.19,0.5
2024-01-01 16:45:00,0.001,0.001,0.097,0.3
2024-01-01 17:00:00,0.001,0.001,0.035,0.1
2024-01-01 17:15:00,0.001,0.001,0.073,0.1
2024-01-01 17:30:00,0.001,0.001,0.225,0.1
2024-01-01 17:45:00,0.001,0.001,0.1753333333333333,0.2
2024-01-01 18:00:00,0.001,0.001,0.19,0.0
2024-01-01 18:15:00,0.001,0.001,0.05566666666666667,0.1
