,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 00:15:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 00:30:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 00:45:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 01:00:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 01:15:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 01:30:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 01:45:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 02:00:00,2.0,60.0,60.0,0.2567413333333333,0.0
2024-01-01 02:15:00,2.0,60.26509087434306,60.0,0.770224,0.0
2024-01-01 02:30:00,2.0,61.232038222646935,60.0,0.0,0.0
2024-01-01 02:45:00,2.0,60.53283822264693,60.0,0.770224,0.0
2024-01-01 03:00:00,2.0,59.576038222646936,60.0,0.0,0.0
2024-01-01 03:15:00,2.0,56.229252556139535,60.0,3.337637333333334,0.0
2024-01-01 03:30:00,2.0,59.01051657907315,60.0,1.5404480000000003,0.0
2024-01-01 03:45:00,2.0,59.708835164835236,60.0,1.5404480000000003,0.0
2024-01-01 04:00:00,2.0,60.38500831342579,60.0,0.5134826666666666,0.0
2024-01-01 04:15:00,2.0,60.15221022455814,60.0,0.0,0.0
2024-01-01 04:30:00,1.0,60.15221022455814,60.0,0.0,0.0
2024-01-01 04:45:00,2.0,60.15221022455814,60.0,0.0,0.0
2024-01-01 05:00:00,2.0,59.60021022455814,60.0,0.5134826666666666,0.0
2024-01-01 05:15:00,2.0,59.04821022455814,60.0,0.0,0.0
2024-01-01 05:30:00,1.0,59.33689440993798,60.0,1.2837066666666668,0.0
2024-01-01 05:45:00,2.0,61.018262780697675,60.0,0.2567413333333333,0.0
2024-01-01 06:00:00,2.0,58.995874247491756,60.0,1.7971893333333335,0.0
2024-01-01 06:15:00,2.0,61.24631438127104,60.0,0.0,0.0
2024-01-01 06:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 06:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 07:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 07:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 07:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 07:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 08:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 08:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 08:30:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 08:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 09:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 09:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 09:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 09:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 10:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 10:15:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 10:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 10:45:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 11:00:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 11:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 11:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 11:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 12:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 12:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 12:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 12:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 13:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 13:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 13:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 13:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 14:00:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 14:15:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 14:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 14:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 15:00:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 15:15:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 15:30:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 15:45:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 16:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 16:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 16:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 16:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 17:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 17:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 17:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 17:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 18:00:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 18:15:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 18:30:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 18:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 19:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 19:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 19:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 19:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 20:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 20:15:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 20:30:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 20:45:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 21:00:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 21:15:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 21:30:00,3.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 21:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 22:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 22:15:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 22:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 22:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 23:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 23:15:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 23:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-01 23:45:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 00:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 00:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 00:30:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 00:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 01:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 01:15:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 01:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 01:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 02:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 02:15:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 02:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 02:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 03:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 03:15:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 03:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 03:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 04:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 04:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 04:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 04:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 05:00:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 05:15:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 05:30:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 05:45:00,2.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 06:00:00,1.0,61.33231533683722,60.0,0.0,0.0
2024-01-02 06:15:00,1.0,61.111515336837215,60.0,1.5404480000000003,0.0
2024-01-02 06:30:00,1.0,60.428342092690066,60.0,0.0,0.0
2024-01-02 06:45:00,1.0,57.74637362637379,60.0,3.0808960000000005,0.0
2024-01-02 07:00:00,1.0,61.1144233158148,60.0,0.0,0.0
2024-01-02 07:15:00,1.0,60.771225226947145,60.0,0.2567413333333333,0.0
2024-01-02 07:30:00,1.0,60.734425226947145,60.0,0.0,0.0
2024-01-02 07:45:00,1.0,56.60405007166765,60.0,3.8511200000000003,0.0
2024-01-02 08:00:00,1.0,50.64012078356447,60.0,7.188757333333334,0.0
2024-01-02 08:15:00,1.0,47.55899245102746,60.0,3.594378666666667,0.0
2024-01-02 08:30:00,3.0,48.15786411849045,60.0,3.3376373333333333,0.0
2024-01-02 08:45:00,3.0,49.860735785953445,60.0,0.5134826666666666,0.0
2024-01-02 09:00:00,3.0,55.39080745341644,60.0,0.0,0.0
2024-01-02 09:15:00,1.0,60.80886765408536,60.0,0.0,0.0
2024-01-02 09:30:00,1.0,60.78527434304858,60.0,0.5134826666666666,0.0
2024-01-02 09:45:00,1.0,60.30687434304858,60.0,0.0,0.0
2024-01-02 10:00:00,3.0,60.30687434304858,60.0,0.0,0.0
2024-01-02 10:15:00,3.0,60.30687434304858,60.0,0.0,0.0
2024-01-02 10:30:00,3.0,60.30687434304858,60.0,0.0,0.0
2024-01-02 10:45:00,3.0,60.19647434304857,60.0,0.5134826666666666,0.0
2024-01-02 11:00:00,3.0,59.32809249880587,60.0,3.594378666666667,0.0
2024-01-02 11:15:00,3.0,58.35495078834244,60.0,0.0,0.0
2024-01-02 11:30:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 11:45:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 12:00:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 12:15:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 12:30:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 12:45:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 13:00:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 13:15:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 13:30:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 13:45:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 14:00:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 14:15:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 14:30:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 14:45:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 15:00:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 15:15:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 15:30:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 15:45:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 16:00:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 16:15:00,3.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 16:30:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 16:45:00,1.0,61.3649842331585,60.0,0.0,0.0
2024-01-02 17:00:00,1.0,61.3649842331585,60.0,0.0,0.0
