,DishWasher,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.0,0.4451237423726735,0.0,0.0
2024-01-01 00:15:00,0.0,0.4425237423726735,0.0,0.0
2024-01-01 00:30:00,0.0,0.44015899389813884,0.0,0.0
2024-01-01 00:45:00,0.0,0.5412491615817824,0.0,0.0
2024-01-01 01:00:00,0.0,0.8115237423726734,0.0,0.0
2024-01-01 01:15:00,0.0,0.20765707570600686,0.0,0.0
2024-01-01 01:30:00,0.0,0.1995237423726735,0.0,2.2
2024-01-01 01:45:00,0.0,0.28784374237267346,0.0,3.0
2024-01-01 02:00:00,0.0,0.21285299796604623,0.0,2.8
2024-01-01 02:15:00,0.0,0.29769999999999996,0.0,0.0
2024-01-01 02:30:00,0.0,0.22436666666666663,0.0,0.0
2024-01-01 02:45:00,0.0,0.19400599593209253,0.0,0.0
2024-01-01 03:00:00,0.0,0.23179040903934017,0.0,0.4
2024-01-01 03:15:00,0.0,0.43345707570600683,0.0,1.8
2024-01-01 03:30:00,0.0,0.49285707570600684,0.0,0.0
2024-01-01 03:45:00,0.0,0.5515237423726735,0.0,1.6
2024-01-01 04:00:00,0.0,0.4370333333333333,0.0,1.6
2024-01-01 04:15:00,0.0,0.34096666666666664,0.0,0.4
2024-01-01 04:30:00,0.0,0.5874999999999999,0.0,3.0
2024-01-01 04:45:00,0.0,0.18769999999999998,0.0,3.0
2024-01-01 05:00:00,0.0,0.2683666666666666,0.0,1.2
2024-01-01 05:15:00,0.0,0.23951333333333333,0.0,2.6
2024-01-01 05:30:00,0.0,0.052,0.0,0.6
2024-01-01 05:45:00,0.0,0.052,0.0,0.0
2024-01-01 06:00:00,0.0,0.052,2.0,0.0
2024-01-01 06:15:00,0.0,0.052,15.0,0.4
2024-01-01 06:30:00,0.0,0.162,1.0,3.0
2024-01-01 06:45:00,0.0,0.11586666666666666,0.0,3.0
2024-01-01 07:00:00,0.0,0.065,0.0,1.2
2024-01-01 07:15:00,0.0,0.065,0.0,0.0
2024-01-01 07:30:00,0.0,0.065,0.0,0.0
2024-01-01 07:45:00,0.0,0.09433333333333334,0.0,0.0
2024-01-01 08:00:00,0.0,0.7080666666666667,0.0,0.0
2024-01-01 08:15:00,0.0,0.09433333333333334,0.0,1.2
2024-01-01 08:30:00,0.0,0.186,0.0,3.0
2024-01-01 08:45:00,0.0,0.25106666666666666,0.0,0.0
2024-01-01 09:00:00,0.0,0.308,0.0,0.0
2024-01-01 09:15:00,0.0,0.40986666666666666,0.0,0.0
2024-01-01 09:30:00,0.0,0.526,0.0,0.0
