,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-01 00:00:00,2.0,15.0,1.1163975165200306,14.984748868567145,13.508023161487465,12.0,59.037484185379846,60.0,3.337637333333334,0.0,0.0,0.0,0,0,0
2024-01-01 00:15:00,2.0,15.0,1.1163975165200306,14.952730635133069,13.52444683064392,12.0,61.04649593884379,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 00:30:00,2.0,15.0,1.1163975165200306,14.921707547210133,13.539719320207148,12.0,61.07038509316773,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 00:45:00,2.0,15.0,1.1163975165200306,14.891635867250356,13.553895571804732,12.0,59.8240573339704,60.0,3.594378666666667,0.0,0.0,0.0,0,0,0
2024-01-01 01:00:00,2.0,15.0,1.1163975165200306,14.862473866890669,13.567027982345472,12.0,60.909204013377966,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 01:15:00,2.0,15.0,1.1163975165200306,14.83418173423961,13.579166521540433,12.0,61.05609555661734,60.0,0.5134826666666666,0.0,0.0,0.0,0,0,0
2024-01-01 01:30:00,2.0,15.0,1.1163975165200306,14.806721485444191,13.590358843998136,12.0,58.24739187768757,60.0,7.445498666666667,0.0,0.0,0.0,0,0,0
2024-01-01 01:45:00,2.0,15.0,1.1163975165200306,14.78005688033928,13.60065039614442,12.0,56.09035527950316,60.0,3.0808960000000005,0.0,0.0,0.0,0,0,0
2024-01-01 02:00:00,2.0,15.0,1.1163975165200306,14.753776971015593,13.605725052904836,11.0,57.491015002389,60.0,3.0808960000000005,0.0,0.0,0.0,0,0,0
2024-01-01 02:15:00,2.0,15.0,1.1163975165200306,14.727684965891822,13.605171366801235,11.0,60.76066278069767,60.0,0.2567413333333333,0.0,0.0,0.0,0,0,0
2024-01-01 02:30:00,2.0,15.0,1.1163975165200306,14.702125309068,13.604096405662313,11.0,59.69833502150034,60.0,4.107861333333334,0.0,0.0,0.0,0,0,0
2024-01-01 02:45:00,2.0,15.0,1.1163975165200306,14.677076493237651,13.602526732720756,11.0,60.26797324414728,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 03:00:00,2.0,15.0,1.1163975165200306,14.652517990016237,13.600487673444102,11.0,61.34298518872445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 03:15:00,2.0,15.0,1.1163975165200306,14.628430204810664,13.598003372731496,11.0,61.34298518872445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 03:30:00,2.0,16.0,1.1163975165200306,15.158452036048836,13.598144979119297,11.0,61.34298518872445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 03:45:00,2.0,15.0,1.1163975165200306,15.5429640675464,13.612649390288373,11.0,61.34298518872445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 04:00:00,1.0,15.333333333333334,1.1163975165200306,15.500574134892313,13.628156123454,11.0,61.30618518872445,60.0,0.2567413333333333,0.0,0.0,0.0,0,0,0
2024-01-01 04:15:00,1.0,19.333333333333332,1.1163975165200306,16.511528526204366,13.648996028098809,11.0,61.066985188724445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 04:30:00,2.0,18.333333333333332,1.1163975165200306,18.697727646767152,13.7057320811178,11.0,61.066985188724445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 04:45:00,2.0,15.0,1.1163975165200306,19.18267336240003,13.792613872181493,11.0,61.066985188724445,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 05:00:00,1.0,19.333333333333332,1.1163975165200306,19.84934177979521,13.877700103979114,10.0,60.75418518872444,60.0,0.5134826666666666,0.0,0.0,0.0,0,0,0
2024-01-01 05:15:00,2.0,18.666666666666668,1.1163975165200306,20.399344973372298,13.974763904792143,10.0,59.44299474438617,60.0,3.594378666666667,0.0,0.0,0.0,0,0,0
2024-01-01 05:30:00,1.0,17.0,1.1163975165200306,20.262212864679142,14.070250973767525,10.0,61.070478738652795,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 05:45:00,2.0,17.0,1.1163975165200306,20.12984555352385,14.160055576944702,10.0,61.309370281892164,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 06:00:00,2.0,15.0,1.1163975165200306,20.00203021307714,14.244445878403114,10.0,61.309370281892164,60.0,0.0,0.0,0.0,0.0,0,0,0
2024-01-01 06:15:00,2.0,15.0,1.1163975165200306,19.87856380955582,14.323677635154475,10.0,54.57017983755388,60.0,14.377514666666666,0.0,0.0,0.0,0,0,0
2024-01-01 06:30:00,1.0,15.666666666666666,1.1163975165200306,19.75925265025023,14.397994770068937,10.0,50.961167319637035,60.0,0.770224,0.0,0.0,0.0,0,0,0
2024-01-01 06:45:00,1.0,20.0,1.1163975165200306,19.643911952417586,14.46762991835006,10.0,55.637027042522874,60.0,0.5134826666666666,0.0,0.0,0.0,0,0,0
2024-01-01 07:00:00,2.0,16.333333333333332,1.1163975165200306,19.532370494690294,14.532804979532454,10.0,60.216014524606045,60.0,0.5134826666666666,0.0,0.0,0.0,0,0,0
2024-01-01 07:15:00,1.0,19.333333333333332,1.1163975165200306,20.10810251052768,14.597782485808096,10.0,60.76322408026778,60.0,0.0,0.0,0.0,0.0,0,0,0
