,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.29246666666666665,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.14733333333333334,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.046,0.0,0.0,0.8
2024-01-01 01:15:00,0.001,0.001,0.21066666666666664,0.0,0.0,1.5
2024-01-01 01:30:00,0.001,0.001,0.18533333333333332,0.0,0.0,1.5
2024-01-01 01:45:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-01 02:00:00,0.001,0.001,0.046,0.0,1.6,1.5
2024-01-01 02:15:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-01 02:30:00,0.001,0.001,0.17266666666666666,0.0,0.0,1.5
2024-01-01 02:45:00,0.001,0.001,0.2233333333333333,0.0,0.0,1.2
2024-01-01 03:00:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.13466666666666666,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.23600000000000002,0.0,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.6043999999999999,0.0,0.26666666666666666,0.0
2024-01-01 04:30:00,0.001,0.001,0.046,0.0,4.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.046,0.0,4.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.09666666666666666,0.0,4.0,1.4
2024-01-01 05:15:00,0.001,0.001,0.7690666666666667,0.0,0.0,1.2
2024-01-01 05:30:00,0.001,0.001,0.10933333333333332,0.0,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.046,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.046,0.0,0.0,0.7
2024-01-01 06:15:00,0.001,0.001,0.058666666666666666,0.0,0.0,1.5
2024-01-01 06:30:00,0.001,0.001,0.24293333333333333,0.0,0.0,1.5
2024-01-01 06:45:00,0.001,0.001,0.16033333333333333,0.0,0.0,1.5
2024-01-01 07:00:00,0.001,0.001,0.059000000000000004,0.0,0.0,1.4
2024-01-01 07:15:00,0.001,0.001,0.059000000000000004,0.0,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.059000000000000004,0.0,2.4,0.0
2024-01-01 07:45:00,0.001,0.001,0.21066666666666664,0.0,0.0,0.2
2024-01-01 08:00:00,0.001,0.001,0.18533333333333332,0.0,0.0,1.5
2024-01-01 08:15:00,0.001,0.001,0.046,0.0,0.0,1.5
2024-01-01 08:30:00,0.001,0.001,0.046,0.0,0.0,1.5
