,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.145,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.215,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.06033333333333333,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.107,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.26033333333333336,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.053,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.06899999999999999,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.30566666666666664,0.2
2024-01-01 04:15:00,0.001,0.0,0.001,0.04566666666666666,2.6
2024-01-01 04:30:00,0.001,0.0,0.001,0.030999999999999996,2.6
2024-01-01 04:45:00,0.001,0.0,0.001,0.030999999999999996,3.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.030999999999999996,3.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.03833333333333333,3.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.331,2.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.051000000000000004,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.030999999999999996,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.04566666666666666,0.0
