,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.5997426063922544,0.0
2024-01-01 00:15:00,2.1000666666666667,0.001,0.6250759397255877,0.0
2024-01-01 00:30:00,0.3005333333333333,0.001,0.41660927305892115,0.0
2024-01-01 00:45:00,0.0,0.001,0.34419344481047215,0.6666666666666666
2024-01-01 01:00:00,0.0,0.001,0.23538553068624765,4.666666666666667
2024-01-01 01:15:00,0.0,0.001,0.7649855306862476,0.0
2024-01-01 01:30:00,0.0,0.001,0.40925219735291435,0.0
2024-01-01 01:45:00,0.0,0.001,0.2952521973529143,0.0
2024-01-01 02:00:00,0.0,0.001,0.1898034798235276,3.0
2024-01-01 02:15:00,0.0,0.001,0.18769999999999998,0.0
2024-01-01 02:30:00,0.0,0.001,0.18769999999999998,0.0
2024-01-01 02:45:00,0.0,0.001,0.2763666666666666,0.0
2024-01-01 03:00:00,0.0,0.001,0.9107666666666667,0.0
2024-01-01 03:15:00,0.0,0.001,0.7207666666666666,0.0
2024-01-01 03:30:00,0.0,0.001,0.5874999999999999,0.0
2024-01-01 03:45:00,0.0,0.001,0.18769999999999998,0.0
2024-01-01 04:00:00,0.0,0.001,0.11532666666666665,0.0
2024-01-01 04:15:00,0.0,0.001,0.21666666666666667,2.3333333333333335
2024-01-01 04:30:00,0.0,0.001,0.16599999999999998,0.0
2024-01-01 04:45:00,0.0,0.001,0.052,0.0
2024-01-01 05:00:00,0.0,0.001,0.052,0.0
2024-01-01 05:15:00,0.0,0.001,0.052,3.0
2024-01-01 05:30:00,0.0,0.001,0.10266666666666667,1.6666666666666667
2024-01-01 05:45:00,0.0,0.001,0.242,1.3333333333333333
2024-01-01 06:00:00,0.0,0.001,0.09,0.0
2024-01-01 06:15:00,0.0,0.001,0.052,0.0
2024-01-01 06:30:00,0.0,0.001,0.45180000000000003,0.0
2024-01-01 06:45:00,0.0,0.001,0.052,2.3333333333333335
2024-01-01 07:00:00,0.0,0.001,0.17866666666666664,3.0
2024-01-01 07:15:00,0.0,0.001,0.20400000000000001,2.0
2024-01-01 07:30:00,0.0,0.001,0.052,1.6666666666666667
2024-01-01 07:45:00,0.0,0.001,0.052,0.0
2024-01-01 08:00:00,0.0,0.001,0.052,4.666666666666667
2024-01-01 08:15:00,0.0,0.001,0.06466666666666666,0.0
2024-01-01 08:30:00,0.0,0.001,0.242,0.0
2024-01-01 08:45:00,0.0,0.001,0.128,0.0
2024-01-01 09:00:00,0.0,0.001,0.052,0.0
2024-01-01 09:15:00,0.0,0.001,0.052,2.3333333333333335
2024-01-01 09:30:00,0.0,0.001,0.052,0.3333333333333333
2024-01-01 09:45:00,0.0,0.001,0.14066666666666666,0.0
2024-01-01 10:00:00,0.0,0.001,0.242,0.0
2024-01-01 10:15:00,0.0,0.001,0.052,0.0
2024-01-01 10:30:00,0.0,0.001,0.052,0.0
2024-01-01 10:45:00,0.0,0.001,0.5850666666666667,0.0
2024-01-01 11:00:00,0.0,0.001,0.052,3.0
2024-01-01 11:15:00,0.0,0.001,0.21666666666666667,0.0
2024-01-01 11:30:00,0.0,0.001,0.16599999999999998,0.0
2024-01-01 11:45:00,0.0,0.001,0.052,0.0
2024-01-01 12:00:00,0.0,0.001,0.052,0.0
2024-01-01 12:15:00,0.0,0.001,0.052,1.3333333333333333
2024-01-01 12:30:00,0.0,0.001,0.10266666666666667,1.3333333333333333
2024-01-01 12:45:00,0.0,0.001,0.242,0.0
2024-01-01 13:00:00,0.0,0.001,0.09,2.3333333333333335
2024-01-01 13:15:00,0.0,0.001,0.052,4.333333333333333
2024-01-01 13:30:00,0.0,0.001,0.052,0.0
2024-01-01 13:45:00,0.0,0.001,0.052,2.0
2024-01-01 14:00:00,0.0,0.001,0.17866666666666664,2.0
2024-01-01 14:15:00,0.0,0.001,0.20400000000000001,0.0
2024-01-01 14:30:00,0.0,0.001,0.052,0.0
2024-01-01 14:45:00,0.0,0.001,0.052,2.6666666666666665
2024-01-01 15:00:00,0.0,0.001,0.052,0.0
2024-01-01 15:15:00,0.0,0.001,0.06466666666666666,0.0
2024-01-01 15:30:00,0.0,0.001,0.242,0.0
2024-01-01 15:45:00,0.0,0.001,0.128,0.0
2024-01-01 16:00:00,0.0,0.001,0.052,0.3333333333333333
2024-01-01 16:15:00,0.0,0.001,0.052,4.333333333333333
2024-01-01 16:30:00,0.0,0.001,0.052,3.6666666666666665
2024-01-01 16:45:00,0.0,0.001,0.14066666666666666,0.0
2024-01-01 17:00:00,0.0,0.001,0.7776666666666667,0.0
2024-01-01 17:15:00,0.0,0.001,0.065,0.0
2024-01-01 17:30:00,0.0,0.001,0.065,0.0
2024-01-01 17:45:00,0.0,0.001,0.5980666666666666,0.0
2024-01-01 18:00:00,0.0,0.001,0.06326666666666667,0.0
2024-01-01 18:15:00,0.0,0.001,0.21666666666666667,1.3333333333333333
2024-01-01 18:30:00,0.0,0.001,0.4396275787569375,4.0
2024-01-01 18:45:00,0.0,0.001,0.19709040903934022,0.0
2024-01-01 19:00:00,0.0,0.001,0.0638237423726735,0.0
2024-01-01 19:15:00,0.0,0.001,0.18143040903934018,0.0
2024-01-01 19:30:00,0.0,0.001,0.648413910056317,0.0
2024-01-01 19:45:00,0.0,0.001,0.7798647484745348,0.0
2024-01-01 20:00:00,0.0,0.001,0.3553585406079497,0.0
2024-01-01 20:15:00,0.0,0.001,0.3520759397255878,0.0
2024-01-01 20:30:00,0.0,0.001,0.3912759397255878,2.6666666666666665
2024-01-01 20:45:00,0.0,0.001,0.4860759397255878,2.6666666666666665
2024-01-01 21:00:00,0.0,0.001,0.5676797761098518,0.0
