,TumbleDryer,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.081
2024-01-01 00:15:00,0.001,0.001,0.116
2024-01-01 00:30:00,0.001,0.001,0.10133333333333333
2024-01-01 00:45:00,0.001,0.001,0.05
2024-01-01 01:00:00,0.001,0.001,0.10166666666666666
2024-01-01 01:15:00,0.001,0.001,0.205
2024-01-01 01:30:00,0.001,0.001,0.05
2024-01-01 01:45:00,0.001,0.001,0.12333333333333334
2024-01-01 02:00:00,0.001,0.001,0.09400000000000001
2024-01-01 02:15:00,0.001,0.001,0.05
2024-01-01 02:30:00,0.001,0.001,0.13266666666666665
2024-01-01 02:45:00,0.001,0.001,0.174
2024-01-01 03:00:00,0.001,0.001,0.05
2024-01-01 03:15:00,0.001,0.001,0.13066666666666665
2024-01-01 03:30:00,0.001,0.001,0.08666666666666667
2024-01-01 03:45:00,0.001,0.001,0.05
2024-01-01 04:00:00,0.001,0.001,0.16366666666666668
2024-01-01 04:15:00,0.001,0.001,0.143
2024-01-01 04:30:00,0.001,0.001,0.05
2024-01-01 04:45:00,0.001,0.001,0.13799999999999998
2024-01-01 05:00:00,0.001,0.001,0.07933333333333333
2024-01-01 05:15:00,0.001,0.001,0.05
2024-01-01 05:30:00,0.001,0.001,0.19466666666666665
2024-01-01 05:45:00,0.001,0.001,0.112
2024-01-01 06:00:00,0.001,0.001,0.05
2024-01-01 06:15:00,0.001,0.001,0.14533333333333334
2024-01-01 06:30:00,0.001,0.001,0.07200000000000001
2024-01-01 06:45:00,0.001,0.001,0.07066666666666667
2024-01-01 07:00:00,0.001,0.001,0.205
2024-01-01 07:15:00,0.001,0.001,0.081
2024-01-01 07:30:00,0.001,0.001,0.05
2024-01-01 07:45:00,0.001,0.001,0.15266666666666667
2024-01-01 08:00:00,0.001,0.001,0.06466666666666668
2024-01-01 08:15:00,0.001,0.001,0.10166666666666666
2024-01-01 08:30:00,0.001,0.001,0.205
2024-01-01 08:45:00,0.001,0.001,0.05
2024-01-01 09:00:00,0.001,0.001,0.05
2024-01-01 09:15:00,0.001,0.001,0.16
2024-01-01 09:30:00,0.001,0.001,0.05733333333333334
