,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.001,0.3530759397255878,0.0,0.0,0.0
2024-01-01 00:15:00,0.0,0.001,0.4164092730589211,0.0,0.0,0.0
2024-01-01 00:30:00,0.0,0.001,0.42920927305892115,0.0,1.0666666666666667,0.9
2024-01-01 00:45:00,0.0,0.001,0.32540927305892114,0.0,1.3333333333333333,1.5
2024-01-01 01:00:00,0.0,0.001,0.9191426063922545,0.0,0.0,1.4
2024-01-01 01:15:00,0.0,0.001,0.24122520727461635,0.0,0.0,1.5
2024-01-01 01:30:00,0.0,0.001,0.18769999999999998,0.0,0.0,0.9
2024-01-01 01:45:00,0.0,0.001,0.22569999999999996,0.0,0.0,0.0
2024-01-01 02:00:00,0.0,0.001,0.3777,0.0,0.0,0.0
2024-01-01 02:15:00,0.0,0.001,0.3177,0.0,2.4,1.0
2024-01-01 02:30:00,0.0,0.001,0.3427,0.0,0.0,0.2
2024-01-01 02:45:00,0.0,0.001,0.1980333333333333,0.0,0.0,0.0
2024-01-01 03:00:00,0.0,0.001,0.18769999999999998,0.0,0.0,0.8
2024-01-01 03:15:00,0.0,0.001,0.20036666666666664,0.0,0.0,1.3
2024-01-01 03:30:00,0.0,0.001,0.3777,0.0,0.0,0.0
2024-01-01 03:45:00,0.0,0.001,0.35336666666666666,0.0,0.0,0.0
2024-01-01 04:00:00,0.0,0.001,0.24318666666666663,0.0,0.0,0.8
2024-01-01 04:15:00,0.0,0.001,0.052,0.0,3.466666666666667,1.5
2024-01-01 04:30:00,0.0,0.001,0.052,0.0,0.0,1.5
2024-01-01 04:45:00,0.0,0.001,0.052,0.0,0.0,1.5
2024-01-01 05:00:00,0.0,0.001,0.22933333333333333,0.0,0.0,1.5
2024-01-01 05:15:00,0.0,0.001,0.2533333333333333,0.0,0.0,1.5
2024-01-01 05:30:00,0.0,0.001,0.19666666666666666,0.0,0.0,1.5
2024-01-01 05:45:00,0.0,0.001,0.052,0.0,0.0,0.0
2024-01-01 06:00:00,0.0,0.001,0.052,0.0,1.0666666666666667,0.0
2024-01-01 06:15:00,0.0,0.001,0.052,0.0,1.3333333333333333,0.0
2024-01-01 06:30:00,0.0,0.001,0.20400000000000001,0.0,0.0,0.0
2024-01-01 06:45:00,0.0,0.001,0.289,0.0,0.0,0.0
2024-01-01 07:00:00,0.0,0.001,0.18633333333333332,0.0,0.0,0.0
2024-01-01 07:15:00,0.0,0.001,0.052,0.0,0.0,0.0
2024-01-01 07:30:00,0.0,0.001,0.052,0.0,0.0,0.0
2024-01-01 07:45:00,0.0,0.001,0.052,0.0,0.0,0.0
2024-01-01 08:00:00,0.0,0.001,0.17866666666666664,0.0,1.0666666666666667,0.0
2024-01-01 08:15:00,0.0,0.001,0.32466666666666666,0.0,1.3333333333333333,0.0
2024-01-01 08:30:00,0.0,0.001,0.176,0.0,0.0,0.6
