,TumbleDryer,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.047,0.0
2024-01-01 00:15:00,0.001,0.047,0.0
2024-01-01 00:30:00,0.001,0.08499999999999999,0.0
2024-01-01 00:45:00,0.001,0.24645899389813883,0.0
2024-01-01 01:00:00,0.001,0.6425570757060068,0.0
2024-01-01 01:15:00,0.001,0.4586237423726735,0.0
2024-01-01 01:30:00,0.001,0.0588237423726735,0.0
2024-01-01 01:45:00,0.001,0.12215707570600684,0.0
2024-01-01 02:00:00,0.001,0.24251774644058097,0.0
2024-01-01 02:15:00,0.001,0.47213333333333335,0.0
2024-01-01 02:30:00,0.001,0.047,0.0
2024-01-01 02:45:00,0.001,0.047,0.0
2024-01-01 03:00:00,0.001,0.13566666666666669,0.0
2024-01-01 03:15:00,0.001,0.237,0.0
2024-01-01 03:30:00,0.001,0.047,0.0
2024-01-01 03:45:00,0.001,0.047,0.0
2024-01-01 04:00:00,0.001,0.047,0.0
2024-01-01 04:15:00,0.001,0.161,0.0
2024-01-01 04:30:00,0.001,0.21166666666666664,0.0
2024-01-01 04:45:00,0.001,0.047,0.0
2024-01-01 05:00:00,0.001,0.4468,0.0
2024-01-01 05:15:00,0.001,0.047,0.0
2024-01-01 05:30:00,0.001,0.18633333333333332,6.533333333333333
2024-01-01 05:45:00,0.001,0.18633333333333332,7.0
2024-01-01 06:00:00,0.001,0.047,7.0
2024-01-01 06:15:00,0.001,0.047,3.2666666666666666
2024-01-01 06:30:00,0.001,0.047,0.0
2024-01-01 06:45:00,0.001,0.21166666666666664,0.0
2024-01-01 07:00:00,0.001,0.161,0.0
2024-01-01 07:15:00,0.001,0.047,0.9333333333333333
2024-01-01 07:30:00,0.001,0.047,7.0
2024-01-01 07:45:00,0.001,0.4468,7.0
2024-01-01 08:00:00,0.001,0.237,5.6
2024-01-01 08:15:00,0.001,0.13566666666666669,0.0
2024-01-01 08:30:00,0.001,0.047,0.0
2024-01-01 08:45:00,0.001,0.4467999999999999,0.0
2024-01-01 09:00:00,0.001,0.07233333333333333,0.0
2024-01-01 09:15:00,0.001,0.2422,0.0
2024-01-01 09:30:00,0.001,0.12333333333333334,0.0
2024-01-01 09:45:00,0.001,0.05999999999999999,0.0
2024-01-01 10:00:00,0.001,0.05999999999999999,0.0
2024-01-01 10:15:00,0.001,0.11066666666666666,0.0
2024-01-01 10:30:00,0.001,0.6489333333333334,0.0
2024-01-01 10:45:00,0.001,0.23126666666666668,0.0
2024-01-01 11:00:00,0.001,0.05999999999999999,0.0
2024-01-01 11:15:00,0.001,0.5930666666666667,0.0
2024-01-01 11:30:00,0.001,0.12473333333333333,0.0
2024-01-01 11:45:00,0.001,0.34186666666666665,0.0
2024-01-01 12:00:00,0.001,0.185,0.0
2024-01-01 12:15:00,0.001,0.19004666666666664,0.0
2024-01-01 12:30:00,0.001,0.3167,0.0
2024-01-01 12:45:00,0.001,0.9511000000000001,0.0
2024-01-01 13:00:00,0.001,0.47790000000000005,0.0
2024-01-01 13:15:00,0.001,0.5629666666666666,0.0
2024-01-01 13:30:00,0.001,2.8750140639203545,0.0
2024-01-01 13:45:00,0.001,0.4680759397255878,0.0
2024-01-01 14:00:00,0.001,1.1278092730589213,0.0
2024-01-01 14:15:00,0.001,0.5152092730589212,0.0
2024-01-01 14:30:00,0.001,0.2842988335883383,0.0
2024-01-01 14:45:00,0.001,0.45553932926542584,0.0
2024-01-01 15:00:00,0.001,0.9955393292654258,0.0
2024-01-01 15:15:00,0.001,0.47245707570600687,0.9333333333333333
2024-01-01 15:30:00,0.001,0.45519040903934016,3.7333333333333334
2024-01-01 15:45:00,0.001,0.7283237423726735,0.0
2024-01-01 16:00:00,0.001,0.9675904090393402,0.0
2024-01-01 16:15:00,0.001,0.4469237423726735,0.0
2024-01-01 16:30:00,0.001,0.5265446213138392,0.0
2024-01-01 16:45:00,0.001,0.4614092730589211,0.0
2024-01-01 17:00:00,0.001,2.4956759397255874,0.0
2024-01-01 17:15:00,0.001,1.1127699437934953,0.0
2024-01-01 17:30:00,0.001,0.481918864019581,0.0
2024-01-01 17:45:00,0.001,1.038017399117638,0.0
2024-01-01 18:00:00,0.001,0.6469666666666666,0.0
2024-01-01 18:15:00,0.001,0.6922999999999999,0.0
2024-01-01 18:30:00,0.001,0.4887119043725257,0.0
2024-01-01 18:45:00,0.001,2.953809273058921,0.0
2024-01-01 19:00:00,0.001,1.273609273058921,0.0
2024-01-01 19:15:00,0.001,0.5187426063922544,0.0
2024-01-01 19:30:00,0.001,0.4680759397255878,0.0
2024-01-01 19:45:00,0.001,0.44283418184325635,0.0
2024-01-01 20:00:00,0.001,0.5250988335883382,0.0
2024-01-01 20:15:00,0.001,1.0578759397255877,0.0
2024-01-01 20:30:00,0.001,0.8125426063922545,0.0
