,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.0,0.001,0.046
2024-01-01 00:15:00,0.0,0.001,0.2233333333333333
2024-01-01 00:30:00,0.0,0.001,0.12199999999999998
2024-01-01 00:45:00,0.0,0.001,0.046
2024-01-01 01:00:00,0.0,0.001,0.046
2024-01-01 01:15:00,0.0,0.001,0.046
2024-01-01 01:30:00,0.0,0.001,0.21066666666666664
2024-01-01 01:45:00,0.0,0.001,0.13466666666666666
2024-01-01 02:00:00,0.0,0.001,0.046
2024-01-01 02:15:00,0.0,0.001,0.5790666666666666
2024-01-01 02:30:00,0.0,0.001,0.046
2024-01-01 02:45:00,0.0,0.001,0.19799999999999998
2024-01-01 03:00:00,0.0,0.001,0.14733333333333334
2024-01-01 03:15:00,0.0,0.001,0.046
2024-01-01 03:30:00,0.0,0.001,0.046
2024-01-01 03:45:00,0.0,0.001,0.046
2024-01-01 04:00:00,0.0,0.001,0.18533333333333332
2024-01-01 04:15:00,0.0,0.001,0.16
2024-01-01 04:30:00,0.0,0.001,0.046
2024-01-01 04:45:00,0.0,0.001,0.046
2024-01-01 05:00:00,0.0,0.001,0.046
2024-01-01 05:15:00,0.0,0.001,0.17266666666666666
2024-01-01 05:30:00,0.0,0.001,0.1976
2024-01-01 05:45:00,0.0,0.001,0.08
2024-01-01 06:00:00,0.0,0.001,0.05053333333333333
2024-01-01 06:15:00,0.0,0.001,0.046
2024-01-01 06:30:00,0.0,0.001,0.16
2024-01-01 06:45:00,0.0,0.001,0.18533333333333332
2024-01-01 07:00:00,0.0,0.001,0.046
2024-01-01 07:15:00,0.0,0.001,0.046
2024-01-01 07:30:00,0.0,0.001,0.4458
2024-01-01 07:45:00,0.0,0.001,0.14733333333333334
2024-01-01 08:00:00,0.0,0.001,0.21013333333333334
2024-01-01 08:15:00,0.0,0.001,0.059000000000000004
2024-01-01 08:30:00,0.0,0.001,0.059000000000000004
2024-01-01 08:45:00,0.0,0.001,0.059000000000000004
2024-01-01 09:00:00,0.0,0.001,0.13553333333333334
2024-01-01 09:15:00,0.0,0.001,0.21066666666666664
2024-01-01 09:30:00,0.0,0.001,0.046
2024-01-01 09:45:00,0.0,0.001,0.046
2024-01-01 10:00:00,0.0,0.001,0.046
2024-01-01 10:15:00,0.0,0.001,0.12199999999999998
2024-01-01 10:30:00,0.0,0.001,0.2233333333333333
2024-01-01 10:45:00,0.0,0.001,0.05467074440662723
2024-01-01 11:00:00,0.0,0.001,0.0578237423726735
2024-01-01 11:15:00,0.0007333333333333333,0.001,0.07044462131383922
2024-01-01 11:30:00,1.2004666666666668,0.001,0.15270927305892112
2024-01-01 11:45:00,0.001,0.001,0.27701119125105306
2024-01-01 12:00:00,0.001,0.001,0.07755219735291431
2024-01-01 12:15:00,0.0006666666666666666,0.001,0.07755219735291431
2024-01-01 12:30:00,0.0,0.001,0.05441391929411048
2024-01-01 12:45:00,0.0,0.001,0.09666666666666666
2024-01-01 13:00:00,0.0,0.001,0.23600000000000002
2024-01-01 13:15:00,0.0,0.001,0.058666666666666666
2024-01-01 13:30:00,0.0,0.001,0.046
2024-01-01 13:45:00,0.0,0.001,0.046
2024-01-01 14:00:00,0.0,0.001,0.084
2024-01-01 14:15:00,0.0,0.001,0.23600000000000002
2024-01-01 14:30:00,0.0,0.001,0.07133333333333333
2024-01-01 14:45:00,0.0,0.001,0.046
2024-01-01 15:00:00,0.0,0.001,0.046
2024-01-01 15:15:00,0.0,0.001,0.07133333333333332
2024-01-01 15:30:00,0.0,0.001,0.23600000000000002
2024-01-01 15:45:00,0.0,0.001,0.084
2024-01-01 16:00:00,0.0,0.001,0.046
2024-01-01 16:15:00,0.0,0.001,0.046
2024-01-01 16:30:00,0.0,0.001,0.058666666666666666
2024-01-01 16:45:00,0.0,0.001,0.23600000000000002
2024-01-01 17:00:00,0.0,0.001,0.09666666666666666
2024-01-01 17:15:00,0.0,0.001,0.10246666666666668
2024-01-01 17:30:00,0.0,0.001,0.167
2024-01-01 17:45:00,0.0,0.001,0.167
2024-01-01 18:00:00,0.0,0.001,0.357
2024-01-01 18:15:00,0.0,0.001,0.24716117192155426
2024-01-01 18:30:00,0.0,0.001,0.1450543569007429
2024-01-01 18:45:00,0.0,0.001,0.09744260639225447
2024-01-01 19:00:00,0.0,0.001,0.3189359397255878
2024-01-01 19:15:00,0.0,0.001,0.9394092730589211
2024-01-01 19:30:00,0.0,0.001,2.6296759397255878
2024-01-01 19:45:00,0.0,0.001,2.2079426063922543
2024-01-01 20:00:00,0.0,0.001,0.32083418184325635
2024-01-01 20:15:00,0.0,0.001,0.3074294969490694
2024-01-01 20:30:00,0.0,0.001,0.47998754560783236
2024-01-01 20:45:00,0.0,0.001,2.1877032771268285
2024-01-01 21:00:00,0.0,0.001,1.305675939725588
2024-01-01 21:15:00,0.0,0.001,0.28960927305892115
2024-01-01 21:30:00,0.0,0.001,0.3460759397255878
2024-01-01 21:45:00,0.0,0.001,0.4980759397255878
2024-01-01 22:00:00,0.0,0.001,0.4474092730589211
2024-01-01 22:15:00,0.0,0.001,0.3460759397255878
2024-01-01 22:30:00,0.0,0.001,0.3460759397255878
2024-01-01 22:45:00,0.0,0.001,0.3573426063922545
2024-01-01 23:00:00,0.0,0.001,0.4622013589346966
2024-01-01 23:15:00,0.0,0.001,0.3402521973529143
2024-01-01 23:30:00,0.0,0.001,0.21684523770585906
2024-01-01 23:45:00,0.0,0.001,0.1817
2024-01-02 00:00:00,0.0,0.001,0.1817
2024-01-02 00:15:00,0.0,0.001,0.4051666666666666
2024-01-02 00:30:00,0.0,0.001,0.3208066666666667
2024-01-02 00:45:00,0.0,0.001,0.167
2024-01-02 01:00:00,0.0,0.001,0.167
2024-01-02 01:15:00,0.0,0.001,0.167
2024-01-02 01:30:00,0.0,0.001,0.2084
2024-01-02 01:45:00,0.0,0.001,0.18533333333333332
2024-01-02 02:00:00,0.0,0.001,0.046
2024-01-02 02:15:00,0.0,0.001,0.046
2024-01-02 02:30:00,0.0,0.001,0.046
2024-01-02 02:45:00,0.0,0.001,0.14733333333333334
2024-01-02 03:00:00,0.0,0.001,0.19799999999999998
