,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,59.961896580941634,60.0,0.0,0.07592379316188327
2024-01-01 00:15:00,2.0,59.880359437530025,60.0,0.0,0.07576071887506004
2024-01-01 00:30:00,2.0,59.79899742514068,60.0,0.0,0.07559799485028137
2024-01-01 00:45:00,2.0,59.71781016761529,60.0,0.0,0.07543562033523059
2024-01-01 01:00:00,2.0,59.63679728960347,60.0,0.12837066666666666,0.07527359457920693
2024-01-01 01:15:00,2.0,59.092288293531745,60.0,1.668818666666667,0.0741845765870635
2024-01-01 01:30:00,2.0,60.823415327638756,60.0,0.12837066666666666,0.07764683065527753
2024-01-01 01:45:00,2.0,60.76156596079457,60.0,0.0,0.07752313192158915
2024-01-01 02:00:00,2.0,60.34735506368622,60.0,0.5134826666666666,0.07669471012737245
2024-01-01 02:15:00,2.0,59.99850495257711,60.0,0.2567413333333333,0.0759970099051542
2024-01-01 02:30:00,2.0,59.56766345893218,60.0,0.12837066666666666,0.07513532691786436
2024-01-01 02:45:00,2.0,59.468608648703324,60.0,0.0,0.07493721729740664
2024-01-01 03:00:00,2.0,59.38813102266299,60.0,0.0,0.074776262045326
2024-01-01 03:15:00,2.0,59.23938084079089,60.0,0.2567413333333333,0.0744787616815818
2024-01-01 03:30:00,2.0,60.51447036736856,60.0,0.385112,0.07702894073473712
2024-01-01 03:45:00,2.0,60.81846367112179,60.0,0.0,0.07763692734224358
2024-01-01 04:00:00,2.0,60.73508673465546,60.0,0.0,0.07747017346931091
2024-01-01 04:15:00,2.0,60.65188888084405,60.0,0.0,0.0773037777616881
2024-01-01 04:30:00,2.0,60.56886972504165,60.0,0.0,0.07713773945008331
2024-01-01 04:45:00,2.0,60.48602888342854,60.0,0.0,0.07697205776685709
2024-01-01 05:00:00,1.0,60.40336597300938,60.0,0.0,0.07680673194601877
2024-01-01 05:15:00,2.0,60.320880611611436,60.0,0.0,0.07664176122322287
2024-01-01 05:30:00,2.0,60.23857241788286,60.0,0.0,0.07647714483576572
2024-01-01 05:45:00,3.0,60.15644101129087,60.0,0.0,0.07631288202258174
2024-01-01 06:00:00,3.0,60.07448601212004,60.0,0.0,0.07614897202424009
2024-01-01 06:15:00,2.0,59.9927070414705,60.0,0.0,0.075985414082941
2024-01-01 06:30:00,2.0,59.911103721256225,60.0,0.0,0.07582220744251246
2024-01-01 06:45:00,3.0,59.829675674203266,60.0,0.0,0.07565935134840653
2024-01-01 07:00:00,1.0,59.748422523848,60.0,0.0,0.07549684504769599
2024-01-01 07:15:00,3.0,59.66734389453539,60.0,0.0,0.07533468778907079
2024-01-01 07:30:00,3.0,59.58643941141732,60.0,0.0,0.07517287882283462
2024-01-01 07:45:00,1.0,59.50570870045069,60.0,0.0,0.07501141740090138
2024-01-01 08:00:00,3.0,59.425151388395896,60.0,0.0,0.07485030277679179
2024-01-01 08:15:00,3.0,59.34476710281494,60.0,0.0,0.07468953420562989
2024-01-01 08:30:00,3.0,59.2645554720698,60.0,0.0,0.0745291109441396
2024-01-01 08:45:00,3.0,59.184516125320684,60.0,0.0,0.07436903225064137
2024-01-01 09:00:00,3.0,59.10464869252431,60.0,0.0,0.07420929738504861
2024-01-01 09:15:00,1.0,59.06795122772517,60.0,0.0,0.07413590245545033
2024-01-01 09:30:00,1.0,60.69255571125214,60.0,0.0,0.07738511142250429
2024-01-01 09:45:00,3.0,61.01009724872293,60.0,0.0,0.07802019449744586
2024-01-01 10:00:00,3.0,60.92630870862487,60.0,0.0,0.07785261741724975
2024-01-01 10:15:00,3.0,60.842700135252024,60.0,0.0,0.07768540027050405
2024-01-01 10:30:00,3.0,60.75927114205961,60.0,0.0,0.07751854228411922
2024-01-01 10:45:00,3.0,60.676021343333105,60.0,0.0,0.07735204268666622
2024-01-01 11:00:00,3.0,60.59295035418645,60.0,0.0,0.0771859007083729
2024-01-01 11:15:00,3.0,60.51005779056026,60.0,0.0,0.07702011558112053
2024-01-01 11:30:00,1.0,59.65104786896873,60.0,2.0539306666666666,0.07530209573793747
2024-01-01 11:45:00,1.0,60.33815074374398,60.0,1.5404480000000003,0.07667630148748797
2024-01-01 12:00:00,3.0,59.41101823560852,60.0,0.0,0.07482203647121705
2024-01-01 12:15:00,3.0,59.33066430617437,60.0,0.0,0.07466132861234874
2024-01-01 12:30:00,3.0,59.45141104055446,60.0,1.668818666666667,0.07490282208110893
2024-01-01 12:45:00,3.0,60.38985144602694,60.0,1.0269653333333335,0.07677970289205388
2024-01-01 13:00:00,3.0,61.13258826348844,60.0,0.0,0.07826517652697688
2024-01-01 13:15:00,3.0,61.03013794753911,60.0,0.12837066666666666,0.07806027589507822
2024-01-01 13:30:00,1.0,60.82684341955825,60.0,0.0,0.07765368683911651
2024-01-01 13:45:00,1.0,60.74344848449828,60.0,0.0,0.07748689696899658
2024-01-01 14:00:00,3.0,60.66023267075183,60.0,0.0,0.07732046534150366
2024-01-01 14:15:00,3.0,60.57719559358999,60.0,0.0,0.07715439118717998
2024-01-01 14:30:00,3.0,60.49433686911016,60.0,0.0,0.07698867373822031
2024-01-01 14:45:00,1.0,60.41165611423428,60.0,0.0,0.07682331222846857
2024-01-01 15:00:00,3.0,60.329152946707175,60.0,0.0,0.07665830589341435
2024-01-01 15:15:00,3.0,60.24682698509465,60.0,0.0,0.07649365397018928
2024-01-01 15:30:00,3.0,60.16467784878177,60.0,0.0,0.07632935569756354
2024-01-01 15:45:00,3.0,60.08270515797115,60.0,0.0,0.0761654103159423
2024-01-01 16:00:00,3.0,60.00090853368113,60.0,0.0,0.07600181706736225
2024-01-01 16:15:00,1.0,59.91928759774407,60.0,0.0,0.07583857519548816
2024-01-01 16:30:00,1.0,59.837841972804576,60.0,0.0,0.07567568394560915
2024-01-01 16:45:00,1.0,59.75657128231774,60.0,0.0,0.0755131425646355
2024-01-01 17:00:00,1.0,59.67547515054746,60.0,0.0,0.07535095030109494
2024-01-01 17:15:00,1.0,59.594553202564676,60.0,0.0,0.07518910640512935
2024-01-01 17:30:00,3.0,59.51380506424558,60.0,0.0,0.07502761012849116
2024-01-01 17:45:00,1.0,59.43323036226996,60.0,0.0,0.07486646072453992
2024-01-01 18:00:00,3.0,59.35282872411945,60.0,0.0,0.07470565744823889
2024-01-01 18:15:00,3.0,59.272599778075765,60.0,0.0,0.07454519955615152
2024-01-01 18:30:00,1.0,59.19254315321908,60.0,0.0,0.07438508630643816
