,WasherDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-01 21:30:00,0.001,0.0,0.25321886401958094,0.0,0.0
2024-01-01 21:45:00,0.001,0.0,0.2590855306862476,0.0,0.0
2024-01-01 22:00:00,0.001,0.0,0.19455219735291432,0.0,0.0
2024-01-01 22:15:00,0.001,0.0,0.1953404468444259,0.0,0.0
2024-01-01 22:30:00,0.001,0.0,0.17903070201972873,0.0,1.6
2024-01-01 22:45:00,0.001,0.0,0.22092722219620112,0.0,0.6
2024-01-01 23:00:00,0.001,0.0,0.2855759397255878,0.0,0.0
2024-01-01 23:15:00,0.001,0.0,0.0853759397255878,0.0,2.0
2024-01-01 23:30:00,0.001,0.0,0.08458769023407624,0.0,0.8
2024-01-01 23:45:00,0.001,0.0,0.07355219735291431,0.0,0.0
2024-01-02 00:00:00,0.001,0.0,0.08605769209802668,0.0,0.0
2024-01-02 00:15:00,0.001,0.0,0.152,0.0,2.0
2024-01-02 00:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 00:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 01:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 01:15:00,0.001,0.0,0.05666666666666667,0.0,0.0
2024-01-02 01:30:00,0.001,0.0,0.152,0.0,0.0
2024-01-02 01:45:00,0.001,0.0,0.056666666666666664,0.0,0.0
2024-01-02 02:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 02:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 02:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 02:45:00,0.001,0.0,0.152,0.0,0.0
2024-01-02 03:00:00,0.001,0.0,0.07133333333333333,0.0,0.0
2024-01-02 03:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 03:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 03:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 04:00:00,0.001,0.0,0.13733333333333334,0.0,0.0
2024-01-02 04:15:00,0.001,0.0,0.08600000000000001,0.0,0.0
2024-01-02 04:30:00,0.001,0.0,0.042,0.0,2.8
2024-01-02 04:45:00,0.001,0.0,0.042,0.0,0.4
2024-01-02 05:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 05:15:00,0.001,0.0,0.12266666666666666,0.0,0.0
2024-01-02 05:30:00,0.001,0.0,0.6337333333333333,1.4666666666666666,0.0
2024-01-02 05:45:00,0.001,0.0,0.042,5.133333333333334,0.0
2024-01-02 06:00:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 06:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 06:30:00,0.001,0.0,0.5077999999999999,0.0,0.0
2024-01-02 06:45:00,0.001,0.0,0.22020000000000003,0.0,0.0
2024-01-02 07:00:00,0.001,0.0,0.163,0.0,0.0
2024-01-02 07:15:00,0.001,0.0,0.163,0.0,2.6
2024-01-02 07:30:00,0.001,0.0,0.163,0.0,0.2
2024-01-02 07:45:00,0.001,0.0,0.21433333333333335,0.0,1.8
2024-01-02 08:00:00,0.001,0.0,0.13806666666666667,0.0,0.0
2024-01-02 08:15:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 08:30:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 08:45:00,0.001,0.0,0.042,0.0,0.0
2024-01-02 09:00:00,0.001,0.0,0.07866666666666666,0.0,1.2
2024-01-02 09:15:00,0.001,0.0,0.14466666666666667,0.0,1.4
2024-01-02 09:30:00,0.001,0.0,0.042,0.0,0.0
