,TumbleDryer,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.1798237423726735,0.0
2024-01-01 00:15:00,0.001,0.33182374237267354,0.0
2024-01-01 00:30:00,0.001,0.3191570757060068,0.0
2024-01-01 00:45:00,0.001,0.17018057672298373,0.0
2024-01-01 01:00:00,0.001,0.047,0.0
2024-01-01 01:15:00,0.001,0.047,0.0
2024-01-01 01:30:00,0.001,0.08499999999999999,0.0
2024-01-01 01:45:00,0.001,0.237,0.0
2024-01-01 02:00:00,0.001,0.11033333333333334,0.0
2024-01-01 02:15:00,0.001,0.047,0.0
2024-01-01 02:30:00,0.001,0.047,0.0
2024-01-01 02:45:00,0.001,0.047,0.0
2024-01-01 03:00:00,0.001,0.161,0.0
2024-01-01 03:15:00,0.001,0.22433333333333333,0.0
2024-01-01 03:30:00,0.001,0.047,0.0
2024-01-01 03:45:00,0.001,0.047,0.0
2024-01-01 04:00:00,0.001,0.047,0.0
2024-01-01 04:15:00,0.001,0.047,1.4666666666666666
2024-01-01 04:30:00,0.001,0.237,1.4666666666666666
2024-01-01 04:45:00,0.001,0.14833333333333334,0.26666666666666666
2024-01-01 05:00:00,0.001,0.047,0.13333333333333333
2024-01-01 05:15:00,0.001,0.047,0.0
2024-01-01 05:30:00,0.001,0.047,0.0
2024-01-01 05:45:00,0.001,0.123,0.6666666666666666
2024-01-01 06:00:00,0.001,0.237,1.7333333333333334
2024-01-01 06:15:00,0.001,0.07233333333333333,0.0
2024-01-01 06:30:00,0.001,0.047,0.0
2024-01-01 06:45:00,0.001,0.047,0.0
2024-01-01 07:00:00,0.001,0.047,0.0
2024-01-01 07:15:00,0.001,0.19899999999999998,1.7333333333333334
2024-01-01 07:30:00,0.001,0.5861333333333333,2.0
2024-01-01 07:45:00,0.001,0.047,0.6666666666666666
2024-01-01 08:00:00,0.001,0.05999999999999999,0.0
2024-01-01 08:15:00,0.001,0.05999999999999999,0.0
2024-01-01 08:30:00,0.001,0.098,1.7333333333333334
2024-01-01 08:45:00,0.001,0.25,2.0
2024-01-01 09:00:00,0.001,0.1112,0.26666666666666666
2024-01-01 09:15:00,0.001,0.047,0.0
2024-01-01 09:30:00,0.001,0.07644871752938667,0.0
2024-01-01 09:45:00,0.001,0.07855219735291431,0.0
2024-01-01 10:00:00,0.001,0.19255219735291432,0.0
2024-01-01 10:15:00,0.001,0.25588553068624764,0.0
2024-01-01 10:30:00,0.001,0.06593131841174858,0.0
2024-01-01 10:45:00,0.001,0.047,0.0
2024-01-01 11:00:00,0.001,0.047,0.0
2024-01-01 11:15:00,0.001,0.047,0.0
2024-01-01 11:30:00,0.001,0.237,0.0
2024-01-01 11:45:00,0.001,0.14833333333333334,0.0
2024-01-01 12:00:00,0.001,0.047,0.0
2024-01-01 12:15:00,0.001,0.047,0.0
2024-01-01 12:30:00,0.001,0.047,0.0
2024-01-01 12:45:00,0.001,0.123,0.0
2024-01-01 13:00:00,0.001,0.237,0.0
2024-01-01 13:15:00,0.001,0.07233333333333333,0.0
2024-01-01 13:30:00,0.001,0.047,0.0
2024-01-01 13:45:00,0.001,0.047,0.0
2024-01-01 14:00:00,0.001,0.047,0.0
2024-01-01 14:15:00,0.001,0.19899999999999998,0.0
2024-01-01 14:30:00,0.001,0.5861333333333334,0.0
2024-01-01 14:45:00,0.001,0.047,0.0
2024-01-01 15:00:00,0.001,0.5516666666666666,0.0
2024-01-01 15:15:00,0.001,0.168,0.26666666666666666
2024-01-01 15:30:00,0.001,0.206,2.0
2024-01-01 15:45:00,0.001,0.358,0.6666666666666666
2024-01-01 16:00:00,0.001,0.22326666666666667,0.0
2024-01-01 16:15:00,0.001,0.047,0.0
2024-01-01 16:30:00,0.001,0.16062783858822097,0.0
2024-01-01 16:45:00,0.001,0.1995521973529143,0.0
2024-01-01 17:00:00,0.001,0.32458769023407624,0.0
2024-01-01 17:15:00,0.001,0.3921759397255878,0.0
2024-01-01 17:30:00,0.001,0.2243759397255878,0.0
2024-01-01 17:45:00,0.001,0.9847709950001174,0.0
2024-01-01 18:00:00,0.001,3.4283437423726735,0.0
2024-01-01 18:15:00,0.001,1.686092327231472,0.0
2024-01-01 18:30:00,0.001,2.9230849142942277,0.0
2024-01-01 18:45:00,0.001,0.6083426063922545,0.0
2024-01-01 19:00:00,0.001,0.4519426063922545,0.0
2024-01-01 19:15:00,0.001,0.4680759397255878,0.0
2024-01-01 19:30:00,0.001,0.46255819328500686,0.0
2024-01-01 19:45:00,0.001,1.0652014649019428,0.0
2024-01-01 20:00:00,0.001,0.6277,0.0
2024-01-01 20:15:00,0.001,0.4948423557987644,0.0
2024-01-01 20:30:00,0.001,0.4793426063922545,0.0
2024-01-01 20:45:00,0.001,0.4196759397255878,0.0
2024-01-01 21:00:00,0.001,0.3228759397255878,0.0
2024-01-01 21:15:00,0.001,0.3633515809608944,1.4666666666666666
2024-01-01 21:30:00,0.001,0.3267628302824027,1.6
2024-01-01 21:45:00,0.001,0.1827,0.0
2024-01-01 22:00:00,0.001,0.1827,0.0
2024-01-01 22:15:00,0.001,0.17806553068624761,0.0
2024-01-01 22:30:00,0.001,0.2253601114771388,0.0
2024-01-01 22:45:00,0.001,0.5223759397255877,0.0
2024-01-01 23:00:00,0.001,0.3957092730589211,0.0
2024-01-01 23:15:00,0.001,0.3155481011373668,0.0
2024-01-01 23:30:00,0.001,0.3008237423726735,0.0
2024-01-01 23:45:00,0.001,0.1904393292654259,0.0
2024-01-02 00:00:00,0.001,0.26586666666666664,0.0
2024-01-02 00:15:00,0.001,0.8784,0.0
2024-01-02 00:30:00,0.001,0.168,0.0
2024-01-02 00:45:00,0.001,0.168,0.0
2024-01-02 01:00:00,0.001,0.168,0.0
2024-01-02 01:15:00,0.001,0.10346666666666667,0.0
2024-01-02 01:30:00,0.001,0.237,0.0
2024-01-02 01:45:00,0.001,0.14833333333333334,0.0
2024-01-02 02:00:00,0.001,0.047,0.0
2024-01-02 02:15:00,0.001,0.047,0.0
2024-01-02 02:30:00,0.001,0.047,0.0
2024-01-02 02:45:00,0.001,0.123,0.0
2024-01-02 03:00:00,0.001,0.237,0.0
2024-01-02 03:15:00,0.001,0.07233333333333333,0.0
2024-01-02 03:30:00,0.001,0.047,0.0
2024-01-02 03:45:00,0.001,0.047,0.0
2024-01-02 04:00:00,0.001,0.047,0.0
2024-01-02 04:15:00,0.001,0.19899999999999998,0.4
2024-01-02 04:30:00,0.001,0.18633333333333332,0.4
2024-01-02 04:45:00,0.001,0.047,0.0
2024-01-02 05:00:00,0.001,0.047,0.0
2024-01-02 05:15:00,0.001,0.5800666666666666,0.0
2024-01-02 05:30:00,0.001,0.08499999999999999,0.0
