,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.0,0.0893759397255878,0.0
2024-01-01 00:15:00,0.0,0.2133759397255878,0.0
2024-01-01 00:30:00,0.0,0.16170927305892116,0.0
2024-01-01 00:45:00,0.0,0.0683411414903116,1.0
2024-01-01 01:00:00,0.0,0.19878824949151155,0.0
2024-01-01 01:15:00,0.0,0.18533333333333332,1.6666666666666667
2024-01-01 01:30:00,0.0,0.11833333333333335,0.0
2024-01-01 01:45:00,0.0,0.17,2.0
2024-01-01 02:00:00,0.0,0.046,0.0
2024-01-01 02:15:00,0.0,0.046,0.0
2024-01-01 02:30:00,0.0,0.12199999999999998,0.0
2024-01-01 02:45:00,0.0,0.25666666666666665,1.3333333333333333
2024-01-01 03:00:00,0.0,0.22633333333333333,0.0
2024-01-01 03:15:00,0.0,0.5997333333333333,0.0
2024-01-01 03:30:00,0.0,0.046,0.0
2024-01-01 03:45:00,0.0,0.046,0.0
2024-01-01 04:00:00,0.0,0.046,0.0
2024-01-01 04:15:00,0.0,0.36000000000000004,3.0
2024-01-01 04:30:00,0.0,0.6194666666666666,0.0
2024-01-01 04:45:00,0.0,0.44580000000000003,0.0
2024-01-01 05:00:00,0.0,0.046,0.0
2024-01-01 05:15:00,0.0,0.046,2.0
2024-01-01 05:30:00,0.0,0.11833333333333335,2.3333333333333335
2024-01-01 05:45:00,0.0,0.284,1.0
2024-01-01 06:00:00,0.0,0.2233333333333333,0.0
2024-01-01 06:15:00,0.0,0.4458,0.0
2024-01-01 06:30:00,0.0,0.046,1.3333333333333333
2024-01-01 06:45:00,0.0,0.5997333333333332,0.0
2024-01-01 07:00:00,0.0,0.201,0.0
2024-01-01 07:15:00,0.0,0.10466666666666667,1.0
2024-01-01 07:30:00,0.0,0.7690666666666667,0.0
2024-01-01 07:45:00,0.0,0.10933333333333332,0.0
2024-01-01 08:00:00,0.0,0.046,0.3333333333333333
2024-01-01 08:15:00,0.0,0.8387666666666665,0.6666666666666666
2024-01-01 08:30:00,0.0,0.5205666666666666,0.6666666666666666
2024-01-01 08:45:00,0.0,1.1149666666666667,0.6666666666666666
2024-01-01 09:00:00,0.0,2.3337,0.0
2024-01-01 09:15:00,0.0,0.6038333333333333,0.3333333333333333
2024-01-01 09:30:00,0.0,0.37503333333333333,0.6666666666666666
2024-01-01 09:45:00,0.0,0.4267,0.0
2024-01-01 10:00:00,0.0,0.30269999999999997,0.0
2024-01-01 10:15:00,0.0,0.30269999999999997,1.0
2024-01-01 10:30:00,0.0,0.7784999999999999,0.0
2024-01-01 10:45:00,0.0,0.4730333333333333,0.0
2024-01-01 11:00:00,0.0,0.8950999999999999,0.0
2024-01-01 11:15:00,0.0,0.6179275787569374,1.0
2024-01-01 11:30:00,0.0,2.214093888862868,0.0
2024-01-01 11:45:00,0.0,1.3186759397255878,0.0
2024-01-01 12:00:00,0.0,0.3590759397255878,0.0
2024-01-01 12:15:00,0.0,0.6678759397255878,1.6666666666666667
2024-01-01 12:30:00,0.0,0.4310092730589211,0.0
2024-01-01 12:45:00,0.0,0.22507593972558781,0.0
2024-01-01 13:00:00,0.0,0.8879134660039213,0.0
2024-01-01 13:15:00,0.0,0.99848205086272,0.0
2024-01-01 13:30:00,0.0,0.40658553068624764,0.0
2024-01-01 13:45:00,0.0,1.1053188640195808,0.0
2024-01-01 14:00:00,0.0,0.9113855306862476,1.0
2024-01-01 14:15:00,0.0,0.8673188640195809,0.6666666666666666
2024-01-01 14:30:00,0.0,0.23641043947058285,0.0
2024-01-01 14:45:00,0.0,0.21709102543136,0.0
2024-01-01 15:00:00,0.0,0.3682521973529143,2.0
2024-01-01 15:15:00,0.0,0.27191886401958093,1.6666666666666667
2024-01-01 15:30:00,0.0,0.40325219735291434,0.0
2024-01-01 15:45:00,0.0,0.6763855306862477,1.6666666666666667
2024-01-01 16:00:00,0.0,0.3110313184117486,2.3333333333333335
2024-01-01 16:15:00,0.0,0.7861666666666667,2.6666666666666665
2024-01-01 16:30:00,0.0,0.37503333333333333,1.6666666666666667
2024-01-01 16:45:00,0.0,1.1127,0.0
2024-01-01 17:00:00,0.0,0.4677,0.0
2024-01-01 17:15:00,0.0,0.45503333333333335,0.0
2024-01-01 17:30:00,0.0,0.39039808180786806,0.0
2024-01-01 17:45:00,0.0,2.5202570757060068,1.0
2024-01-01 18:00:00,0.0,1.4427237423726735,2.0
2024-01-01 18:15:00,0.0,3.25959040903934,1.6666666666666667
2024-01-01 18:30:00,0.0006666666666666666,2.7225237423726734,0.0
2024-01-01 18:45:00,1.2004666666666668,0.5381904090393401,1.3333333333333333
2024-01-01 19:00:00,0.001,0.5078570757060068,0.0
2024-01-01 19:15:00,0.001,0.49014260639225443,0.0
2024-01-01 19:30:00,0.001,0.3811559397255878,0.0
2024-01-01 19:45:00,0.001,0.32851593972558774,2.6666666666666665
2024-01-01 20:00:00,0.001,0.35647593972558783,0.0
2024-01-01 20:15:00,0.001,0.7933426063922544,0.0
2024-01-01 20:30:00,0.001,0.9195426063922544,0.0
2024-01-01 20:45:00,2.25,0.3590759397255878,2.0
2024-01-01 21:00:00,0.1509333333333333,0.3590759397255878,0.0
2024-01-01 21:15:00,0.0008,0.3590759397255878,0.0
2024-01-01 21:30:00,0.0,0.43140927305892107,2.0
2024-01-01 21:45:00,0.0,0.5970759397255878,0.0
2024-01-01 22:00:00,0.0,0.536409273058921,1.6666666666666667
2024-01-01 22:15:00,0.0,0.35474260639225447,2.0
2024-01-01 22:30:00,0.0,0.3460759397255878,0.0
2024-01-01 22:45:00,0.0,0.3667426063922545,0.0
2024-01-01 23:00:00,0.0,0.5010759397255878,1.3333333333333333
2024-01-01 23:15:00,0.0,0.40474260639225446,0.0
2024-01-01 23:30:00,0.0,0.5360759397255878,0.0
2024-01-01 23:45:00,0.0,0.40940927305892116,0.0
2024-01-02 00:00:00,0.0,0.3460759397255878,0.6666666666666666
2024-01-02 00:15:00,0.0,0.4718092730589211,2.3333333333333335
2024-01-02 00:30:00,0.0,0.32314054357387867,0.0
2024-01-02 00:45:00,0.0,0.19469999999999998,0.0
2024-01-02 01:00:00,0.0,0.3467,2.0
2024-01-02 01:15:00,0.0,0.32536666666666664,1.6666666666666667
2024-01-02 01:30:00,0.0,0.25403333333333333,1.3333333333333333
2024-01-02 01:45:00,0.0,0.30569999999999997,1.6666666666666667
2024-01-02 02:00:00,0.0,0.1817,1.6666666666666667
2024-01-02 02:15:00,0.0,0.1817,0.0
2024-01-02 02:30:00,0.0,0.2577,0.0
2024-01-02 02:45:00,0.0,0.39236666666666664,0.0
