,Occupancy,EV_plugged,SoC_ref_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 00:00:00,2.0,0.0,0.0,15.5,15.49703159782478,15.474455518026563,12.0,54,60.0,1925.5600000000002,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,2.0,0.0,0.0,15.5,15.490343512353878,15.423880364467658,12.0,49,60.0,1733.0040000000001,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,2.0,0.0,0.0,15.5,15.480888454339832,15.367992952184903,11.0,45,60.0,770.2239999999999,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,2.0,0.0,0.0,15.5,15.46849641772687,15.306791367044074,11.0,41,60.0,770.2239999999999,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,2.0,1.0,0.8488888888888896,15.5,15.454802045959184,15.247879374542153,11.0,41,60.0,0.0,0.0,1.0,0.0,0.7877777777777778
2024-01-01 05:00:00,2.0,0.0,0.0,15.5,15.438325555784566,15.183815942375611,10.0,31,60.0,3658.564,0.0,0.0,1.0,0.0
2024-01-01 06:00:00,1.0,0.0,0.0,21.5,15.418903304102447,15.114591827677039,10.0,28,60.0,385.11199999999997,0.0,0.0,0.0,0.0
2024-01-01 07:00:00,1.0,0.0,0.0,21.5,15.398176233637416,15.04780393881642,10.0,26,60.0,385.11199999999997,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,1.0,0.0,0.0,21.5,15.376643466039917,14.983313784568132,10.0,20,60.0,1925.5600000000002,0.0,0.0,0.0,0.0
2024-01-01 09:00:00,1.0,0.0,0.0,21.5,15.354831869033644,14.921007346948063,10.0,16,60.0,770.2239999999999,0.0,1.0,1.0,0.7694444444444445
2024-01-01 10:00:00,1.0,0.0,0.0,21.5,15.336228698191265,14.86810538244879,11.0,-22,60.0,31001.516000000003,0.0,0.0,0.0,0.0
2024-01-01 11:00:00,1.0,0.0,0.0,21.5,15.324492134020097,14.831785878983844,12.0,0,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,1.0,0.0,0.0,21.5,15.315237712532715,14.80419389670189,12.0,0,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 13:00:00,1.0,0.0,0.0,21.5,15.30500112619885,14.777517026185617,12.0,0,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,1.0,0.0,0.0,21.5,15.292340486638393,14.751685253376586,12.0,0,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 15:00:00,3.0,0.0,0.0,21.5,15.274629082957821,14.726540878883602,12.0,0,60.0,770.2239999999999,0.0,0.0,0.0,0.0
2024-01-01 16:00:00,1.0,0.0,0.0,21.5,15.252716425735207,14.694626958980985,11.0,0,60.0,4043.676,0.0,0.0,0.0,0.0
2024-01-01 17:00:00,1.0,1.0,0.7388888888888892,21.5,15.228822635398485,14.65600871649576,11.0,0,60.0,3080.896,0.0,1.0,0.0,0.7236111111111112
2024-01-01 18:00:00,1.0,1.0,0.9222222222222245,21.5,15.204601942574715,14.61837873480636,11.0,0,60.0,962.78,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,1.0,1.0,1.1055555555555598,21.5,15.180091601428467,14.581685076771473,11.0,0,60.0,2888.3399999999997,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,2.0,1.0,1.2888888888888952,15.5,15.15532629025795,14.545879104814025,11.0,0,60.0,2503.228,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,1.0,1.0,1.4722222222222305,21.5,15.128755410605823,14.503610036336939,10.0,0,60.0,4043.676,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,2.0,1.0,1.6555555555555659,15.5,15.100149167348208,14.454952971971101,10.0,0,60.0,1347.892,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,2.0,1.0,1.8388888888889012,15.5,15.071084902403731,14.407583627696928,10.0,0,60.0,3273.4519999999998,0.0,0.0,0.0,0.0
