,Occupancy,EV_plugged,SoC_ref_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 00:00:00,2.0,0.0,0.0,15.0,14.99780158488686,14.978130207674125,12.0,60,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 01:00:00,2.0,0.0,0.0,15.0,14.9926986779791,14.93493219748856,12.0,60,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00,2.0,0.0,0.0,15.0,14.984855364720183,14.886279476402827,11.0,60,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00,2.0,0.0,0.0,15.0,14.974081654958955,14.832192677086697,11.0,60,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00,2.0,0.0,0.0,15.0,14.962013655429809,14.780275811826765,11.0,60,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00,2.0,0.0,0.0,15.0,14.94717287189201,14.723088307121598,10.0,60,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00,3.0,1.0,0.7602777777777779,19.5,14.92937753329081,14.660641270265975,10.0,60,60.0,0.0,0.0,1.0,0.0,0.7511111111111112
2024-01-01 07:00:00,1.0,1.0,0.9436111111111133,20.0,14.910296356958186,14.60053012228194,10.0,59,60.0,1347.892,0.0,0.0,0.0,0.0
2024-01-01 08:00:00,1.0,0.0,0.0,20.0,14.892490640341757,14.542631746266897,10.0,49,60.0,3080.896,0.0,0.0,1.0,0.0
2024-01-01 09:00:00,1.0,0.0,0.0,20.0,14.879292893050957,14.486945731372812,10.0,42,60.0,2888.3399999999997,0.0,0.0,0.0,0.0
2024-01-01 10:00:00,1.0,0.0,0.0,20.0,14.878898435512145,14.440894118646636,11.0,33,60.0,2503.228,0.0,0.0,0.0,0.0
2024-01-01 11:00:00,1.0,0.0,0.0,20.0,14.897474010232775,14.411993650016361,12.0,27,60.0,1925.5600000000002,0.0,0.0,0.0,0.0
2024-01-01 12:00:00,1.0,1.0,0.8855555555555569,20.0,14.92088615301379,14.392603981334116,12.0,12,60.0,7509.684,0.0,1.0,0.0,0.7663888888888889
2024-01-01 13:00:00,3.0,1.0,1.068888888888892,19.5,14.939250676213167,14.37478134487077,12.0,5,60.0,3080.896,0.0,0.0,0.0,0.0
2024-01-01 14:00:00,3.0,0.0,0.0,19.5,14.946337240506303,14.358258136592626,12.0,0,60.0,1733.004,0.0,0.0,1.0,0.0
2024-01-01 15:00:00,3.0,0.0,0.0,19.5,14.933664672568819,14.342416809790308,12.0,0,60.0,3658.564,0.0,0.0,0.0,0.0
2024-01-01 16:00:00,1.0,0.0,0.0,20.0,14.909893010578593,14.31941030307939,11.0,0,60.0,385.11199999999997,0.0,0.0,0.0,0.0
2024-01-01 17:00:00,1.0,1.0,0.8458333333333342,20.0,14.884264006149404,14.28926869079121,11.0,0,60.0,1155.3359999999998,0.0,1.0,0.0,0.7725000000000001
2024-01-01 18:00:00,3.0,1.0,1.0291666666666694,19.5,14.858580841334712,14.259714463589772,11.0,0,60.0,1925.5600000000002,0.0,0.0,0.0,0.0
2024-01-01 19:00:00,3.0,1.0,1.2125000000000048,19.5,14.832863390635744,14.230718632039066,11.0,-1,60.0,3466.008,0.0,0.0,0.0,0.0
2024-01-01 20:00:00,1.0,1.0,1.3958333333333401,20.0,14.807129962939308,14.202254182513782,11.0,0,60.0,1540.448,0.0,0.0,0.0,0.0
2024-01-01 21:00:00,1.0,1.0,1.5791666666666755,20.0,14.779808304147938,14.166997129396618,10.0,0,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 22:00:00,2.0,1.0,1.7625000000000108,15.0,14.750629649965306,14.125066783433361,10.0,0,60.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 23:00:00,2.0,1.0,1.9458333333333462,15.0,14.721155573067021,14.084158709668895,10.0,0,60.0,0.0,0.0,0.0,0.0,0.0
