,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.08688553068624764,0.0,2.9,2.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.0755,0.0,3.0,3.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.08283333333333333,0.0,3.0,3.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.08283333333333333,0.0,3.0,3.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.048,0.7333333333333333,3.0,3.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.08283333333333333,0.0,3.0,3.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.08283333333333333,0.0,3.0,3.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.07973333333333334,0.0,3.0,3.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.0812370418774362,0.0,3.0,3.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.11618653814704001,1.8333333333333333,3.0,3.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.08456666666666666,0.0,3.0,3.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.06266666666666668,0.0,3.0,3.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.06816666666666667,0.0,3.0,3.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.08283333333333333,0.0,3.0,3.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.08283333333333333,0.0,3.0,3.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.051666666666666666,0.0,3.0,3.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.07916666666666666,0.0,3.0,3.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.9726627699434787,0.9166666666666666,3.0,3.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.9677349142942279,3.6666666666666665,3.0,3.0
2024-01-01 19:00:00,0.001,0.001,0.0,1.2976258720313625,0.0,3.0,3.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.3231924857144061,0.0,3.0,3.0
2024-01-01 21:00:00,0.001,0.001,0.0,0.3853483563497537,0.0,3.0,3.0
2024-01-01 22:00:00,0.001,0.001,0.0,0.3390739710932487,0.0,3.0,3.0
2024-01-01 23:00:00,0.001,0.001,0.0,0.4005234189981262,0.0,3.0,3.0
