,DishWasher,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.136875,0.0,0.0029000000000000002,1.8226012345679012
2024-01-01 01:00:00,0.0,0.2873666666666666,0.0,0.003,1.2678037037037038
2024-01-01 02:00:00,0.0,0.2557,0.0,0.003,0.5348777777777778
2024-01-01 03:00:00,0.0,0.2873666666666666,0.0,0.003,1.1197555555555556
2024-01-01 04:00:00,0.0,0.2367,0.0,0.003,1.2574790123456792
2024-01-01 05:00:00,0.0,0.2683666666666667,0.0,0.003,0.3565851851851852
2024-01-01 06:00:00,0.0,0.20820833333333333,0.0,0.003,0.3565851851851852
2024-01-01 07:00:00,0.0,0.13266666666666665,0.0,0.003,0.6443086419753087
2024-01-01 08:00:00,0.0,0.1023,0.0,0.003,0.24715432098765433
2024-01-01 09:00:00,0.0,0.40042059494606097,0.0,0.003,0.7726012345679013
2024-01-01 10:00:00,0.0,0.33133008223038096,0.0,0.003,1.0697555555555556
2024-01-01 11:00:00,0.0,0.24758333333333335,0.0,0.003,1.200893827160494
2024-01-01 12:00:00,0.0,0.24471666666666667,0.0,0.003,1.3791864197530865
2024-01-01 13:00:00,0.0,0.3999833333333333,0.0,0.003,1.6206493827160495
2024-01-01 14:00:00,0.0,0.53325,0.0,0.003,0.2688617283950617
2024-01-01 15:00:00,0.0,0.18603333333333333,0.55,0.003,0.641462962962963
2024-01-01 16:00:00,0.0,0.28314044845586667,5.683333333333334,0.003,0.41601604938271614
2024-01-01 17:00:00,0.0,0.46917198266347554,0.0,0.003,0.85
2024-01-01 18:00:00,0.0,0.454012099906912,0.0,0.003,2.305527160493827
2024-01-01 19:00:00,0.0,0.2560443057625283,0.0,0.003,2.693250617283951
2024-01-01 20:00:00,0.0,0.2824955465627926,0.0,0.003,1.698941975308642
2024-01-01 21:00:00,0.0,0.31913259305912545,0.0,0.003,2.2094308641975307
2024-01-01 22:00:00,0.0,0.3446334031030392,0.0,0.003,1.534713580246914
2024-01-01 23:00:00,0.0,0.25115129859577245,0.0,0.003,1.3820320987654322
