,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-01 00:00:00,2.0,15.5,1.9660982039890664,15.460036947766163,13.777545121974521,12.0,0.0,0,0,0,0.0
2024-01-01 00:15:00,2.0,15.5,1.9660982039890664,15.378797921101219,13.83153571499873,12.0,0.0,0,0,0,0.0
2024-01-01 00:30:00,2.0,15.5,1.9660982039890664,15.303877623395291,13.878311023149928,12.0,0.0,0,0,0,0.0
2024-01-01 00:45:00,2.0,15.5,1.9660982039890664,15.23464560569227,13.918619632299006,12.0,0.0,0,0,0,0.0
2024-01-01 01:00:00,2.0,15.5,1.9660982039890664,15.17053564366132,13.95313365627667,12.0,0.0,0,0,0,0.0
2024-01-01 01:15:00,2.0,15.5,1.9660982039890664,15.111039185153937,13.982456540388917,12.0,0.0,0,0,0,0.0
2024-01-01 01:30:00,2.0,15.5,1.9660982039890664,15.055699466337542,14.007130068691941,12.0,0.0,0,0,0,0.0
2024-01-01 01:45:00,2.0,15.5,1.9660982039890664,15.06948988698817,14.02793155596616,12.0,0.0,0,0,0,0.0
2024-01-01 02:00:00,2.0,15.5,1.9660982039890664,15.764630419239076,14.055987215505388,11.0,0.0,0,0,0,0.0
2024-01-01 02:15:00,2.0,15.5,1.9660982039890664,15.959933968273306,14.10244592839246,11.0,0.0,0,0,0,0.0
2024-01-01 02:30:00,2.0,15.5,1.9660982039890664,15.869024364658436,14.145398242879178,11.0,0.0,0,0,0,0.0
2024-01-01 02:45:00,2.0,15.5,1.9660982039890664,15.784380819452133,14.181361521954175,11.0,0.0,0,0,0,0.0
2024-01-01 03:00:00,2.0,15.5,1.9660982039890664,15.705385793452656,14.211067791123048,11.0,0.0,0,0,0,0.0
2024-01-01 03:15:00,2.0,15.5,1.9660982039890664,15.631484600199492,14.23517424629141,11.0,0.0,0,0,0,0.0
2024-01-01 03:30:00,2.0,15.5,1.9660982039890664,15.562178993907349,14.25427089003603,11.0,0.0,0,0,0,0.0
2024-01-01 03:45:00,1.0,20.3,1.9660982039890664,15.78284804830755,14.27205100858591,11.0,0.0,0,0,0,0.0
2024-01-01 04:00:00,1.0,17.1,1.9660982039890664,16.21888778186082,14.310779600722993,11.0,0.0,0,0,0,0.0
2024-01-01 04:15:00,2.0,17.5,1.9660982039890664,16.588450542993034,14.3629475348522,11.0,0.0,0,0,0,0.0
2024-01-01 04:30:00,1.0,20.3,1.9660982039890664,16.854241865058842,14.426211777376416,11.0,0.0,0,0,0,0.0
2024-01-01 04:45:00,1.0,21.1,1.9660982039890664,17.626538921587745,14.511939442090178,11.0,0.0,0,0,0,0.0
2024-01-01 05:00:00,1.0,21.5,1.9660982039890664,18.42164904611662,14.623353880925281,10.0,0.0,0,0,0,0.0
2024-01-01 05:15:00,1.0,21.5,1.9660982039890664,19.200593915861884,14.758615717496665,10.0,0.0,0,0,0,0.0
2024-01-01 05:30:00,1.0,21.5,1.9660982039890664,19.949042020350003,14.922491586254928,10.0,0.0,0,0,0,0.0
2024-01-01 05:45:00,3.0,21.5,1.9660982039890664,20.669749996542908,15.11175433701042,10.0,0.0,0,0,0,0.0
2024-01-01 06:00:00,3.0,21.5,1.9660982039890664,21.365195780991762,15.323508332874548,10.0,0.0,0,0,0,0.0
2024-01-01 06:15:00,1.0,21.5,1.9660982039890664,21.915822496514195,15.554344184508293,10.0,0.0,0,0,0,0.0
2024-01-01 06:30:00,1.0,21.5,1.9660982039890664,21.72782713911992,15.780232318024188,10.0,0.0,0,0,0,0.0
2024-01-01 06:45:00,3.0,21.5,1.9660982039890664,21.441186931373583,15.978442130621273,10.0,0.0,0,0,0,0.0
2024-01-01 07:00:00,3.0,21.5,1.9660982039890664,21.177209456240135,16.150714884145074,10.0,0.0,0,0,0,0.0
2024-01-01 07:15:00,3.0,21.5,1.9660982039890664,21.219459050563085,16.302902982476695,10.0,0.7916666666666667,1,0,1,0.7875000000000001
2024-01-01 07:30:00,3.0,21.5,1.9660982039890664,21.85335714688678,16.46536605730988,10.0,0.8,0,0,1,0.0
2024-01-01 07:45:00,3.0,21.5,1.9660982039890664,21.782315307662437,16.634134822736446,10.0,0.8,0,0,1,0.0
2024-01-01 08:00:00,3.0,21.5,1.9660982039890664,21.533326042507102,16.78189233756988,10.0,0.8,0,0,1,0.0
2024-01-01 08:15:00,3.0,21.5,1.9660982039890664,21.30383501942647,16.908665980615215,10.0,0.8,0,0,1,0.0
2024-01-01 08:30:00,1.0,21.5,1.9660982039890664,21.09100735476017,17.0166567623302,10.0,0.8,0,0,1,0.0
2024-01-01 08:45:00,3.0,21.5,1.9660982039890664,21.410656824740794,17.11581575942338,10.0,0.0,0,1,0,0.0
2024-01-01 09:00:00,1.0,21.5,1.9660982039890664,21.92769860915995,17.23594070299562,10.0,0.0,0,0,0,0.0
2024-01-01 09:15:00,1.0,21.5,1.9660982039890664,21.744228948967425,17.3551014386126,10.0,0.0,0,0,0,0.0
2024-01-01 09:30:00,1.0,21.5,1.9660982039890664,21.532921833290853,17.45632307045059,10.0,0.0,0,0,0,0.0
2024-01-01 09:45:00,1.0,21.5,1.9660982039890664,21.336243139157933,17.541213593721636,10.0,0.0,0,0,0,0.0
2024-01-01 10:00:00,1.0,21.5,1.9660982039890664,21.15593867087711,17.61841426357445,11.0,0.0,0,0,0,0.0
2024-01-01 10:15:00,1.0,21.5,1.9660982039890664,21.11318906221188,17.69087300833176,11.0,0.0,0,0,0,0.0
2024-01-01 10:30:00,1.0,21.5,1.9660982039890664,21.77287931799044,17.773512870048577,11.0,0.0,0,0,0,0.0
2024-01-01 10:45:00,1.0,21.5,1.9660982039890664,21.86554645028259,17.87474406175433,11.0,0.0,0,0,0,0.0
2024-01-01 11:00:00,1.0,21.5,1.9660982039890664,21.68237088603662,17.971116892037667,12.0,0.0,0,0,0,0.0
2024-01-01 11:15:00,1.0,21.5,1.9660982039890664,21.515780499933825,18.06060240952725,12.0,0.0,0,0,0,0.0
2024-01-01 11:30:00,1.0,21.5,1.9660982039890664,21.361169154937066,18.136611094222168,12.0,0.0,0,0,0,0.0
2024-01-01 11:45:00,1.0,21.5,1.9660982039890664,21.217350950427942,18.200549570294285,12.0,0.0,0,0,0,0.0
2024-01-01 12:00:00,1.0,21.5,1.9660982039890664,21.081971466157643,18.25366220254488,12.0,0.0,0,0,0,0.0
2024-01-01 12:15:00,1.0,21.5,1.9660982039890664,21.291405930406704,18.301101179150415,12.0,0.0,0,0,0,0.0
2024-01-01 12:30:00,1.0,21.5,1.9660982039890664,21.949739406601587,18.371948296157516,12.0,0.0,0,0,0,0.0
2024-01-01 12:45:00,1.0,21.5,1.9660982039890664,21.874618989158208,18.452798742817812,12.0,0.0,0,0,0,0.0
2024-01-01 13:00:00,1.0,21.5,1.9660982039890664,21.718738996481953,18.5214339325286,12.0,0.0,0,0,0,0.0
2024-01-01 13:15:00,1.0,21.5,1.9660982039890664,21.57372931170115,18.578407813128884,12.0,0.0,0,0,0,0.0
2024-01-01 13:30:00,3.0,21.5,1.9660982039890664,21.43818284309111,18.62495045478353,12.0,0.0,0,0,0,0.0
2024-01-01 13:45:00,1.0,21.5,1.9660982039890664,21.311172668734102,18.66215969298379,12.0,0.0,0,0,0,0.0
