,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.20773299504554338,0.172,1.0
2024-01-01 00:15:00,0.001,1.216813004506753,0.2353333333333333,0.0
2024-01-01 00:30:00,0.001,0.5173311925843554,0.362,0.0
2024-01-01 00:45:00,0.001,0.11589228021551379,0.2353333333333333,0.0
2024-01-01 01:00:00,0.001,0.2885587116668161,0.11553333333333332,3.0
2024-01-01 01:15:00,0.001,0.9191785643369471,0.051,0.4
2024-01-01 01:30:00,0.001,0.001,0.051,0.0
2024-01-01 01:45:00,0.001,0.001,0.06366666666666666,2.2
2024-01-01 02:00:00,0.001,0.001,0.241,0.8
2024-01-01 02:15:00,0.001,0.001,0.165,0.0
2024-01-01 02:30:00,0.001,0.001,0.051,0.0
2024-01-01 02:45:00,0.001,0.001,0.051,0.0
2024-01-01 03:00:00,0.001,0.001,0.051,0.0
2024-01-01 03:15:00,0.001,0.001,0.051,0.0
2024-01-01 03:30:00,0.001,0.001,0.20299999999999999,0.0
2024-01-01 03:45:00,0.001,0.001,0.21566666666666665,0.6
2024-01-01 04:00:00,0.001,0.001,0.051,2.6
2024-01-01 04:15:00,0.001,0.001,0.051,0.0
2024-01-01 04:30:00,0.001,0.001,0.051,0.0
2024-01-01 04:45:00,0.001,0.001,0.051,2.6
2024-01-01 05:00:00,0.001,0.001,0.15233333333333335,2.2
2024-01-01 05:15:00,0.001,0.001,0.7740666666666667,1.0
2024-01-01 05:30:00,0.001,0.001,0.07633333333333334,1.2
2024-01-01 05:45:00,0.001,0.001,0.051,3.0
2024-01-01 06:00:00,0.001,0.001,0.051,3.0
2024-01-01 06:15:00,0.001,0.001,0.051,0.6
2024-01-01 06:30:00,0.001,0.001,0.11293333333333333,0.0
2024-01-01 06:45:00,0.001,0.001,0.254,1.6
2024-01-01 07:00:00,0.001,0.001,0.5398000000000001,1.4
2024-01-01 07:15:00,0.001,0.001,0.19726666666666667,0.0
2024-01-01 07:30:00,0.001,0.001,0.064,0.0
2024-01-01 07:45:00,0.001,0.001,0.064,0.0
2024-01-01 08:00:00,0.001,0.001,0.064,1.0
2024-01-01 08:15:00,0.001,0.001,0.2701333333333333,0.0
2024-01-01 08:30:00,0.001,0.001,0.31166666666666665,0.0
2024-01-01 08:45:00,0.001,0.001,0.19799999999999998,0.0
2024-01-01 09:00:00,0.001,0.001,0.2664666666666667,0.0
2024-01-01 09:15:00,0.001,0.05564715796137402,0.276,2.2
2024-01-01 09:30:00,0.001,0.22013987331463125,0.2598666666666667,2.0
2024-01-01 09:45:00,0.047599999999999996,0.9795795582158954,0.23366666666666666,0.0
2024-01-01 10:00:00,1.6749872683640312,0.3190568556123789,0.23873333333333333,0.8
2024-01-01 10:15:00,1.938184883948303,0.14121900394048875,0.051,2.8
2024-01-01 10:30:00,1.4662601493572336,0.23940084995644734,0.5840666666666666,0.0
2024-01-01 10:45:00,0.3818595141041135,0.67508669111518,0.46025899389813874,0.0
2024-01-01 11:00:00,1.0926026347692794,0.11586924878944922,0.0628237423726735,0.0
2024-01-01 11:15:00,1.0674127282709998,0.23374226993171238,0.15149040903934016,0.0
2024-01-01 11:30:00,1.3841265979895119,1.1687090628504015,0.2528237423726735,0.0
2024-01-01 11:45:00,0.559756287537335,0.9366630461218529,0.2621570757060068,1.0
2024-01-01 12:00:00,0.6286846602752406,0.001,0.3860494969490694,3.0
2024-01-01 12:15:00,1.8289432008376663,0.001,0.293,0.2
2024-01-01 12:30:00,1.97400812164362,0.001,0.293,0.0
2024-01-01 12:45:00,1.9410712157733687,0.001,0.3148666666666667,0.0
2024-01-01 13:00:00,0.6673183812687167,0.001,0.362,0.0
2024-01-01 13:15:00,0.001,0.001,0.16386666666666666,0.0
2024-01-01 13:30:00,0.001,0.001,0.051,0.0
2024-01-01 13:45:00,0.001,0.001,0.051,0.0
2024-01-01 14:00:00,0.001,0.001,0.051,0.0
2024-01-01 14:15:00,0.001,0.001,0.051,0.0
2024-01-01 14:30:00,0.001,0.001,0.22833333333333333,0.0
2024-01-01 14:45:00,0.001,0.001,0.19033333333333333,1.6
2024-01-01 15:00:00,0.001,0.001,0.7093999999999999,2.2
2024-01-01 15:15:00,0.001,0.001,0.185,0.0
2024-01-01 15:30:00,0.001,0.001,0.185,0.0
2024-01-01 15:45:00,0.001,0.001,0.185,0.0
2024-01-01 16:00:00,0.001,0.001,0.31166666666666665,0.0
2024-01-01 16:15:00,0.001,0.001,0.2551333333333333,0.0
2024-01-01 16:30:00,0.001,0.001,0.17297232723147213,0.8
2024-01-01 16:45:00,0.001,0.001,0.2115237423726735,1.6
2024-01-01 17:00:00,0.001,0.001,0.2115237423726735,0.8
2024-01-01 17:15:00,0.001,0.001,0.2921904090393402,3.0
2024-01-01 17:30:00,0.001,0.001,0.3981237423726735,1.4
2024-01-01 17:45:00,0.001,0.001,0.4977,0.0
2024-01-01 18:00:00,0.001,0.001,0.3646726625987592,0.6
2024-01-01 18:15:00,0.001,0.001,0.28725707570600684,1.0
2024-01-01 18:30:00,0.001,0.001,0.30339040903934017,2.0
2024-01-01 18:45:00,0.001,0.001,1.6169237423726737,1.8
2024-01-01 19:00:00,0.001,0.001,2.587857075706007,0.0
2024-01-01 19:15:00,0.001,0.001,2.666577075706007,1.4
2024-01-01 19:30:00,0.001,0.001,2.663857075706007,1.2
2024-01-01 19:45:00,0.001,0.001,0.7923237423726736,0.0
2024-01-01 20:00:00,0.001,0.001,0.3195237423726735,0.0
2024-01-01 20:15:00,0.001,0.001,0.3195237423726735,0.8
2024-01-01 20:30:00,0.001,0.001,0.38405707570600683,0.2
2024-01-01 20:45:00,0.001,0.001,0.5439942454236041,0.0
2024-01-01 21:00:00,0.001,0.001,0.8713237423726735,1.0
2024-01-01 21:15:00,0.001,0.001,0.3195237423726735,0.0
2024-01-01 21:30:00,0.001,0.001,0.3952904090393402,0.0
2024-01-01 21:45:00,0.001,0.001,0.3748904090393401,0.0
2024-01-01 22:00:00,0.001,0.001,0.2937882494915115,0.0
2024-01-01 22:15:00,0.001,0.001,0.4278704090393402,2.2
2024-01-01 22:30:00,0.001,0.001,0.8970570757060069,0.0
2024-01-01 22:45:00,0.001,0.001,0.5987237423726735,1.4
2024-01-01 23:00:00,0.001,0.001,0.2711237423726735,0.4
2024-01-01 23:15:00,0.001,0.001,0.6063904090393402,0.0
2024-01-01 23:30:00,0.001,0.001,0.9326529979660462,0.0
2024-01-01 23:45:00,0.001,0.001,0.4920333333333333,0.0
2024-01-02 00:00:00,0.001,0.001,0.6187,0.0
2024-01-02 00:15:00,0.001,0.001,0.4920333333333333,1.2
2024-01-02 00:30:00,0.001,0.001,0.35609999999999997,0.0
2024-01-02 00:45:00,0.001,0.001,0.2835,0.0
2024-01-02 01:00:00,0.001,0.001,0.18669999999999998,0.0
2024-01-02 01:15:00,0.001,0.001,0.19936666666666664,0.0
2024-01-02 01:30:00,0.001,0.001,0.3767,0.0
2024-01-02 01:45:00,0.001,0.001,0.7004999999999999,0.0
2024-01-02 02:00:00,0.001,0.001,0.18669999999999998,0.0
2024-01-02 02:15:00,0.001,0.001,0.18669999999999998,1.6
2024-01-02 02:30:00,0.001,0.001,0.18669999999999998,1.2
2024-01-02 02:45:00,0.001,0.001,0.18669999999999998,2.0
2024-01-02 03:00:00,0.001,0.001,0.3387,0.0
2024-01-02 03:15:00,0.001,0.001,0.28803999999999996,0.0
2024-01-02 03:30:00,0.001,0.001,0.4508,2.8
2024-01-02 03:45:00,0.001,0.001,0.051,3.0
2024-01-02 04:00:00,0.001,0.001,0.051,2.8
2024-01-02 04:15:00,0.001,0.001,0.051,0.0
2024-01-02 04:30:00,0.001,0.001,0.15233333333333335,0.0
2024-01-02 04:45:00,0.001,0.001,0.241,0.0
2024-01-02 05:00:00,0.001,0.001,0.07633333333333334,0.0
2024-01-02 05:15:00,0.001,0.001,0.051,0.4
2024-01-02 05:30:00,0.001,0.001,0.051,2.8
2024-01-02 05:45:00,0.001,0.001,0.051,0.0
2024-01-02 06:00:00,0.001,0.001,0.5014666666666667,0.0
2024-01-02 06:15:00,0.001,0.001,0.3198666666666667,2.4
2024-01-02 06:30:00,0.001,0.001,0.218,1.6
2024-01-02 06:45:00,0.001,0.001,0.142,0.0
2024-01-02 07:00:00,0.001,0.001,0.14633333333333332,0.0
2024-01-02 07:15:00,0.001,0.001,0.09433333333333334,0.0
2024-01-02 07:30:00,0.001,0.001,0.064,0.0
2024-01-02 07:45:00,0.001,0.001,0.254,0.0
2024-01-02 08:00:00,0.001,0.001,0.19066666666666665,0.0
2024-01-02 08:15:00,0.001,0.001,0.05186666666666666,0.0
2024-01-02 08:30:00,0.001,0.001,0.051,0.0
2024-01-02 08:45:00,0.001,0.001,0.051,0.0
2024-01-02 09:00:00,0.001,0.001,0.051,0.0
2024-01-02 09:15:00,0.001,0.001,0.19033333333333333,0.0
2024-01-02 09:30:00,0.001,0.001,0.22833333333333333,0.0
2024-01-02 09:45:00,0.001,0.001,0.051,0.0
2024-01-02 10:00:00,0.001,0.001,0.18426666666666666,0.6
2024-01-02 10:15:00,0.001,0.001,0.31753333333333333,3.0
2024-01-02 10:30:00,0.001,0.001,0.05793333333333333,3.0
2024-01-02 10:45:00,0.001,0.001,0.26122666666666666,1.6
2024-01-02 11:00:00,0.001,0.09392164779051025,0.3897,0.0
2024-01-02 11:15:00,0.001,0.2165984273480836,0.23769999999999997,0.0
2024-01-02 11:30:00,0.001,1.1430523432723534,0.1997,0.0
2024-01-02 11:45:00,0.001,0.1447400146355617,0.7206333333333332,0.0
2024-01-02 12:00:00,0.001,0.1411019904780345,0.1997,0.0
2024-01-02 12:15:00,0.001,0.2720530160899676,0.23769999999999997,1.8
2024-01-02 12:30:00,0.001,0.6309848638715755,0.39206474847453465,0.0
2024-01-02 12:45:00,0.001,0.12937987831482983,0.3485904090393402,1.0
2024-01-02 13:00:00,0.001,0.27823892558351815,0.4163237423726735,0.4
2024-01-02 13:15:00,0.001,1.6536739716103108,0.4405237423726735,0.0
2024-01-02 13:30:00,0.001,0.4373188138364432,0.4163237423726735,0.0
2024-01-02 13:45:00,0.001,0.16762203730679656,0.7193237423726735,1.4
2024-01-02 14:00:00,0.001,0.23982869028390835,0.5142075787569375,0.4
2024-01-02 14:15:00,0.001,0.09531305399110522,0.41435333333333335,1.8
2024-01-02 14:30:00,0.001,0.001,0.2420333333333333,0.0
2024-01-02 14:45:00,0.001,0.001,0.3285824949151157,1.2
2024-01-02 15:00:00,0.001,0.001,0.3325237423726735,0.0
2024-01-02 15:15:00,0.001,0.23432020964825145,0.2924170757060069,0.0
2024-01-02 15:30:00,0.001,0.7039212343379038,0.43495707570600683,0.0
2024-01-02 15:45:00,0.001,0.34459935945807013,1.4120237423726738,0.0
