,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.07655219735291431,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.07655219735291431,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.07655219735291431,0.3
2024-01-01 00:45:00,0.001,0.001,0.001,0.1315173991176381,1.5
2024-01-01 01:00:00,0.001,0.001,0.001,0.22233333333333333,1.5
2024-01-01 01:15:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 01:30:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 01:45:00,0.001,0.001,0.001,0.045,1.4
2024-01-01 02:00:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.14633333333333332,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.19699999999999998,1.4
2024-01-01 02:45:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 03:00:00,0.001,0.001,0.001,0.045,1.2
2024-01-01 03:15:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 03:30:00,0.001,0.001,0.001,0.045,0.4
2024-01-01 03:45:00,0.001,0.001,0.001,0.17166666666666666,1.5
2024-01-01 04:00:00,0.001,0.001,0.001,0.17166666666666666,1.5
2024-01-01 04:15:00,0.001,0.001,0.001,0.045,0.7
2024-01-01 04:30:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.197,0.0
2024-01-01 05:30:00,0.001,0.001,0.001,0.14633333333333332,0.0
2024-01-01 05:45:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 06:00:00,0.001,0.001,0.001,0.045,1.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.22233333333333333,1.2
2024-01-01 07:00:00,0.001,0.001,0.001,0.121,1.5
2024-01-01 07:15:00,0.001,0.001,0.001,0.045,0.4
2024-01-01 07:30:00,0.001,0.001,0.001,0.045,0.8
2024-01-01 07:45:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 08:00:00,0.001,0.001,0.001,0.057666666666666665,1.5
2024-01-01 08:15:00,0.001,0.001,0.001,0.235,1.5
2024-01-01 08:30:00,0.001,0.001,0.001,0.09566666666666665,1.5
2024-01-01 08:45:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 09:00:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 09:15:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 09:30:00,0.001,0.001,0.001,0.08299999999999999,1.5
2024-01-01 09:45:00,0.001,0.001,0.001,0.235,0.8
2024-01-01 10:00:00,0.001,0.001,0.001,0.07033333333333333,0.0
2024-01-01 10:15:00,0.001,0.001,0.001,0.045,0.1
2024-01-01 10:30:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 10:45:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 11:00:00,0.001,0.001,0.001,0.10833333333333334,1.5
2024-01-01 11:15:00,0.001,0.001,0.001,0.235,1.5
2024-01-01 11:30:00,0.001,0.001,0.001,0.045,1.5
2024-01-01 11:45:00,0.001,0.001,0.001,0.045,0.1
2024-01-01 12:00:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 12:15:00,0.001,0.001,0.001,0.045,0.0
2024-01-01 12:30:00,0.001,0.001,0.001,0.13366666666666666,0.0
2024-01-01 12:45:00,0.001,0.001,0.001,0.20966666666666667,0.0
2024-01-01 13:00:00,0.001,0.001,0.001,0.06813827805880382,0.0
2024-01-01 13:15:00,0.001,0.001,0.001,0.07655219735291431,0.0
