,BaseLoad,P_EV
2024-01-01 00:00:00,0.20966666666666667,0.0
2024-01-01 00:15:00,0.13366666666666666,0.0
2024-01-01 00:30:00,0.045,0.0
2024-01-01 00:45:00,0.045,0.0
2024-01-01 01:00:00,0.045,0.0
2024-01-01 01:15:00,0.11833333333333333,0.0
2024-01-01 01:30:00,0.28633333333333333,0.0
2024-01-01 01:45:00,0.10833333333333334,0.0
2024-01-01 02:00:00,0.045,0.0
2024-01-01 02:15:00,0.045,0.0
2024-01-01 02:30:00,0.045,0.0
2024-01-01 02:45:00,0.09233333333333332,0.0
2024-01-01 03:00:00,0.3376666666666666,0.0
2024-01-01 03:15:00,0.08299999999999999,0.0
2024-01-01 03:30:00,0.045,0.0
2024-01-01 03:45:00,0.045,0.0
2024-01-01 04:00:00,0.045,8.066666666666666
2024-01-01 04:15:00,0.09566666666666666,0.0
2024-01-01 04:30:00,0.31566666666666665,0.0
2024-01-01 04:45:00,0.10166666666666666,0.0
2024-01-01 05:00:00,0.045,0.0
2024-01-01 05:15:00,0.045,0.0
2024-01-01 05:30:00,0.045,0.0
2024-01-01 05:45:00,0.121,0.0
2024-01-01 06:00:00,0.25166666666666665,2.933333333333333
2024-01-01 06:15:00,0.14033333333333334,0.0
2024-01-01 06:30:00,0.045,0.0
2024-01-01 06:45:00,0.045,0.0
2024-01-01 07:00:00,0.045,0.0
2024-01-01 07:15:00,0.14633333333333332,0.0
2024-01-01 07:30:00,0.19699999999999998,0.0
2024-01-01 07:45:00,0.13299999999999998,0.0
2024-01-01 08:00:00,0.08166666666666668,0.0
2024-01-01 08:15:00,0.045,0.0
2024-01-01 08:30:00,0.045,0.0
2024-01-01 08:45:00,0.17166666666666666,0.0
2024-01-01 09:00:00,0.17166666666666666,0.0
2024-01-01 09:15:00,0.08166666666666668,0.0
2024-01-01 09:30:00,0.13299999999999998,0.0
2024-01-01 09:45:00,0.045,0.0
2024-01-01 10:00:00,0.045,0.0
2024-01-01 10:15:00,0.197,0.0
2024-01-01 10:30:00,0.14633333333333332,0.0
2024-01-01 10:45:00,0.045,0.0
2024-01-01 11:00:00,0.14033333333333334,0.0
2024-01-01 11:15:00,0.07433333333333333,0.0
2024-01-01 11:30:00,0.045,0.0
2024-01-01 11:45:00,0.22233333333333333,0.0
2024-01-01 12:00:00,0.121,0.0
2024-01-01 12:15:00,0.045,0.0
2024-01-01 12:30:00,0.089,0.0
2024-01-01 12:45:00,0.12566666666666668,0.0
2024-01-01 13:00:00,0.057666666666666665,0.0
2024-01-01 13:15:00,0.235,0.0
2024-01-01 13:30:00,0.09566666666666665,0.0
2024-01-01 13:45:00,0.045,0.0
2024-01-01 14:00:00,0.045,0.0
2024-01-01 14:15:00,0.14766666666666667,0.0
2024-01-01 14:30:00,0.105,0.0
2024-01-01 14:45:00,0.235,0.0
2024-01-01 15:00:00,0.07033333333333333,0.0
2024-01-01 15:15:00,0.045,0.0
2024-01-01 15:30:00,0.045,0.0
2024-01-01 15:45:00,0.09633333333333334,0.0
2024-01-01 16:00:00,0.18166666666666667,0.0
2024-01-01 16:15:00,0.235,0.0
2024-01-01 16:30:00,0.045,0.0
2024-01-01 16:45:00,0.045,0.0
2024-01-01 17:00:00,0.045,0.0
2024-01-01 17:15:00,0.045,0.0
2024-01-01 17:30:00,0.24366666666666664,0.0
2024-01-01 17:45:00,0.22433333333333333,0.0
2024-01-01 18:00:00,0.045,0.0
2024-01-01 18:15:00,0.045,0.0
2024-01-01 18:30:00,0.045,0.0
2024-01-01 18:45:00,0.045,0.0
2024-01-01 19:00:00,0.21766666666666665,0.0
2024-01-01 19:15:00,0.25033333333333335,0.0
2024-01-01 19:30:00,0.045,0.0
2024-01-01 19:45:00,0.045,0.0
2024-01-01 20:00:00,0.045,0.0
2024-01-01 20:15:00,0.045,0.0
2024-01-01 20:30:00,0.19166666666666668,0.0
2024-01-01 20:45:00,0.269,0.0
2024-01-01 21:00:00,0.05233333333333333,0.0
2024-01-01 21:15:00,0.045,0.0
2024-01-01 21:30:00,0.08533333333333333,0.0
2024-01-01 21:45:00,0.166,0.0
2024-01-01 22:00:00,0.3330314151412014,0.0
2024-01-01 22:15:00,0.3324904090393402,0.0
2024-01-01 22:30:00,0.23649040903934015,0.0
2024-01-01 22:45:00,0.10381476780403351,0.0
2024-01-01 23:00:00,0.0883759397255878,0.0
2024-01-01 23:15:00,0.0860111912510531,0.0
2024-01-01 23:30:00,0.2665521973529143,0.0
2024-01-01 23:45:00,0.1545521973529143,0.0
2024-01-02 00:00:00,0.1781382780588038,0.0
2024-01-02 00:15:00,0.045,0.0
2024-01-02 00:30:00,0.045,0.0
2024-01-02 00:45:00,0.6034,0.0
2024-01-02 01:00:00,0.235,0.0
2024-01-02 01:15:00,0.08299999999999999,0.0
2024-01-02 01:30:00,0.5181333333333333,0.0
2024-01-02 01:45:00,0.09633333333333334,0.0
2024-01-02 02:00:00,0.44480000000000003,0.0
2024-01-02 02:15:00,0.49546666666666667,0.0
2024-01-02 02:30:00,0.235,0.0
2024-01-02 02:45:00,0.057666666666666665,0.0
2024-01-02 03:00:00,0.06699999999999999,0.0
2024-01-02 03:15:00,0.14766666666666667,0.0
2024-01-02 03:30:00,0.045,0.0
2024-01-02 03:45:00,0.121,0.0
2024-01-02 04:00:00,0.22233333333333333,0.0
2024-01-02 04:15:00,0.045,0.0
2024-01-02 04:30:00,0.045,0.0
