,WasherDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 19:15:00,0.001,0.7901689800785326,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.21700711351109253,0.0,0.0,0.6666666666666666
2024-01-01 19:45:00,0.001,0.3552055306862476,0.0,0.0,2.0
2024-01-01 20:00:00,0.001,0.08955219735291431,0.0,0.0,0.0
2024-01-01 20:15:00,0.001,0.07915219735291432,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.1648721973529143,0.0,0.0,1.0
2024-01-01 20:45:00,0.001,0.053413919294110476,0.0,0.0,3.0
2024-01-01 21:00:00,0.001,0.22233333333333333,0.0,0.0,0.0
2024-01-01 21:15:00,0.001,0.17166666666666666,0.0,0.0,0.0
2024-01-01 21:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 21:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 22:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 22:15:00,0.001,0.08299999999999999,0.0,0.0,0.0
2024-01-01 22:30:00,0.001,0.235,0.0,0.0,0.0
2024-01-01 22:45:00,0.001,0.121,0.0,0.0,2.6666666666666665
2024-01-01 23:00:00,0.001,0.17748,0.0,0.0,0.0
2024-01-01 23:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 23:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-01 23:45:00,0.001,0.13366666666666666,0.0,0.0,0.0
2024-01-02 00:00:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 00:15:00,0.001,0.07033333333333333,0.0,0.0,0.0
2024-01-02 00:30:00,0.001,0.045,0.0,0.0,2.0
2024-01-02 00:45:00,0.001,0.045,0.0,0.0,2.3333333333333335
2024-01-02 01:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 01:15:00,0.001,0.18433333333333332,0.0,0.0,0.0
2024-01-02 01:30:00,0.001,0.20966666666666667,0.0,0.6,3.0
2024-01-02 01:45:00,0.001,0.045,0.0,0.0,0.3333333333333333
2024-01-02 02:00:00,0.001,0.31153333333333333,0.0,0.0,0.0
2024-01-02 02:15:00,0.001,0.17826666666666666,0.0,0.0,0.0
2024-01-02 02:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 02:45:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 03:00:00,0.001,0.15899999999999997,0.0,0.0,0.0
2024-01-02 03:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 03:30:00,0.001,0.5780666666666666,0.0,0.0,2.6666666666666665
2024-01-02 03:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 04:00:00,0.001,0.09566666666666666,0.0,0.2,0.0
2024-01-02 04:15:00,0.001,0.235,0.0,3.0,0.0
2024-01-02 04:30:00,0.001,0.10833333333333334,0.0,0.0,0.0
2024-01-02 04:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 05:00:00,0.001,0.045,2.3333333333333335,0.0,0.0
2024-01-02 05:15:00,0.001,0.045,3.2666666666666666,0.0,0.0
2024-01-02 05:30:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-02 05:45:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 06:00:00,0.001,0.057666666666666665,0.0,0.0,0.0
2024-01-02 06:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 06:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 06:45:00,0.001,0.045,1.4,0.0,0.0
2024-01-02 07:00:00,0.001,0.197,0.0,0.0,0.0
2024-01-02 07:15:00,0.001,0.19699999999999998,0.0,0.0,0.0
2024-01-02 07:30:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 07:45:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 08:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 08:15:00,0.001,0.057666666666666665,0.0,0.0,2.0
2024-01-02 08:30:00,0.001,0.235,0.0,0.0,3.0
2024-01-02 08:45:00,0.001,0.14633333333333332,0.0,0.0,0.0
2024-01-02 09:00:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 09:15:00,0.001,0.045,0.0,0.0,0.0
2024-01-02 09:30:00,0.001,0.045,0.0,0.0,2.6666666666666665
2024-01-02 09:45:00,0.001,0.5081333333333333,0.0,0.0,0.0
2024-01-02 10:00:00,0.001,0.235,0.0,0.0,0.0
2024-01-02 10:15:00,0.001,0.09566666666666665,3.2666666666666666,0.0,0.0
2024-01-02 10:30:00,0.001,0.045,0.0,2.2,2.6666666666666665
2024-01-02 10:45:00,0.001,0.07444871752938668,0.0,0.4,0.0
2024-01-02 11:00:00,0.001,0.07655219735291431,0.0,0.0,0.0
2024-01-02 11:15:00,0.001,0.19055219735291432,0.0,0.0,0.0
2024-01-02 11:30:00,0.001,0.2665521973529143,0.4666666666666667,0.0,0.0
2024-01-02 11:45:00,0.001,0.18274523770585907,0.0,0.0,0.0
2024-01-02 12:00:00,0.001,0.06393131841174858,0.0,0.0,0.0
2024-01-02 12:15:00,0.001,1.775018864019581,0.0,0.0,2.6666666666666665
2024-01-02 12:30:00,0.001,2.4746150276353167,0.0,0.0,0.0
2024-01-02 12:45:00,0.001,0.26604260639225447,0.0,0.0,0.0
2024-01-02 13:00:00,0.001,0.24070927305892112,0.0,0.0,0.0
2024-01-02 13:15:00,0.001,0.09530927305892113,0.0,0.0,0.0
2024-01-02 13:30:00,0.001,0.09979944074256468,0.0,0.0,0.0
2024-01-02 13:45:00,0.001,0.622618864019581,0.0,0.0,0.6666666666666666
2024-01-02 14:00:00,0.001,0.6185034798235276,0.0,0.0,2.0
2024-01-02 14:15:00,0.001,0.24799999999999997,0.0,0.0,0.0
2024-01-02 14:30:00,0.001,0.14666666666666667,0.0,0.0,0.0
2024-01-02 14:45:00,0.001,0.09833333333333334,0.0,0.0,0.0
2024-01-02 15:00:00,0.001,0.5692666666666667,0.0,0.0,0.0
2024-01-02 15:15:00,0.001,0.9656,0.0,0.0,0.0
2024-01-02 15:30:00,0.001,0.2498,0.0,0.0,0.6666666666666666
2024-01-02 15:45:00,0.001,0.369,0.0,0.0,2.0
2024-01-02 16:00:00,0.001,0.1928,0.0,0.0,0.0
2024-01-02 16:15:00,0.001,0.058,0.0,0.0,0.0
2024-01-02 16:30:00,0.001,0.13418406578430478,0.0,0.0,0.0
2024-01-02 16:45:00,0.6865634812499747,0.730618864019581,0.0,0.0,0.0
2024-01-02 17:00:00,0.7920347860576631,0.324218864019581,0.0,0.0,3.0
2024-01-02 17:15:00,0.7920347860576631,0.37803852865229387,0.0,0.0,0.0
2024-01-02 17:30:00,0.7920347860576631,0.20937593972558782,0.0,0.4,0.0
2024-01-02 17:45:00,0.7920347860576631,0.18203070201972876,0.0,2.2,0.0
2024-01-02 18:00:00,0.7920347860576631,0.06489040903934017,0.0,0.0,0.0
2024-01-02 18:15:00,0.7920347860576631,0.0568237423726735,0.0,0.0,0.0
2024-01-02 18:30:00,0.7920347860576631,0.23415707570600686,0.0,0.0,0.0
2024-01-02 18:45:00,0.7920347860576631,0.1756079141242245,0.0,0.0,0.0
2024-01-02 19:00:00,0.7920347860576631,0.045,0.0,0.0,2.6666666666666665
2024-01-02 19:15:00,0.7920347860576631,0.045,0.0,0.0,0.0
2024-01-02 19:30:00,0.5810921764422863,0.5780666666666666,0.0,0.0,0.0
2024-01-02 19:45:00,0.001,0.09141391929411048,0.0,0.0,0.0
