,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.153,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.43879999999999997,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.039,0.0,2.6666666666666665
2024-01-01 01:15:00,0.001,0.001,0.21633333333333335,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.17833333333333334,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.039,0.0,2.0
2024-01-01 02:30:00,0.001,0.001,0.039,0.0,3.3333333333333335
2024-01-01 02:45:00,0.001,0.001,0.191,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.2036666666666667,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.039,0.2,0.0
2024-01-01 03:30:00,0.001,0.001,0.039,1.6,0.0
2024-01-01 03:45:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.039,1.2,0.0
2024-01-01 04:15:00,0.001,0.001,0.16566666666666668,2.8,1.6666666666666667
2024-01-01 04:30:00,0.001,0.001,0.229,3.0,1.0
2024-01-01 04:45:00,0.001,0.001,0.039,3.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.039,3.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.039,0.4,0.0
2024-01-01 05:30:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.14033333333333334,0.0,2.0
2024-01-01 06:00:00,0.001,0.001,0.4955333333333334,0.0,1.0
2024-01-01 06:15:00,0.001,0.001,0.3308666666666667,0.0,2.6666666666666665
2024-01-01 06:30:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.039,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.4387999999999999,1.8,0.0
2024-01-01 07:15:00,0.001,0.001,0.115,0.8,0.0
2024-01-01 07:30:00,0.001,0.001,0.24026666666666668,0.0,0.0
