,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.238,0.0,0.0
2024-01-01 00:15:00,0.001,0.238,0.0,0.0
2024-01-01 00:30:00,0.001,0.07333333333333333,0.0,0.0
2024-01-01 00:45:00,0.001,0.048,0.0,0.0
2024-01-01 01:00:00,0.001,0.048,0.0,0.0
2024-01-01 01:15:00,0.001,0.16199999999999998,0.0,0.0
2024-01-01 01:30:00,0.001,0.2633333333333333,0.0,0.0
2024-01-01 01:45:00,0.001,0.21266666666666667,0.0,0.0
2024-01-01 02:00:00,0.001,0.048,0.0,0.0
2024-01-01 02:15:00,0.001,0.048,0.0,0.0
2024-01-01 02:30:00,0.001,0.048,0.0,0.0
2024-01-01 02:45:00,0.001,0.18733333333333332,0.0,0.0
2024-01-01 03:00:00,0.001,0.314,0.0,0.0
2024-01-01 03:15:00,0.001,0.5364666666666668,0.0,0.0
2024-01-01 03:30:00,0.001,0.048,0.0,0.0
2024-01-01 03:45:00,0.001,0.048,0.0,0.0
2024-01-01 04:00:00,0.001,0.048,0.0,0.5333333333333333
2024-01-01 04:15:00,0.001,0.21266666666666667,0.0,2.0
2024-01-01 04:30:00,0.001,0.35200000000000004,0.0,2.0
2024-01-01 04:45:00,0.001,0.07333333333333333,0.0,2.0
2024-01-01 05:00:00,0.001,0.048,0.0,2.0
2024-01-01 05:15:00,0.001,0.048,0.0,1.4666666666666666
2024-01-01 05:30:00,0.001,0.048,0.0,0.0
2024-01-01 05:45:00,0.001,0.2633333333333333,0.0,0.0
2024-01-01 06:00:00,0.001,0.3266666666666666,0.0,0.0
2024-01-01 06:15:00,0.001,0.048,0.0,0.0
2024-01-01 06:30:00,0.001,0.048,0.0,0.0
2024-01-01 06:45:00,0.001,0.1448,0.0,0.0
2024-01-01 07:00:00,0.001,0.19433333333333333,0.0,0.0
2024-01-01 07:15:00,0.001,0.44766666666666666,0.0,0.0
2024-01-01 07:30:00,0.001,0.35900000000000004,0.0,0.0
2024-01-01 07:45:00,0.001,0.169,0.0,0.0
2024-01-01 08:00:00,0.001,0.06413333333333333,0.0,0.0
2024-01-01 08:15:00,0.001,0.048,0.0,0.0
2024-01-01 08:30:00,0.001,0.09866666666666667,0.0,0.0
2024-01-01 08:45:00,0.001,0.9230666666666667,0.0,0.0
