,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,0.0,15.0,15.0,15.0,12.0,0.0,0.0,0.0
2024-01-01 00:01:00,2.0,0.0,15.0,14.999844259666526,14.99924792002883,12.0,120.0,0.0,0.0
2024-01-01 00:02:00,2.0,0.0,15.0,14.999752005363638,14.998496316869312,12.0,119.92392112489776,0.0,0.0
2024-01-01 00:03:00,2.0,0.0,15.0,14.999659447048932,14.99774522086053,12.0,119.8430014212052,0.0,0.0
2024-01-01 00:04:00,2.0,0.0,15.0,14.999566585118094,14.996994631483231,12.0,119.76216456850972,0.0,0.0
2024-01-01 00:05:00,2.0,0.0,15.0,14.999473419966359,14.996244548218732,12.0,119.68141047547225,0.0,0.0
2024-01-01 00:06:00,2.0,0.0,15.0,14.999379951988512,14.99549497054892,12.0,119.6007390508548,0.0,0.0
2024-01-01 00:07:00,2.0,0.0,15.0,14.999286181578894,14.994745897956259,12.0,119.52015020352107,0.0,0.0
2024-01-01 00:08:00,2.0,0.0,15.0,14.999192109131393,14.99399732992378,12.0,119.4396438424365,0.0,0.0
2024-01-01 00:09:00,2.0,0.0,15.0,14.999097735039454,14.99324926593508,12.0,119.35921987666794,0.0,0.0
2024-01-01 00:10:00,2.0,0.0,15.0,14.999003059696076,14.992501705474336,12.0,119.2788782153829,0.0,0.0
2024-01-01 00:11:00,2.0,0.0,15.0,14.99890808349381,14.991754648026282,12.0,119.19861876785062,0.0,0.0
2024-01-01 00:12:00,2.0,0.0,15.0,14.998812806824759,14.991008093076227,12.0,119.11844144344087,0.0,0.0
2024-01-01 00:13:00,2.0,0.0,15.0,14.998717230080587,14.990262040110045,12.0,119.03834615162476,0.0,0.0
2024-01-01 00:14:00,2.0,0.0,15.0,14.998621353652508,14.989516488614177,12.0,118.95833280197388,0.0,0.0
2024-01-01 00:15:00,2.0,0.0,15.0,14.998525177931295,14.98877143807563,12.0,118.87840130416056,0.0,0.0
2024-01-01 00:16:00,2.0,0.0,15.0,14.998428703307278,14.988026887981977,12.0,118.79855156795782,0.0,0.0
2024-01-01 00:17:00,2.0,0.0,15.0,14.998331930170341,14.987282837821356,12.0,118.71878350323867,0.0,0.0
2024-01-01 00:18:00,2.0,0.0,15.0,14.998234858909928,14.986539287082469,12.0,118.639097019977,0.0,0.0
2024-01-01 00:19:00,2.0,0.0,15.0,14.998137489915038,14.98579623525458,12.0,118.55949202824678,0.0,0.0
2024-01-01 00:20:00,2.0,0.0,15.0,14.998039823574231,14.98505368182752,12.0,118.47996843822216,0.0,0.0
2024-01-01 00:21:00,2.0,0.0,15.0,14.997941860275628,14.984311626291676,12.0,118.4005261601769,0.0,0.0
2024-01-01 00:22:00,2.0,0.0,15.0,14.997843600406902,14.983570068138004,12.0,118.32116510448488,0.0,0.0
2024-01-01 00:23:00,2.0,0.0,15.0,14.997745044355295,14.982829006858017,12.0,118.24188518162002,0.0,0.0
