,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,0.0,15.0,15.0,15.0,12.0,0.0,0.0,0.0
2024-01-01 00:01:00,2.0,0.0,15.0,14.999844259666526,14.99924792002883,12.0,120.0,3000.0,3000.0
2024-01-01 00:02:00,2.0,0.0,15.0,14.99975197552623,14.998496347665975,12.0,119.91900728628315,3000.0,3000.0
2024-01-01 00:03:00,2.0,0.0,15.0,14.999659354417073,14.997745316464332,12.0,119.83266095620905,1131.7037037037044,1131.7037037037044
2024-01-01 00:04:00,2.0,0.0,15.0,14.999566396811748,14.9969948258184,12.0,119.74641123854781,0.0,0.0
2024-01-01 00:05:00,2.0,0.0,15.0,14.999473103182368,14.996244875123402,12.0,119.66025801703384,3000.0,3000.0
2024-01-01 00:06:00,2.0,0.0,15.0,14.999379474000461,14.995495463775296,12.0,119.5742011755422,3000.0,3000.0
2024-01-01 00:07:00,2.0,0.0,15.0,14.999285509736977,14.994746591170761,12.0,119.48824059808942,3000.0,3000.0
2024-01-01 00:08:00,2.0,0.0,15.0,14.999191210862278,14.993998256707206,12.0,119.40237616883266,3000.0,3000.0
2024-01-01 00:09:00,2.0,0.0,15.0,14.999096577846153,14.993250459782761,12.0,119.31660777206972,3000.0,3000.0
2024-01-01 00:10:00,2.0,0.0,15.0,14.999001611157805,14.992503199796284,12.0,119.23093529223867,3000.0,3000.0
2024-01-01 00:11:00,2.0,0.0,15.0,14.998906311265861,14.991756476147355,12.0,119.14535861391826,3000.0,3000.0
2024-01-01 00:12:00,2.0,0.0,15.0,14.998810678638367,14.991010288236277,12.0,119.05987762182734,3000.0,3000.0
2024-01-01 00:13:00,2.0,0.0,15.0,14.998714713742796,14.990264635464074,12.0,118.97449220082459,3000.0,3000.0
2024-01-01 00:14:00,2.0,0.0,15.0,14.998618417046039,14.989519517232491,12.0,118.88920223590847,3000.0,3000.0
2024-01-01 00:15:00,2.0,0.0,15.0,14.998521789014411,14.988774932943992,12.0,118.80400761221705,3000.0,3000.0
2024-01-01 00:16:00,2.0,0.0,15.0,14.998424830113654,14.98803088200176,12.0,118.71890821502794,3000.0,3000.0
2024-01-01 00:17:00,2.0,0.0,15.0,14.998327540808933,14.987287363809699,12.0,118.63390392975808,3000.0,3000.0
2024-01-01 00:18:00,2.0,0.0,15.0,14.99822992156484,14.986544377772427,12.0,118.54899464196333,3000.0,3000.0
2024-01-01 00:19:00,2.0,0.0,15.0,14.998131972845394,14.98580192329528,12.0,118.46418023733872,3000.0,3000.0
2024-01-01 00:20:00,2.0,0.0,15.0,14.998033695114039,14.98505999978431,12.0,118.37946060171801,3000.0,3000.0
2024-01-01 00:21:00,2.0,0.0,15.0,14.997935088833646,14.984318606646282,12.0,118.29483562107347,3000.0,3000.0
2024-01-01 00:22:00,2.0,0.0,15.0,14.997836154466519,14.983577743288674,12.0,118.21030518151595,3000.0,3000.0
2024-01-01 00:23:00,2.0,0.0,15.0,14.997736892474387,14.98283740911968,12.0,118.12586916929428,3000.0,3000.0
2024-01-01 00:24:00,2.0,0.0,15.0,14.99763730331841,14.982097603548205,12.0,118.04152747079587,3000.0,3000.0
2024-01-01 00:25:00,2.0,0.0,15.0,14.997537387459179,14.981358325983862,12.0,117.9572799725458,3000.0,3000.0
2024-01-01 00:26:00,2.0,0.0,15.0,14.997437145356717,14.98061957583698,12.0,117.87312656120672,3000.0,3000.0
2024-01-01 00:27:00,2.0,0.0,15.0,14.997336577470477,14.979881352518593,12.0,117.78906712357937,3000.0,3000.0
2024-01-01 00:28:00,2.0,0.0,15.0,14.997235684259348,14.979143655440446,12.0,117.70510154660131,2317.037037037042,2317.037037037042
2024-01-01 00:29:00,2.0,0.0,15.0,14.997134466181649,14.978406484014988,12.0,117.62122971734814,0.0,0.0
2024-01-01 00:30:00,2.0,0.0,15.0,14.997032923695134,14.97766983765538,12.0,117.53745152303165,3000.0,3000.0
2024-01-01 00:31:00,2.0,0.0,15.0,14.996931057256992,14.976933715775488,12.0,117.45376685100148,3000.0,3000.0
2024-01-01 00:32:00,2.0,0.0,15.0,14.996828867323849,14.97619811778988,12.0,117.37017558874346,1131.7037037037044,1131.7037037037044
2024-01-01 00:33:00,2.0,0.0,15.0,14.996726354351765,14.975463043113828,12.0,117.28667762388018,0.0,0.0
2024-01-01 00:34:00,2.0,0.0,15.0,14.996623518796236,14.974728491163313,12.0,117.20327284417053,0.0,0.0
2024-01-01 00:35:00,2.0,0.0,15.0,14.996520361112196,14.973994461355016,12.0,117.11996113750995,0.0,0.0
